Date,ODA/PIORECR_USD - Value,ODA/PIORECR_USD - Not Found
1980-01-31,12.15,
1980-02-29,12.15,
1980-03-31,12.15,
1980-04-30,12.15,
1980-05-31,12.15,
1980-06-30,12.15,
1980-07-31,12.15,
1980-08-31,12.15,
1980-09-30,12.15,
1980-10-31,12.15,
1980-11-30,12.15,
1980-12-31,12.15,
1981-01-31,12.15,
1981-02-28,12.15,
1981-03-31,12.15,
1981-04-30,12.15,
1981-05-31,12.15,
1981-06-30,12.15,
1981-07-31,12.15,
1981-08-31,12.15,
1981-09-30,12.15,
1981-10-31,12.15,
1981-11-30,12.15,
1981-12-31,12.15,
1982-01-31,14.05,
1982-02-28,14.05,
1982-03-31,14.05,
1982-04-30,14.05,
1982-05-31,14.05,
1982-06-30,14.05,
1982-07-31,14.05,
1982-08-31,14.05,
1982-09-30,14.05,
1982-10-31,14.05,
1982-11-30,14.05,
1982-12-31,14.05,
1983-01-31,12.54,
1983-02-28,12.54,
1983-03-31,12.54,
1983-04-30,12.54,
1983-05-31,12.54,
1983-06-30,12.54,
1983-07-31,12.54,
1983-08-31,12.54,
1983-09-30,12.54,
1983-10-31,12.54,
1983-11-30,12.54,
1983-12-31,12.54,
1984-01-31,11.31,
1984-02-29,11.31,
1984-03-31,11.31,
1984-04-30,11.31,
1984-05-31,11.31,
1984-06-30,11.31,
1984-07-31,11.31,
1984-08-31,11.31,
1984-09-30,11.31,
1984-10-31,11.31,
1984-11-30,11.31,
1984-12-31,11.31,
1985-01-31,11.49,
1985-02-28,11.49,
1985-03-31,11.49,
1985-04-30,11.49,
1985-05-31,11.49,
1985-06-30,11.49,
1985-07-31,11.49,
1985-08-31,11.49,
1985-09-30,11.49,
1985-10-31,11.49,
1985-11-30,11.49,
1985-12-31,11.49,
1986-01-31,11.36,
1986-02-28,11.36,
1986-03-31,11.36,
1986-04-30,11.36,
1986-05-31,11.36,
1986-06-30,11.36,
1986-07-31,11.36,
1986-08-31,11.36,
1986-09-30,11.36,
1986-10-31,11.36,
1986-11-30,11.36,
1986-12-31,11.36,
1987-01-31,10.94,
1987-02-28,10.94,
1987-03-31,10.94,
1987-04-30,10.94,
1987-05-31,10.94,
1987-06-30,10.94,
1987-07-31,10.94,
1987-08-31,10.94,
1987-09-30,10.94,
1987-10-31,10.94,
1987-11-30,10.94,
1987-12-31,10.94,
1988-01-31,10.51,
1988-02-29,10.51,
1988-03-31,10.51,
1988-04-30,10.51,
1988-05-31,10.51,
1988-06-30,10.51,
1988-07-31,10.51,
1988-08-31,10.51,
1988-09-30,10.51,
