Date,ODA/PROIL_USD - Value,ODA/PROIL_USD - Not Found
1995-01-31,721.3,
1995-02-28,653.84,
1995-03-31,704.18,
1995-04-30,717.4,
1995-05-31,605.0,
1995-06-30,614.0,
1995-07-31,626.71,
1995-08-31,618.43,
1995-09-30,583.96,
1995-10-31,576.25,
1995-11-30,594.24,
1995-12-31,577.22,
1996-01-31,561.62,
1996-02-29,536.1,
1996-03-31,519.24,
1996-04-30,530.37,
1996-05-31,590.66,
1996-06-30,593.77,
1996-07-31,582.62,
1996-08-31,564.08,
1996-09-30,575.36,
1996-10-31,583.36,
1996-11-30,572.04,
1996-12-31,547.62,
1997-01-31,529.62,
1997-02-28,544.65,
1997-03-31,528.15,
1997-04-30,553.84,
1997-05-31,566.75,
1997-06-30,554.02,
1997-07-31,543.16,
1997-08-31,501.85,
1997-09-30,527.88,
1997-10-31,575.82,
1997-11-30,686.91,
1997-12-31,641.34,
1998-01-31,629.61,
1998-02-28,645.92,
1998-03-31,647.81,
1998-04-30,665.44,
1998-05-31,661.6,
1998-06-30,650.02,
1998-07-31,608.11,
1998-08-31,588.9,
1998-09-30,609.95,
1998-10-31,635.47,
1998-11-30,609.82,
1998-12-31,613.05,
1999-01-31,571.28,
1999-02-28,499.91,
1999-03-31,430.99,
1999-04-30,439.59,
1999-05-31,444.23,
1999-06-30,413.29,
1999-07-31,398.16,
1999-08-31,366.4,
1999-09-30,449.56,
1999-10-31,397.68,
1999-11-30,368.51,
1999-12-31,364.66,
2000-01-31,366.05,
2000-02-29,350.41,
2000-03-31,353.87,
2000-04-30,373.66,
2000-05-31,356.05,
2000-06-30,358.92,
2000-07-31,343.93,
2000-08-31,345.65,
2000-09-30,332.81,
2000-10-31,323.71,
2000-11-30,315.1,
2000-12-31,334.72,
2001-01-31,342.98,
2001-02-28,331.48,
2001-03-31,351.18,
2001-04-30,361.56,
2001-05-31,370.56,
2001-06-30,361.51,
2001-07-31,371.84,
2001-08-31,435.41,
2001-09-30,444.65,
2001-10-31,441.27,
2001-11-30,432.43,
2001-12-31,457.68,
2002-01-31,444.03,
2002-02-28,433.86,
2002-03-31,409.65,
2002-04-30,411.14,
2002-05-31,410.06,
2002-06-30,438.49,
2002-07-31,469.19,
2002-08-31,482.34,
2002-09-30,539.45,
2002-10-31,523.23,
2002-11-30,565.3,
2002-12-31,623.45,
2003-01-31,620.67,
2003-02-28,622.98,
2003-03-31,554.02,
2003-04-30,580.89,
2003-05-31,621.58,
2003-06-30,632.69,
2003-07-31,611.0,
2003-08-31,573.9,
2003-09-30,547.68,
2003-10-31,595.08,
2003-11-30,641.81,
2003-12-31,640.64,
2004-01-31,688.63,
2004-02-29,683.49,
2004-03-31,696.37,
2004-04-30,661.68,
2004-05-31,742.96,
2004-06-30,749.29,
2004-07-31,876.53,
2004-08-31,722.35,
2004-09-30,711.72,
2004-10-31,651.96,
2004-11-30,671.38,
2004-12-31,702.05,
2005-01-31,744.1,
2005-02-28,728.62,
2005-03-31,716.53,
2005-04-30,714.29,
2005-05-31,681.71,
2005-06-30,678.42,
2005-07-31,652.96,
2005-08-31,701.2,
2005-09-30,708.89,
2005-10-31,774.26,
2005-11-30,780.89,
2005-12-31,769.72,
2006-01-31,784.24,
2006-02-28,791.92,
2006-03-31,784.54,
2006-04-30,830.28,
2006-05-31,880.61,
2006-06-30,888.57,
2006-07-31,852.1,
2006-08-31,900.99,
2006-09-30,850.7,
