Date,ODA/PNGASJP_USD - Value,ODA/PNGASJP_USD - Not Found
1995-01-31,3.38,
1995-02-28,3.54,
1995-03-31,3.8,
1995-04-30,3.82,
1995-05-31,3.71,
1995-06-30,3.85,
1995-07-31,3.62,
1995-08-31,3.32,
1995-09-30,3.35,
1995-10-31,3.43,
1995-11-30,3.41,
1995-12-31,3.45,
1996-01-31,3.59,
1996-02-29,3.81,
1996-03-31,3.76,
1996-04-30,3.82,
1996-05-31,3.82,
1996-06-30,3.79,
1996-07-31,3.79,
1996-08-31,3.87,
1996-09-30,3.81,
1996-10-31,4.04,
1996-11-30,4.41,
1996-12-31,4.32,
1997-01-31,4.29,
1997-02-28,4.4,
1997-03-31,4.11,
1997-04-30,3.72,
1997-05-31,3.73,
1997-06-30,3.66,
1997-07-31,3.5,
1997-08-31,3.43,
1997-09-30,3.5,
1997-10-31,3.5,
1997-11-30,3.63,
1997-12-31,3.66,
1998-01-31,3.46,
1998-02-28,2.98,
1998-03-31,2.81,
1998-04-30,2.61,
1998-05-31,2.67,
1998-06-30,2.66,
1998-07-31,2.57,
1998-08-31,2.57,
1998-09-30,2.65,
1998-10-31,2.76,
1998-11-30,2.67,
1998-12-31,2.64,
1999-01-31,2.64,
1999-02-28,2.57,
1999-03-31,2.61,
1999-04-30,2.68,
1999-05-31,3.02,
1999-06-30,3.19,
1999-07-31,3.23,
1999-08-31,3.52,
1999-09-30,3.83,
1999-10-31,4.14,
1999-11-30,4.25,
1999-12-31,4.43,
2000-01-31,4.54,
2000-02-29,4.58,
2000-03-31,4.95,
2000-04-30,5.08,
2000-05-31,4.58,
2000-06-30,5.14,
2000-07-31,5.38,
2000-08-31,5.51,
2000-09-30,5.56,
2000-10-31,5.92,
2000-11-30,5.86,
2000-12-31,5.72,
2001-01-31,4.98,
2001-02-28,4.66,
2001-03-31,4.85,
2001-04-30,4.79,
2001-05-31,4.95,
2001-06-30,5.11,
2001-07-31,5.05,
2001-08-31,4.73,
2001-09-30,4.63,
2001-10-31,4.65,
2001-11-30,3.95,
2001-12-31,3.68,
2002-01-31,3.57,
2002-02-28,3.64,
2002-03-31,3.69,
2002-04-30,4.07,
2002-05-31,4.44,
2002-06-30,4.53,
2002-07-31,5.76,
2002-08-31,4.52,
2002-09-30,4.63,
2002-10-31,4.76,
2002-11-30,4.8,
2002-12-31,4.71,
2003-01-31,5.01,
2003-02-28,5.31,
2003-03-31,5.44,
2003-04-30,5.18,
2003-05-31,4.87,
2003-06-30,4.7,
2003-07-31,4.67,
2003-08-31,4.75,
2003-09-30,4.93,
2003-10-31,4.82,
2003-11-30,5.05,
2003-12-31,5.04,
2004-01-31,5.14,
2004-02-29,5.2,
2004-03-31,5.29,
2004-04-30,5.5,
2004-05-31,5.47,
2004-06-30,5.88,
2004-07-31,5.73,
2004-08-31,5.9,
2004-09-30,6.44,
2004-10-31,6.66,
2004-11-30,6.94,
2004-12-31,6.54,
2005-01-31,5.82,
2005-02-28,6.1,
2005-03-31,6.46,
2005-04-30,7.04,
2005-05-31,7.22,
2005-06-30,6.55,
2005-07-31,7.06,
2005-08-31,7.22,
2005-09-30,7.71,
2005-10-31,8.01,
2005-11-30,8.11,
2005-12-31,7.09,
2006-01-31,7.34,
2006-02-28,7.89,
2006-03-31,7.91,
2006-04-30,7.81,
2006-05-31,8.56,
2006-06-30,8.64,
2006-07-31,8.51,
2006-08-31,8.37,
2006-09-30,8.83,
2006-10-31,7.94,
2006-11-30,7.5,
2006-12-31,7.29,
2007-01-31,7.66,
2007-02-28,7.17,
2007-03-31,7.36,
2007-04-30,7.72,
2007-05-31,8.21,
2007-06-30,8.48,
2007-07-31,8.22,
2007-08-31,8.61,
2007-09-30,8.55,
2007-10-31,9.16,
2007-11-30,9.52,
2007-12-31,10.27,
2008-01-31,10.5,
2008-02-29,10.75,
2008-03-31,10.63,
2008-04-30,11.48,
2008-05-31,12.3,
2008-06-30,13.31,
2008-07-31,14.08,
2008-08-31,13.81,
2008-09-30,12.6,
2008-10-31,13.15,
2008-11-30,9.1,
2008-12-31,7.38,
2009-01-31,6.03,
2009-02-28,5.83,
2009-03-31,6.25,
2009-04-30,6.47,
2009-05-31,6.79,
2009-06-30,6.97,
2009-07-31,8.05,
2009-08-31,8.48,
2009-09-30,8.55,
2009-10-31,8.75,
2009-11-30,8.56,
2009-12-31,9.16,
2010-01-31,9.34,
2010-02-28,9.01,
2010-03-31,9.17,
2010-04-30,9.34,
2010-05-31,10.04,
2010-06-30,9.28,
2010-07-31,9.09,
2010-08-31,8.85,
2010-09-30,8.98,
2010-10-31,9.52,
2010-11-30,10.0,
2010-12-31,9.95,
2011-01-31,10.81,
2011-02-28,11.89,
2011-03-31,12.18,
2011-04-30,14.41,
2011-05-31,15.75,
2011-06-30,16.29,
2011-07-31,16.29,
2011-08-31,17.7,
2011-09-30,17.78,
2011-10-31,17.6,
2011-11-30,17.89,
2011-12-31,18.05,
2012-01-31,17.46,
2012-02-29,16.71,
2012-03-31,18.42,
2012-04-30,19.57,
2012-05-31,18.33,
2012-06-30,19.38,
2012-07-31,19.1,
2012-08-31,18.39,
2012-09-30,18.76,
2012-10-31,17.27,
2012-11-30,16.83,
2012-12-31,17.52,
2013-01-31,17.79,
2013-02-28,17.72,
2013-03-31,18.31,
2013-04-30,17.71,
2013-05-31,16.94,
2013-06-30,17.69,
2013-07-31,16.98,
2013-08-31,17.0,
2013-09-30,17.01,
2013-10-31,16.49,
2013-11-30,16.71,
2013-12-31,17.72,
2014-01-31,17.76,
2014-02-28,17.96,
2014-03-31,17.81,
2014-04-30,17.67,
2014-05-31,17.68,
2014-06-30,17.51,
2014-07-31,17.43,
2014-08-31,16.23,
2014-09-30,15.7,
2014-10-31,15.23,
2014-11-30,16.41,
2014-12-31,16.58,
2015-01-31,15.5,
2015-02-28,14.69,
2015-03-31,13.05,
2015-04-30,11.02,
2015-05-31,9.04,
2015-06-30,8.79,
2015-07-31,9.32,
2015-08-31,10.16,
2015-09-30,10.01,
2015-10-31,10.37,
2015-11-30,9.4,
2015-12-31,10.15,
2016-01-31,8.46,
2016-02-29,7.99,
2016-03-31,8.01,
2016-04-30,6.68,
2016-05-31,6.81,
2016-06-30,7.08,
2016-07-31,6.85,
2016-08-31,7.42,
2016-09-30,7.79,
2016-10-31,7.93,
2016-11-30,7.16,
2016-12-31,7.09,
2017-01-31,9.17409090909091,
2017-02-28,7.128,
2017-03-31,5.79478260869565,
2017-04-30,5.7095,
2017-05-31,5.7190625,
2017-06-30,5.52363636363636,
2017-07-31,5.63190476190476,
2017-08-31,6.13086956521739,
2017-09-30,7.08428571428571,
2017-10-31,8.79272727272727,
2017-11-30,9.57142857142857,
2017-12-31,10.7090476190476,
2018-01-31,11.6695652173913,
2018-02-28,10.471,
2018-03-31,8.46090909090909,
2018-04-30,7.47523809523809,
