Date,ODA/PFISH_USD - Value,ODA/PFISH_USD - Not Found
1995-01-31,445.36,
1995-02-28,467.28,
1995-03-31,480.2,
1995-04-30,482.68,
1995-05-31,476.59,
1995-06-30,478.94,
1995-07-31,539.09,
1995-08-31,532.67,
1995-09-30,542.87,
1995-10-31,552.42,
1995-11-30,614.51,
1995-12-31,645.04,
1996-01-31,694.66,
1996-02-29,705.54,
1996-03-31,664.02,
1996-04-30,637.9,
1996-05-31,603.71,
1996-06-30,597.14,
1996-07-31,577.42,
1996-08-31,565.35,
1996-09-30,605.67,
1996-10-31,626.68,
1996-11-30,643.81,
1996-12-31,629.31,
1997-01-31,608.18,
1997-02-28,602.29,
1997-03-31,592.71,
1997-04-30,584.81,
1997-05-31,589.35,
1997-06-30,610.62,
1997-07-31,627.37,
1997-08-31,656.29,
1997-09-30,679.52,
1997-10-31,696.66,
1997-11-30,742.33,
1997-12-31,761.33,
1998-01-31,755.77,
1998-02-28,754.4,
1998-03-31,741.7,
1998-04-30,743.83,
1998-05-31,732.55,
1998-06-30,727.63,
1998-07-31,706.68,
1998-08-31,708.88,
1998-09-30,726.89,
1998-10-31,707.25,
1998-11-30,653.71,
1998-12-31,548.67,
1999-01-31,528.17,
1999-02-28,508.74,
1999-03-31,434.31,
1999-04-30,402.13,
1999-05-31,385.72,
1999-06-30,381.18,
1999-07-31,393.63,
1999-08-31,408.96,
1999-09-30,430.42,
1999-10-31,432.83,
1999-11-30,437.55,
1999-12-31,453.7,
2000-01-31,452.22,
2000-02-29,448.56,
2000-03-31,434.75,
2000-04-30,423.79,
2000-05-31,417.21,
2000-06-30,452.82,
2000-07-31,471.25,
2000-08-31,461.6,
2000-09-30,462.45,
2000-10-31,457.12,
2000-11-30,450.26,
2000-12-31,493.05,
2001-01-31,500.77,
2001-02-28,513.14,
2001-03-31,497.36,
2001-04-30,481.0,
2001-05-31,479.31,
2001-06-30,508.93,
2001-07-31,525.21,
2001-08-31,545.5,
2001-09-30,549.33,
2001-10-31,555.81,
2001-11-30,585.28,
2001-12-31,618.96,
2002-01-31,621.83,
2002-02-28,633.4,
2002-03-31,633.5,
2002-04-30,646.64,
2002-05-31,661.87,
2002-06-30,644.25,
2002-07-31,652.11,
2002-08-31,650.15,
2002-09-30,662.55,
2002-10-31,654.82,
2002-11-30,650.13,
2002-12-31,635.42,
2003-01-31,641.65,
2003-02-28,637.82,
2003-03-31,632.28,
2003-04-30,622.2,
2003-05-31,640.06,
2003-06-30,672.42,
2003-07-31,668.62,
2003-08-31,656.84,
2003-09-30,645.36,
2003-10-31,643.64,
2003-11-30,670.87,
2003-12-31,670.59,
2004-01-31,711.99,
2004-02-29,733.62,
2004-03-31,729.21,
2004-04-30,713.13,
2004-05-31,704.23,
2004-06-30,679.41,
2004-07-31,666.62,
2004-08-31,663.68,
2004-09-30,663.5,
2004-10-31,667.14,
2004-11-30,691.63,
2004-12-31,690.63,
2005-01-31,700.23,
2005-02-28,707.86,
2005-03-31,714.03,
2005-04-30,710.51,
2005-05-31,695.98,
2005-06-30,682.06,
2005-07-31,656.46,
2005-08-31,784.54,
2005-09-30,783.29,
2005-10-31,817.1,
2005-11-30,823.44,
2005-12-31,855.24,
2006-01-31,910.33,
2006-02-28,909.04,
2006-03-31,906.58,
2006-04-30,918.24,
2006-05-31,970.83,
2006-06-30,958.62,
2006-07-31,959.07,
2006-08-31,1251.38,
2006-09-30,1296.63,
2006-10-31,1263.01,
2006-11-30,1262.59,
2006-12-31,1285.02,
2007-01-31,1258.73,
2007-02-28,1252.39,
2007-03-31,1268.87,
2007-04-30,1289.38,
2007-05-31,1266.92,
2007-06-30,1254.15,
2007-07-31,1212.95,
2007-08-31,1148.05,
2007-09-30,1109.22,
2007-10-31,1054.0,
2007-11-30,1031.14,
2007-12-31,1079.68,
2008-01-31,1114.49,
2008-02-29,1140.39,
2008-03-31,1169.75,
2008-04-30,1184.37,
2008-05-31,1191.92,
2008-06-30,1208.78,
2008-07-31,1265.05,
2008-08-31,1240.64,
2008-09-30,1223.44,
2008-10-31,1101.43,
2008-11-30,1049.74,
2008-12-31,1032.27,
2009-01-31,1037.3,
2009-02-28,1046.77,
2009-03-31,1054.07,
2009-04-30,1055.71,
2009-05-31,1117.44,
2009-06-30,1164.08,
2009-07-31,1222.51,
2009-08-31,1295.4,
2009-09-30,1362.82,
2009-10-31,1463.87,
2009-11-30,1557.8,
2009-12-31,1692.45,
2010-01-31,1748.38,
2010-02-28,1709.79,
2010-03-31,1793.86,
2010-04-30,1961.11,
2010-05-31,1907.78,
2010-06-30,1817.13,
2010-07-31,1705.03,
2010-08-31,1673.83,
2010-09-30,1632.19,
2010-10-31,1665.71,
2010-11-30,1662.63,
2010-12-31,1593.21,
2011-01-31,1607.46,
2011-02-28,1612.82,
2011-03-31,1755.65,
2011-04-30,1760.73,
2011-05-31,1590.95,
2011-06-30,1508.0,
2011-07-31,1469.08,
2011-08-31,1455.06,
2011-09-30,1346.9,
2011-10-31,1352.34,
2011-11-30,1402.34,
2011-12-31,1369.68,
2012-01-31,1295.05,
2012-02-29,1315.22,
2012-03-31,1319.33,
2012-04-30,1408.1,
2012-05-31,1518.0,
2012-06-30,1642.3,
2012-07-31,1735.12,
2012-08-31,1755.74,
2012-09-30,1716.05,
2012-10-31,1694.59,
2012-11-30,1902.06,
2012-12-31,2190.08,
2013-01-31,2088.6,
2013-02-28,1882.6,
2013-03-31,1783.98,
2013-04-30,1834.49,
2013-05-31,1835.82,
2013-06-30,1743.89,
2013-07-31,1598.54,
2013-08-31,1621.63,
2013-09-30,1525.27,
2013-10-31,1520.09,
2013-11-30,1549.37,
2013-12-31,1557.11,
