Date,ODA/POILAPSP_USD - Value,ODA/POILAPSP_USD - Not Found
1980-01-31,35.64,
1980-02-29,35.09,
1980-03-31,36.01,
1980-04-30,35.09,
1980-05-31,35.72,
1980-06-30,35.54,
1980-07-31,34.33,
1980-08-31,31.88,
1980-09-30,31.91,
1980-10-31,37.25,
1980-11-30,40.97,
1980-12-31,39.05,
1981-01-31,38.69,
1981-02-28,36.75,
1981-03-31,36.44,
1981-04-30,35.7,
1981-05-31,33.32,
1981-06-30,31.6,
1981-07-31,31.63,
1981-08-31,31.99,
1981-09-30,31.77,
1981-10-31,32.61,
1981-11-30,34.05,
1981-12-31,33.91,
1982-01-31,33.81,
1982-02-28,29.96,
1982-03-31,28.25,
1982-04-30,30.44,
1982-05-31,33.22,
1982-06-30,32.66,
1982-07-31,31.49,
1982-08-31,31.05,
1982-09-30,32.88,
1982-10-31,33.23,
1982-11-30,31.48,
1982-12-31,30.06,
1983-01-31,30.44,
1983-02-28,28.91,
1983-03-31,28.13,
1983-04-30,29.49,
1983-05-31,29.16,
1983-06-30,29.79,
1983-07-31,30.35,
1983-08-31,30.55,
1983-09-30,29.99,
1983-10-31,29.39,
1983-11-30,28.92,
1983-12-31,28.51,
1984-01-31,28.98,
1984-02-29,29.17,
1984-03-31,29.55,
1984-04-30,29.53,
1984-05-31,29.42,
1984-06-30,28.99,
1984-07-31,27.9,
1984-08-31,28.19,
1984-09-30,28.35,
1984-10-31,28.0,
1984-11-30,27.59,
1984-12-31,26.88,
1985-01-31,26.63,
1985-02-28,27.56,
1985-03-31,27.91,
1985-04-30,27.84,
1985-05-31,26.66,
1985-06-30,26.35,
1985-07-31,26.63,
1985-08-31,27.13,
1985-09-30,27.52,
1985-10-31,28.29,
1985-11-30,29.18,
1985-12-31,26.75,
1986-01-31,22.33,
1986-02-28,16.38,
1986-03-31,12.77,
1986-04-30,11.89,
1986-05-31,13.49,
1986-06-30,11.95,
1986-07-31,9.88,
1986-08-31,13.42,
1986-09-30,14.03,
1986-10-31,14.01,
1986-11-30,14.47,
1986-12-31,15.44,
1987-01-31,18.1,
1987-02-28,17.28,
1987-03-31,17.74,
1987-04-30,18.05,
1987-05-31,18.41,
1987-06-30,18.71,
1987-07-31,19.62,
1987-08-31,18.88,
1987-09-30,18.32,
1987-10-31,18.63,
1987-11-30,17.87,
1987-12-31,16.77,
1988-01-31,16.5,
1988-02-29,15.9,
1988-03-31,14.86,
1988-04-30,16.42,
1988-05-31,16.36,
1988-06-30,15.49,
1988-07-31,14.47,
1988-08-31,14.57,
1988-09-30,13.22,
1988-10-31,12.23,
1988-11-30,12.53,
1988-12-31,14.68,
1989-01-31,16.45,
1989-02-28,16.52,
1989-03-31,18.1,
1989-04-30,19.39,
1989-05-31,18.22,
1989-06-30,17.8,
1989-07-31,17.67,
1989-08-31,16.87,
1989-09-30,17.69,
1989-10-31,18.41,
1989-11-30,18.38,
1989-12-31,19.37,
1990-01-31,20.59,
1990-02-28,19.68,
1990-03-31,18.12,
1990-04-30,16.32,
1990-05-31,16.21,
1990-06-30,14.93,
1990-07-31,16.81,
1990-08-31,26.54,
1990-09-30,33.62,
1990-10-31,34.85,
