Date,ODA/PBANSOP_USD - Value,ODA/PBANSOP_USD - Not Found
1980-01-31,401.960838679536,
1980-02-29,372.185963687879,
1980-03-31,422.91353627875,
1980-04-30,395.89557857615,
1980-05-31,444.968979759858,
1980-06-30,342.411088696222,
1980-07-31,351.784665321773,
1980-08-31,342.411088696221,
1980-09-30,352.887437495829,
1980-10-31,325.318106852282,
1980-11-30,379.35399596532,
1980-12-31,369.980419339768,
1981-01-31,387.624800416816,
1981-02-28,435.595429426468,
1981-03-31,459.30514948339,
1981-04-30,425.670453567808,
1981-05-31,449.931467689188,
1981-06-30,388.176173357763,
1981-07-31,329.729195548504,
1981-08-31,305.468181427123,
1981-09-30,435.044030193359,
1981-10-31,389.278945531818,
1981-11-30,395.89557857615,
1981-12-31,416.296903234418,
1982-01-31,425.119080626861,
1982-02-28,383.213685428432,
1982-03-31,421.810764104695,
1982-04-30,476.397999866517,
1982-05-31,438.352346715525,
1982-06-30,399.755294331425,
1982-07-31,326.972251967284,
1982-08-31,302.711237845903,
1982-09-30,347.924949566498,
1982-10-31,299.402921323737,
1982-11-30,333.03751207067,
1982-12-31,342.962461637168,
1983-01-31,338.0,
1983-02-28,380.3,
1983-03-31,406.8,
1983-04-30,479.3,
1983-05-31,554.2,
1983-06-30,504.6,
1983-07-31,503.1,
1983-08-31,464.1,
1983-09-30,418.9,
1983-10-31,411.5,
1983-11-30,342.5,
1983-12-31,342.4,
1984-01-31,341.7,
1984-02-29,416.52,
1984-03-31,413.64,
1984-04-30,414.5,
1984-05-31,426.22,
1984-06-30,458.89,
1984-07-31,366.63,
1984-08-31,339.62,
1984-09-30,378.93,
1984-10-31,308.87,
1984-11-30,269.0,
1984-12-31,299.22,
1985-01-31,376.27,
1985-02-28,442.36,
1985-03-31,453.7,
1985-04-30,484.41,
1985-05-31,457.51,
1985-06-30,380.5,
1985-07-31,320.5,
1985-08-31,421.9,
1985-09-30,361.5,
1985-10-31,278.3,
1985-11-30,275.0,
1985-12-31,284.9,
1986-01-31,329.0,
1986-02-28,386.4,
1986-03-31,499.9,
1986-04-30,577.6,
1986-05-31,387.5,
1986-06-30,345.0,
