Date,PowerShares LadderRite 0-5 Year Corporate BondEtf_Open_average,PowerShares LadderRite 0-5 Year Corporate BondEtf_Open_max,PowerShares LadderRite 0-5 Year Corporate BondEtf_Open_min,PowerShares LadderRite 0-5 Year Corporate BondEtf_Open_volatility,PowerShares LadderRite 0-5 Year Corporate BondEtf_Open_change,PowerShares LadderRite 0-5 Year Corporate BondEtf_High_average,PowerShares LadderRite 0-5 Year Corporate BondEtf_High_max,PowerShares LadderRite 0-5 Year Corporate BondEtf_High_min,PowerShares LadderRite 0-5 Year Corporate BondEtf_High_volatility,PowerShares LadderRite 0-5 Year Corporate BondEtf_High_change,PowerShares LadderRite 0-5 Year Corporate BondEtf_Low_average,PowerShares LadderRite 0-5 Year Corporate BondEtf_Low_max,PowerShares LadderRite 0-5 Year Corporate BondEtf_Low_min,PowerShares LadderRite 0-5 Year Corporate BondEtf_Low_volatility,PowerShares LadderRite 0-5 Year Corporate BondEtf_Low_change,PowerShares LadderRite 0-5 Year Corporate BondEtf_Close_average,PowerShares LadderRite 0-5 Year Corporate BondEtf_Close_max,PowerShares LadderRite 0-5 Year Corporate BondEtf_Close_min,PowerShares LadderRite 0-5 Year Corporate BondEtf_Close_volatility,PowerShares LadderRite 0-5 Year Corporate BondEtf_Close_change
2016-01-03,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,24.92,24.92,24.92,0.0,0.0,25.0,25.0,25.0,0.0,0.0
2016-01-10,24.65,24.65,24.65,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.65,24.65,24.65,0.0,0.0
2016-01-17,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0
2016-01-24,24.58,24.58,24.58,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.84,24.84,24.84,0.0,0.0
2016-01-31,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0
2016-02-07,24.86,24.86,24.86,0.0,0.0,24.86,24.86,24.86,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0
2016-02-14,24.81,24.81,24.81,0.0,0.0,24.89,24.89,24.89,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.89,24.89,24.89,0.0,0.0
2016-02-21,24.84,24.84,24.84,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.84,24.84,24.84,0.0,0.0
2016-02-28,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0
2016-03-06,24.86,24.86,24.86,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.86,24.86,24.86,0.0,0.0,24.94,24.94,24.94,0.0,0.0
2016-03-13,24.99,24.99,24.99,0.0,0.0,25.0,25.0,25.0,0.0,0.0,24.99,24.99,24.99,0.0,0.0,25.0,25.0,25.0,0.0,0.0
2016-03-20,24.93,24.93,24.93,0.0,0.0,24.94,24.94,24.94,0.0,0.0,24.93,24.93,24.93,0.0,0.0,24.94,24.94,24.94,0.0,0.0
2016-03-27,25.04,25.04,25.04,0.0,0.0,25.04,25.04,25.04,0.0,0.0,25.04,25.04,25.04,0.0,0.0,25.04,25.04,25.04,0.0,0.0
2016-04-03,25.89,25.89,25.89,0.0,0.0,26.09,26.09,26.09,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.21,25.21,25.21,0.0,0.0
2016-04-10,25.26,25.26,25.26,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.17,25.17,25.17,0.0,0.0
2016-04-17,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.04,25.04,25.04,0.0,0.0,25.04,25.04,25.04,0.0,0.0
2016-04-24,25.21,25.21,25.21,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.19,25.19,25.19,0.0,0.0
2016-05-01,25.27,25.27,25.27,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.27,25.27,25.27,0.0,0.0,25.32,25.32,25.32,0.0,0.0
2016-05-08,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0
2016-05-15,25.16,25.16,25.16,0.0,0.0,25.22,25.22,25.22,0.0,0.0,25.16,25.16,25.16,0.0,0.0,25.22,25.22,25.22,0.0,0.0
2016-05-22,25.26,25.26,25.26,0.0,0.0,25.27,25.27,25.27,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.26,25.26,25.26,0.0,0.0
2016-05-29,25.33,25.33,25.33,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.33,25.33,25.33,0.0,0.0
2016-06-05,25.33,25.33,25.33,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.13,25.13,25.13,0.0,0.0,25.13,25.13,25.13,0.0,0.0
2016-06-12,25.22,25.22,25.22,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.25,25.25,25.25,0.0,0.0
2016-06-19,25.05,25.05,25.05,0.0,0.0,25.15,25.15,25.15,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.15,25.15,25.15,0.0,0.0
2016-06-26,25.36,25.36,25.36,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.36,25.36,25.36,0.0,0.0
2016-07-03,25.41,25.41,25.41,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.41,25.41,25.41,0.0,0.0
2016-07-10,25.21,25.21,25.21,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.18,25.18,25.18,0.0,0.0
2016-07-17,25.26,25.26,25.26,0.0,0.0,25.27,25.27,25.27,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.25,25.25,25.25,0.0,0.0
2016-07-24,25.24,25.24,25.24,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.17,25.17,25.17,0.0,0.0
2016-07-31,25.17,25.17,25.17,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2016-08-07,25.29,25.29,25.29,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.29,25.29,25.29,0.0,0.0
2016-08-14,25.16,25.16,25.16,0.0,0.0,25.16,25.16,25.16,0.0,0.0,25.16,25.16,25.16,0.0,0.0,25.16,25.16,25.16,0.0,0.0
