Date,ARKR_stock_Open_average,ARKR_stock_Open_max,ARKR_stock_Open_min,ARKR_stock_Open_volatility,ARKR_stock_Open_change,ARKR_stock_High_average,ARKR_stock_High_max,ARKR_stock_High_min,ARKR_stock_High_volatility,ARKR_stock_High_change,ARKR_stock_Low_average,ARKR_stock_Low_max,ARKR_stock_Low_min,ARKR_stock_Low_volatility,ARKR_stock_Low_change,ARKR_stock_Close_average,ARKR_stock_Close_max,ARKR_stock_Close_min,ARKR_stock_Close_volatility,ARKR_stock_Close_change,ARKR_stock_Volume_average,ARKR_stock_Volume_max,ARKR_stock_Volume_min,ARKR_stock_Volume_volatility,ARKR_stock_Volume_change
2016-01-03,22.836,22.91,22.76,0.14999999999999858,0.10999999999999943,23.148,23.25,23.0,0.25,-0.25,22.668,22.76,22.6,0.16000000000000014,-0.11999999999999744,22.712,22.89,22.6,0.28999999999999915,-0.2099999999999973,2121,3310,1286,2024,158
2016-01-10,22.492,22.78,22.31,0.4700000000000024,-0.08999999999999986,22.754,23.0,22.59,0.41000000000000014,-0.41000000000000014,22.342,22.53,22.0,0.5300000000000011,-0.5100000000000016,22.472,22.95,22.01,0.9399999999999977,-0.9399999999999977,3561,8900,1456,7444,6077
2016-01-17,21.8975,22.22,21.6,0.6199999999999974,-0.23000000000000043,22.335,22.67,22.03,0.6400000000000006,-0.33000000000000185,21.2725,21.57,21.0,0.5700000000000003,-0.4800000000000004,21.555,21.97,21.18,0.7899999999999991,-0.46999999999999886,3068,4610,1213,3397,1739
2016-01-24,21.622,21.76,21.5,0.26000000000000156,0.26000000000000156,21.836,22.17,21.57,0.6000000000000014,-0.020000000000003126,21.434,21.56,21.3,0.259999999999998,0.2099999999999973,21.546,21.63,21.47,0.16000000000000014,0.00999999999999801,3085,7589,692,6897,-4677
2016-01-31,21.376,21.61,21.13,0.4800000000000004,-0.39000000000000057,21.488,21.82,21.13,0.6900000000000013,-0.6900000000000013,21.024,21.39,20.72,0.6700000000000017,-0.5300000000000011,21.262,21.82,20.94,0.879999999999999,-0.879999999999999,3581,5620,2481,3139,-836
2016-02-07,20.38,20.97,20.15,0.8200000000000003,-0.7199999999999989,20.561999999999998,20.97,20.29,0.6799999999999997,-0.41000000000000014,20.16,20.25,20.01,0.23999999999999844,0.23999999999999844,20.3,20.56,20.01,0.5499999999999972,0.5499999999999972,2752,6249,1309,4940,-1010
2016-02-14,20.2325,20.57,20.05,0.5199999999999996,-0.5199999999999996,20.455000000000002,20.69,20.3,0.39000000000000057,-0.39000000000000057,20.15,20.26,20.04,0.22000000000000242,-0.1999999999999993,20.302500000000002,20.41,20.2,0.21000000000000085,-0.03999999999999915,2498,3150,1630,1520,-1210
2016-02-21,20.312,20.5,20.15,0.3500000000000014,0.21999999999999886,20.706,21.48,20.39,1.0899999999999999,0.990000000000002,20.154,20.25,20.1,0.14999999999999858,0.00999999999999801,20.362,20.52,20.15,0.370000000000001,0.370000000000001,3105,7881,500,7381,-5056
2016-02-28,21.228,21.5,20.51,0.9899999999999984,0.9399999999999977,21.666,21.98,21.52,0.46000000000000085,-0.46000000000000085,21.186,21.42,20.51,0.9100000000000001,0.9100000000000001,21.384,21.49,21.25,0.23999999999999844,0.1700000000000017,2615,4767,761,4006,-3239
2016-03-06,21.38,21.67,21.0,0.6700000000000017,-0.33999999999999986,21.542,21.67,21.43,0.240000000000002,-0.10999999999999943,21.048000000000002,21.4,20.51,0.889999999999997,-0.5700000000000003,21.248,21.59,20.51,1.0799999999999983,0.030000000000001137,4866,11053,1067,9986,63
