Date,ProShares Ultra MSCI JapanEtf_Open_average,ProShares Ultra MSCI JapanEtf_Open_max,ProShares Ultra MSCI JapanEtf_Open_min,ProShares Ultra MSCI JapanEtf_Open_volatility,ProShares Ultra MSCI JapanEtf_Open_change,ProShares Ultra MSCI JapanEtf_High_average,ProShares Ultra MSCI JapanEtf_High_max,ProShares Ultra MSCI JapanEtf_High_min,ProShares Ultra MSCI JapanEtf_High_volatility,ProShares Ultra MSCI JapanEtf_High_change,ProShares Ultra MSCI JapanEtf_Low_average,ProShares Ultra MSCI JapanEtf_Low_max,ProShares Ultra MSCI JapanEtf_Low_min,ProShares Ultra MSCI JapanEtf_Low_volatility,ProShares Ultra MSCI JapanEtf_Low_change,ProShares Ultra MSCI JapanEtf_Close_average,ProShares Ultra MSCI JapanEtf_Close_max,ProShares Ultra MSCI JapanEtf_Close_min,ProShares Ultra MSCI JapanEtf_Close_volatility,ProShares Ultra MSCI JapanEtf_Close_change
2016-01-03,26.96,26.96,26.96,0.0,0.0,26.96,26.96,26.96,0.0,0.0,26.29,26.29,26.29,0.0,0.0,26.29,26.29,26.29,0.0,0.0
2016-01-10,24.7,24.7,24.7,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.52,24.52,24.52,0.0,0.0
2016-01-17,24.27,24.27,24.27,0.0,0.0,25.13,25.13,25.13,0.0,0.0,24.27,24.27,24.27,0.0,0.0,25.11,25.11,25.11,0.0,0.0
2016-01-24,25.2,25.2,25.2,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2016-01-31,24.01,24.01,24.01,0.0,0.0,24.04,24.04,24.04,0.0,0.0,23.53,23.53,23.53,0.0,0.0,23.55,23.55,23.55,0.0,0.0
2016-02-07,20.58,20.58,20.58,0.0,0.0,21.26,21.26,21.26,0.0,0.0,20.47,20.47,20.47,0.0,0.0,21.26,21.26,21.26,0.0,0.0
2016-02-14,22.8,22.8,22.8,0.0,0.0,23.0,23.0,23.0,0.0,0.0,22.7,22.7,22.7,0.0,0.0,22.96,22.96,22.96,0.0,0.0
2016-02-21,24.17,24.17,24.17,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.07,24.07,24.07,0.0,0.0,24.07,24.07,24.07,0.0,0.0
2016-02-28,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2016-03-06,25.66,25.66,25.66,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2016-03-13,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2016-03-20,25.07,25.07,25.07,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.07,25.07,25.07,0.0,0.0,25.1,25.1,25.1,0.0,0.0
2016-03-27,23.8,23.8,23.8,0.0,0.0,24.26,24.26,24.26,0.0,0.0,23.8,23.8,23.8,0.0,0.0,24.22,24.22,24.22,0.0,0.0
2016-04-03,24.99,24.99,24.99,0.0,0.0,25.12,25.12,25.12,0.0,0.0,24.93,24.93,24.93,0.0,0.0,25.12,25.12,25.12,0.0,0.0
2016-04-10,26.93,26.93,26.93,0.0,0.0,26.93,26.93,26.93,0.0,0.0,26.93,26.93,26.93,0.0,0.0,26.93,26.93,26.93,0.0,0.0
2016-04-17,28.82,28.82,28.82,0.0,0.0,28.95,28.95,28.95,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.83,28.83,28.83,0.0,0.0
2016-04-24,25.01,25.01,25.01,0.0,0.0,25.27,25.27,25.27,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.11,25.11,25.11,0.0,0.0
2016-05-01,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.75,25.75,25.75,0.0,0.0
