Date,SPDR S&P 500 High Dividend_etf_Open_average,SPDR S&P 500 High Dividend_etf_Open_max,SPDR S&P 500 High Dividend_etf_Open_min,SPDR S&P 500 High Dividend_etf_Open_volatility,SPDR S&P 500 High Dividend_etf_Open_change,SPDR S&P 500 High Dividend_etf_High_average,SPDR S&P 500 High Dividend_etf_High_max,SPDR S&P 500 High Dividend_etf_High_min,SPDR S&P 500 High Dividend_etf_High_volatility,SPDR S&P 500 High Dividend_etf_High_change,SPDR S&P 500 High Dividend_etf_Low_average,SPDR S&P 500 High Dividend_etf_Low_max,SPDR S&P 500 High Dividend_etf_Low_min,SPDR S&P 500 High Dividend_etf_Low_volatility,SPDR S&P 500 High Dividend_etf_Low_change,SPDR S&P 500 High Dividend_etf_Close_average,SPDR S&P 500 High Dividend_etf_Close_max,SPDR S&P 500 High Dividend_etf_Close_min,SPDR S&P 500 High Dividend_etf_Close_volatility,SPDR S&P 500 High Dividend_etf_Close_change
2016-01-03,28.52,28.52,28.52,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.07,28.07,28.07,0.0,0.0
2016-01-10,29.28,29.28,29.28,0.0,0.0,29.28,29.28,29.28,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.65,27.65,27.65,0.0,0.0
2016-01-17,27.76,27.76,27.76,0.0,0.0,28.08,28.08,28.08,0.0,0.0,27.76,27.76,27.76,0.0,0.0,28.08,28.08,28.08,0.0,0.0
2016-01-24,28.65,28.65,28.65,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.93,28.93,28.93,0.0,0.0
2016-01-31,29.01,29.01,29.01,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.01,29.01,29.01,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2016-02-07,28.17,28.17,28.17,0.0,0.0,28.17,28.17,28.17,0.0,0.0,27.94,27.94,27.94,0.0,0.0,28.01,28.01,28.01,0.0,0.0
2016-02-14,28.94,28.94,28.94,0.0,0.0,29.09,29.09,29.09,0.0,0.0,28.94,28.94,28.94,0.0,0.0,29.09,29.09,29.09,0.0,0.0
2016-02-21,30.19,30.19,30.19,0.0,0.0,30.19,30.19,30.19,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2016-02-28,31.15,31.15,31.15,0.0,0.0,31.43,31.43,31.43,0.0,0.0,30.84,30.84,30.84,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2016-03-06,31.69,31.69,31.69,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2016-03-13,33.74,33.74,33.74,0.0,0.0,34.03,34.03,34.03,0.0,0.0,31.96,31.96,31.96,0.0,0.0,32.16,32.16,32.16,0.0,0.0
2016-03-20,31.65,31.65,31.65,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2016-03-27,32.08,32.08,32.08,0.0,0.0,32.11,32.11,32.11,0.0,0.0,31.85,31.85,31.85,0.0,0.0,32.11,32.11,32.11,0.0,0.0
