Date,Guggenheim CurrencyShares Swiss FrancEtf_Open_average,Guggenheim CurrencyShares Swiss FrancEtf_Open_max,Guggenheim CurrencyShares Swiss FrancEtf_Open_min,Guggenheim CurrencyShares Swiss FrancEtf_Open_volatility,Guggenheim CurrencyShares Swiss FrancEtf_Open_change,Guggenheim CurrencyShares Swiss FrancEtf_High_average,Guggenheim CurrencyShares Swiss FrancEtf_High_max,Guggenheim CurrencyShares Swiss FrancEtf_High_min,Guggenheim CurrencyShares Swiss FrancEtf_High_volatility,Guggenheim CurrencyShares Swiss FrancEtf_High_change,Guggenheim CurrencyShares Swiss FrancEtf_Low_average,Guggenheim CurrencyShares Swiss FrancEtf_Low_max,Guggenheim CurrencyShares Swiss FrancEtf_Low_min,Guggenheim CurrencyShares Swiss FrancEtf_Low_volatility,Guggenheim CurrencyShares Swiss FrancEtf_Low_change,Guggenheim CurrencyShares Swiss FrancEtf_Close_average,Guggenheim CurrencyShares Swiss FrancEtf_Close_max,Guggenheim CurrencyShares Swiss FrancEtf_Close_min,Guggenheim CurrencyShares Swiss FrancEtf_Close_volatility,Guggenheim CurrencyShares Swiss FrancEtf_Close_change
2016-01-03,96.68,96.68,96.68,0.0,0.0,97.05,97.05,97.05,0.0,0.0,96.64,96.64,96.64,0.0,0.0,97.04,97.04,97.04,0.0,0.0
2016-01-10,96.71,96.71,96.71,0.0,0.0,96.77,96.77,96.77,0.0,0.0,96.28,96.28,96.28,0.0,0.0,96.29,96.29,96.29,0.0,0.0
2016-01-17,95.1,95.1,95.1,0.0,0.0,95.22,95.22,95.22,0.0,0.0,94.92,94.92,94.92,0.0,0.0,94.93,94.93,94.93,0.0,0.0
2016-01-24,94.24,94.24,94.24,0.0,0.0,94.36,94.36,94.36,0.0,0.0,94.05,94.05,94.05,0.0,0.0,94.17,94.17,94.17,0.0,0.0
2016-01-31,96.75,96.75,96.75,0.0,0.0,97.22,97.22,97.22,0.0,0.0,96.58,96.58,96.58,0.0,0.0,97.22,97.22,97.22,0.0,0.0
2016-02-07,98.57,98.57,98.57,0.0,0.0,98.81,98.81,98.81,0.0,0.0,98.49,98.49,98.49,0.0,0.0,98.7,98.7,98.7,0.0,0.0
2016-02-14,97.05,97.05,97.05,0.0,0.0,97.42,97.42,97.42,0.0,0.0,97.05,97.05,97.05,0.0,0.0,97.38,97.38,97.38,0.0,0.0
2016-02-21,96.61,96.61,96.61,0.0,0.0,96.78,96.78,96.78,0.0,0.0,96.5,96.5,96.5,0.0,0.0,96.78,96.78,96.78,0.0,0.0
2016-02-28,97.18,97.18,97.18,0.0,0.0,97.36,97.36,97.36,0.0,0.0,96.86,96.86,96.86,0.0,0.0,97.02,97.02,97.02,0.0,0.0
2016-03-06,97.87,97.87,97.87,0.0,0.0,98.22,98.22,98.22,0.0,0.0,97.79,97.79,97.79,0.0,0.0,98.02,98.02,98.02,0.0,0.0
