Date,Vanguard Total Stock MarketEtf_Open_average,Vanguard Total Stock MarketEtf_Open_max,Vanguard Total Stock MarketEtf_Open_min,Vanguard Total Stock MarketEtf_Open_volatility,Vanguard Total Stock MarketEtf_Open_change,Vanguard Total Stock MarketEtf_High_average,Vanguard Total Stock MarketEtf_High_max,Vanguard Total Stock MarketEtf_High_min,Vanguard Total Stock MarketEtf_High_volatility,Vanguard Total Stock MarketEtf_High_change,Vanguard Total Stock MarketEtf_Low_average,Vanguard Total Stock MarketEtf_Low_max,Vanguard Total Stock MarketEtf_Low_min,Vanguard Total Stock MarketEtf_Low_volatility,Vanguard Total Stock MarketEtf_Low_change,Vanguard Total Stock MarketEtf_Close_average,Vanguard Total Stock MarketEtf_Close_max,Vanguard Total Stock MarketEtf_Close_min,Vanguard Total Stock MarketEtf_Close_volatility,Vanguard Total Stock MarketEtf_Close_change
2016-01-03,99.61,99.61,99.61,0.0,0.0,99.99,99.99,99.99,0.0,0.0,97.78,97.78,97.78,0.0,0.0,97.97,97.97,97.97,0.0,0.0
2016-01-10,95.05,95.05,95.05,0.0,0.0,95.88,95.88,95.88,0.0,0.0,94.22,94.22,94.22,0.0,0.0,95.46,95.46,95.46,0.0,0.0
2016-01-17,96.33,96.33,96.33,0.0,0.0,96.89,96.89,96.89,0.0,0.0,95.95,95.95,95.95,0.0,0.0,96.81,96.81,96.81,0.0,0.0
2016-01-24,96.45,96.45,96.45,0.0,0.0,98.36,98.36,98.36,0.0,0.0,96.35,96.35,96.35,0.0,0.0,98.33,98.33,98.33,0.0,0.0
2016-01-31,96.94,96.94,96.94,0.0,0.0,97.0,97.0,97.0,0.0,0.0,94.95,94.95,94.95,0.0,0.0,95.26,95.26,95.26,0.0,0.0
2016-02-07,93.47,93.47,93.47,0.0,0.0,94.38,94.38,94.38,0.0,0.0,93.01,93.01,93.01,0.0,0.0,94.36,94.36,94.36,0.0,0.0
2016-02-14,96.85,96.85,96.85,0.0,0.0,97.36,97.36,97.36,0.0,0.0,96.43,96.43,96.43,0.0,0.0,97.3,97.3,97.3,0.0,0.0
2016-02-21,99.67,99.67,99.67,0.0,0.0,99.76,99.76,99.76,0.0,0.0,98.96,98.96,98.96,0.0,0.0,99.11,99.11,99.11,0.0,0.0
2016-02-28,101.89,101.89,101.89,0.0,0.0,102.6,102.6,102.6,0.0,0.0,101.4,101.4,101.4,0.0,0.0,102.07,102.07,102.07,0.0,0.0
2016-03-06,102.37,102.37,102.37,0.0,0.0,103.24,103.24,103.24,0.0,0.0,102.33,102.33,102.33,0.0,0.0,103.19,103.19,103.19,0.0,0.0
