Date,IBM_stock_Open_average,IBM_stock_Open_max,IBM_stock_Open_min,IBM_stock_Open_volatility,IBM_stock_Open_change,IBM_stock_High_average,IBM_stock_High_max,IBM_stock_High_min,IBM_stock_High_volatility,IBM_stock_High_change,IBM_stock_Low_average,IBM_stock_Low_max,IBM_stock_Low_min,IBM_stock_Low_volatility,IBM_stock_Low_change,IBM_stock_Close_average,IBM_stock_Close_max,IBM_stock_Close_min,IBM_stock_Close_volatility,IBM_stock_Close_change,IBM_stock_Volume_average,IBM_stock_Volume_max,IBM_stock_Volume_min,IBM_stock_Volume_volatility,IBM_stock_Volume_change
2016-01-03,134.724,136.76,133.18,3.579999999999984,-2.4199999999999875,135.456,136.89,133.82,3.069999999999993,-2.1500000000000057,133.292,134.85,131.32,3.530000000000001,-2.920000000000016,134.292,135.95,131.63,4.319999999999993,-4.319999999999993,5050715,7025760,3924793,3100967,-466675
2016-01-10,132.18,133.65,130.01,3.640000000000015,-1.8000000000000114,133.31,134.28,130.88,3.4000000000000057,-2.9399999999999977,130.816,131.76,128.87,2.8899999999999864,-2.8899999999999864,132.048,133.23,130.03,3.1999999999999886,-3.1999999999999886,5894260,9008460,4700115,4308345,4034024
2016-01-17,123.635,130.11,118.46,11.65000000000002,-5.440000000000012,126.48249999999999,132.1,123.99,8.11,-7.359999999999999,122.10249999999999,128.06,118.0,10.060000000000002,-6.290000000000006,123.845,128.11,121.86,6.250000000000014,-5.610000000000014,11056846,16157796,8851641,7306155,-741225
2016-01-24,122.324,123.28,121.26,2.019999999999996,1.1800000000000068,123.766,124.79,122.83,1.960000000000008,0.5600000000000023,121.7,122.96,120.65,2.309999999999988,1.3199999999999932,122.528,124.79,120.96,3.8300000000000125,2.710000000000008,5456144,8248087,3942537,4305550,2802131
2016-01-31,124.872,127.22,123.67,3.549999999999997,2.819999999999993,126.404,128.64,124.14,4.499999999999986,3.34999999999998,123.898,125.85,122.29,3.559999999999988,2.1400000000000006,125.742,128.57,122.94,5.6299999999999955,3.739999999999995,5105978,7177706,3287318,3890388,3602822
2016-02-07,123.032,126.12,118.78,7.340000000000003,-6.739999999999995,124.08800000000001,127.51,119.66,7.8500000000000085,-6.460000000000008,120.598,124.13,116.9,7.22999999999999,-5.780000000000001,122.026,126.98,117.85,9.13000000000001,-5.939999999999998,6406905,7364043,4936514,2427529,-2427529
2016-02-14,126.975,132.36,121.83,10.530000000000015,10.530000000000015,129.3275,134.0,123.09,10.909999999999997,10.560000000000002,126.295,130.84,121.34,9.5,9.5,128.5925,133.08,122.74,10.340000000000018,10.340000000000018,5989821,9951644,4061382,5890262,1063894
2016-02-21,133.266,134.51,131.55,2.9599999999999795,0.6699999999999875,134.128,134.92,133.41,1.509999999999991,0.6099999999999852,131.386,132.41,129.68,2.7299999999999898,-0.46000000000000796,133.1,134.5,132.03,2.469999999999999,-1.740000000000009,4152870,4457444,3439731,1017713,-71195
2016-02-28,134.538,137.53,132.0,5.530000000000001,5.530000000000001,136.564,139.42,133.36,6.059999999999974,6.059999999999974,133.848,137.02,130.9,6.1200000000000045,6.1200000000000045,135.46,137.8,131.03,6.77000000000001,6.77000000000001,4511718,5217230,3788514,1428716,-459571
2016-03-06,139.854,141.73,137.28,4.449999999999989,4.449999999999989,141.48399999999998,142.92,140.35,2.569999999999993,2.4099999999999966,138.424,140.51,136.87,3.6399999999999864,3.6399999999999864,140.436,142.36,139.07,3.2900000000000205,2.210000000000008,4719817,5579131,4020554,1558577,-749027
