Date,WisdomTree Barclays Negative Duration US Aggregate_etf_Open_average,WisdomTree Barclays Negative Duration US Aggregate_etf_Open_max,WisdomTree Barclays Negative Duration US Aggregate_etf_Open_min,WisdomTree Barclays Negative Duration US Aggregate_etf_Open_volatility,WisdomTree Barclays Negative Duration US Aggregate_etf_Open_change,WisdomTree Barclays Negative Duration US Aggregate_etf_High_average,WisdomTree Barclays Negative Duration US Aggregate_etf_High_max,WisdomTree Barclays Negative Duration US Aggregate_etf_High_min,WisdomTree Barclays Negative Duration US Aggregate_etf_High_volatility,WisdomTree Barclays Negative Duration US Aggregate_etf_High_change,WisdomTree Barclays Negative Duration US Aggregate_etf_Low_average,WisdomTree Barclays Negative Duration US Aggregate_etf_Low_max,WisdomTree Barclays Negative Duration US Aggregate_etf_Low_min,WisdomTree Barclays Negative Duration US Aggregate_etf_Low_volatility,WisdomTree Barclays Negative Duration US Aggregate_etf_Low_change,WisdomTree Barclays Negative Duration US Aggregate_etf_Close_average,WisdomTree Barclays Negative Duration US Aggregate_etf_Close_max,WisdomTree Barclays Negative Duration US Aggregate_etf_Close_min,WisdomTree Barclays Negative Duration US Aggregate_etf_Close_volatility,WisdomTree Barclays Negative Duration US Aggregate_etf_Close_change
2016-01-03,43.85,43.85,43.85,0.0,0.0,43.85,43.85,43.85,0.0,0.0,43.75,43.75,43.75,0.0,0.0,43.78,43.78,43.78,0.0,0.0
2016-01-10,43.39,43.39,43.39,0.0,0.0,43.41,43.41,43.41,0.0,0.0,43.36,43.36,43.36,0.0,0.0,43.41,43.41,43.41,0.0,0.0
2016-01-17,43.18,43.18,43.18,0.0,0.0,43.18,43.18,43.18,0.0,0.0,43.18,43.18,43.18,0.0,0.0,43.18,43.18,43.18,0.0,0.0
2016-01-24,42.91,42.91,42.91,0.0,0.0,43.19,43.19,43.19,0.0,0.0,42.73,42.73,42.73,0.0,0.0,42.73,42.73,42.73,0.0,0.0
2016-01-31,42.49,42.49,42.49,0.0,0.0,42.76,42.76,42.76,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.75,42.75,42.75,0.0,0.0
2016-02-07,41.9,41.9,41.9,0.0,0.0,42.37,42.37,42.37,0.0,0.0,41.52,41.52,41.52,0.0,0.0,42.35,42.35,42.35,0.0,0.0
2016-02-14,42.35,42.35,42.35,0.0,0.0,42.44,42.44,42.44,0.0,0.0,42.35,42.35,42.35,0.0,0.0,42.38,42.38,42.38,0.0,0.0
2016-02-21,42.05,42.05,42.05,0.0,0.0,42.39,42.39,42.39,0.0,0.0,42.05,42.05,42.05,0.0,0.0,42.07,42.07,42.07,0.0,0.0
2016-02-28,42.78,42.78,42.78,0.0,0.0,42.92,42.92,42.92,0.0,0.0,42.65,42.65,42.65,0.0,0.0,42.86,42.86,42.86,0.0,0.0
2016-03-06,42.64,42.64,42.64,0.0,0.0,42.96,42.96,42.96,0.0,0.0,42.58,42.58,42.58,0.0,0.0,42.58,42.58,42.58,0.0,0.0
