Date,CDTI_stock_Open_average,CDTI_stock_Open_max,CDTI_stock_Open_min,CDTI_stock_Open_volatility,CDTI_stock_Open_change,CDTI_stock_High_average,CDTI_stock_High_max,CDTI_stock_High_min,CDTI_stock_High_volatility,CDTI_stock_High_change,CDTI_stock_Low_average,CDTI_stock_Low_max,CDTI_stock_Low_min,CDTI_stock_Low_volatility,CDTI_stock_Low_change,CDTI_stock_Close_average,CDTI_stock_Close_max,CDTI_stock_Close_min,CDTI_stock_Close_volatility,CDTI_stock_Close_change,CDTI_stock_Volume_average,CDTI_stock_Volume_max,CDTI_stock_Volume_min,CDTI_stock_Volume_volatility,CDTI_stock_Volume_change
2016-01-03,4.4901,4.7505,4.05,0.7004999999999999,-0.6500000000000004,4.6253,5.0,4.25,0.75,-0.5,4.23,4.7,3.6,1.1,-0.9999999999999996,4.317,4.8,3.7,1.0999999999999996,-1.0,33977,51991,6863,45128,45128
2016-01-10,3.374,3.7,2.85,0.8500000000000001,-0.8500000000000001,3.5298,3.8989999999999996,3.0,0.8989999999999996,-0.8989999999999996,3.0658,3.511,2.56,0.9510000000000001,-0.911,3.2076,3.55,2.8,0.75,-0.6624999999999996,46849,119097,16705,102392,-20629
2016-01-17,3.19125,3.7,2.85,0.8500000000000001,-0.33499999999999996,3.4,3.7,3.0,0.7000000000000002,-0.10000000000000009,2.8518749999999997,3.2489999999999997,2.6,0.6489999999999996,0.4904999999999995,3.135,3.55,2.85,0.6999999999999997,0.6999999999999997,37411,48654,27566,21088,9611
2016-01-24,3.334,3.62,3.0,0.6200000000000001,-0.2200000000000002,3.56,3.9,3.15,0.75,0.10000000000000009,3.0771,3.3,2.76,0.54,0.54,3.2782,3.765,2.875,0.8900000000000001,0.8900000000000001,34950,72313,10121,62192,-15882
2016-01-31,3.8781,4.325,3.55,0.7750000000000004,0.7750000000000004,4.0814,4.325,3.9,0.42500000000000027,0.3250000000000002,3.731,3.95,3.5,0.4500000000000002,0.4500000000000002,3.9754,4.2155,3.815,0.40049999999999963,0.08550000000000013,14995,20027,6671,13356,5988
2016-02-07,3.83,3.95,3.75,0.20000000000000018,-0.10000000000000009,3.9455999999999998,4.0,3.8,0.20000000000000018,-0.20000000000000018,3.65,3.9,3.3,0.6000000000000001,-0.6000000000000001,3.7059,3.95,3.475,0.4750000000000001,-0.4750000000000001,18379,30681,7091,23590,23590
2016-02-14,3.17375,3.395,3.0,0.395,-0.29499999999999993,3.3072500000000002,3.572,3.1010000000000004,0.47099999999999964,-0.47099999999999964,2.8901250000000003,3.2,2.65,0.5500000000000003,-0.25,3.068625,3.35,2.65,0.7000000000000002,-0.2749999999999999,34963,61255,11621,49634,-24295
2016-02-21,3.224,3.5,3.1,0.3999999999999999,-0.04999999999999982,3.3407,3.5,3.1485,0.35150000000000015,0.10499999999999998,3.0259,3.125,2.9995,0.12550000000000017,0.000500000000000167,3.2192,3.4,3.1,0.2999999999999998,0.10999999999999988,16485,47390,5023,42367,42367
2016-02-28,3.768,4.05,3.44,0.6099999999999999,0.5100000000000002,3.9594,4.25,3.65,0.6000000000000001,0.5470000000000002,3.6322,3.9,3.3115,0.5884999999999998,0.4884999999999997,3.7861000000000002,3.95,3.4305,0.5195000000000003,0.5195000000000003,24097,36204,16063,20141,9204
2016-03-06,3.92,4.25,3.7,0.5499999999999998,-0.1499999999999999,4.0671,4.25,3.8105,0.4394999999999998,-0.25000000000000044,3.75,3.95,3.55,0.40000000000000036,-0.25,3.8555,4.1,3.5775,0.5224999999999995,-0.2250000000000001,21425,33457,13411,20046,-4421
2016-03-13,3.62,3.75,3.4,0.3500000000000001,0.0,3.708,3.84,3.5,0.33999999999999986,0.08999999999999986,3.4903,3.6005,3.4,0.2004999999999999,-0.0004999999999997229,3.58,3.7,3.4,0.30000000000000027,-0.10000000000000009,14467,25917,4377,21540,8158
2016-03-20,3.6625,3.75,3.6,0.1499999999999999,0.10000000000000009,3.762625,3.8255,3.7,0.12549999999999972,-0.125,3.546875,3.6755,3.5,0.1755,-0.01200000000000001,3.635625,3.7,3.5525,0.14749999999999996,-0.13749999999999973,6289,11550,3607,7943,148
2016-03-27,3.69,3.8,3.6,0.19999999999999973,0.0,3.7514,3.806,3.65,0.15600000000000014,0.0,3.53,3.6,3.4,0.20000000000000018,0.0,3.6077,3.7005,3.55,0.15050000000000008,-0.06299999999999972,23779,40601,9510,31091,31091
2016-04-03,3.5901,3.7005,3.4,0.3005,-0.25,3.7103,3.802,3.5755,0.22650000000000015,-0.22650000000000015,3.5217,3.6439999999999997,3.4,0.24399999999999977,-0.24399999999999977,3.6045,3.745,3.5,0.2450000000000001,-0.19500000000000028,18457,23585,13875,9710,-4466
2016-04-10,3.5301,3.6,3.45,0.1499999999999999,-0.10000000000000009,3.6,3.7,3.5,0.20000000000000018,-0.20000000000000018,3.37,3.55,2.9,0.6499999999999999,-0.6499999999999999,3.4382,3.5505,3.19,0.36050000000000004,-0.36050000000000004,30853,81046,7575,73471,62330
2016-04-17,3.32,3.4,3.25,0.1499999999999999,-0.1499999999999999,3.4177999999999997,3.5,3.35,0.1499999999999999,-0.04999999999999982,3.1903,3.25,3.1015,0.14849999999999985,0.050000000000000266,3.288,3.44,3.2,0.23999999999999977,0.0,22100,28079,16405,11674,-11674
2016-04-24,3.158,3.25,3.1,0.1499999999999999,-0.10000000000000009,3.198,3.29,3.125,0.16500000000000004,-0.16500000000000004,2.9899999999999998,3.15,2.8,0.3500000000000001,-0.3500000000000001,3.0505,3.25,2.835,0.41500000000000004,-0.41500000000000004,28525,44784,15562,29222,25472
2016-05-01,2.713,2.835,2.55,0.28500000000000014,-0.18500000000000005,2.8080000000000003,2.9,2.74,0.1599999999999997,-0.1599999999999997,2.5824,2.7,2.512,0.18800000000000017,-0.18800000000000017,2.688,2.75,2.625,0.125,-0.009999999999999787,27703,56268,14820,41448,-8060
2016-05-08,2.414,2.8,2.05,0.75,-0.75,2.4699999999999998,2.8,2.15,0.6499999999999999,-0.6499999999999999,2.069,2.5,1.895,0.605,-0.605,2.2331,2.65,1.96,0.69,-0.69,45608,93448,17887,75561,33044
2016-05-15,1.8419999999999999,1.95,1.65,0.30000000000000004,-0.30000000000000004,1.9338,2.0,1.85,0.1499999999999999,-0.119,1.7,1.75,1.65,0.10000000000000009,0.0,1.772,1.825,1.7,0.125,-0.03500000000000014,32616,45583,21659,23924,-13642
2016-05-22,1.8418,2.0,1.7,0.30000000000000004,0.19999999999999996,1.9875,2.25,1.8,0.44999999999999996,0.16249999999999987,1.7414,1.8065,1.7,0.10650000000000004,0.10650000000000004,1.8518999999999999,2.0595,1.7,0.35949999999999993,0.19999999999999996,44727,89263,14996,74267,10774
