Date,VanEck Vectors Coal_etf_Open_average,VanEck Vectors Coal_etf_Open_max,VanEck Vectors Coal_etf_Open_min,VanEck Vectors Coal_etf_Open_volatility,VanEck Vectors Coal_etf_Open_change,VanEck Vectors Coal_etf_High_average,VanEck Vectors Coal_etf_High_max,VanEck Vectors Coal_etf_High_min,VanEck Vectors Coal_etf_High_volatility,VanEck Vectors Coal_etf_High_change,VanEck Vectors Coal_etf_Low_average,VanEck Vectors Coal_etf_Low_max,VanEck Vectors Coal_etf_Low_min,VanEck Vectors Coal_etf_Low_volatility,VanEck Vectors Coal_etf_Low_change,VanEck Vectors Coal_etf_Close_average,VanEck Vectors Coal_etf_Close_max,VanEck Vectors Coal_etf_Close_min,VanEck Vectors Coal_etf_Close_volatility,VanEck Vectors Coal_etf_Close_change
2016-01-03,57.75,57.75,57.75,0.0,0.0,58.34,58.34,58.34,0.0,0.0,56.95,56.95,56.95,0.0,0.0,56.95,56.95,56.95,0.0,0.0
2016-01-10,52.85,52.85,52.85,0.0,0.0,53.25,53.25,53.25,0.0,0.0,52.35,52.35,52.35,0.0,0.0,53.25,53.25,53.25,0.0,0.0
2016-01-17,55.75,55.75,55.75,0.0,0.0,56.95,56.95,56.95,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.74,55.74,55.74,0.0,0.0
2016-01-24,57.45,57.45,57.45,0.0,0.0,59.24,59.24,59.24,0.0,0.0,57.45,57.45,57.45,0.0,0.0,59.24,59.24,59.24,0.0,0.0
2016-01-31,61.94,61.94,61.94,0.0,0.0,62.16,62.16,62.16,0.0,0.0,61.24,61.24,61.24,0.0,0.0,61.44,61.44,61.44,0.0,0.0
2016-02-07,58.44,58.44,58.44,0.0,0.0,60.54,60.54,60.54,0.0,0.0,58.44,58.44,58.44,0.0,0.0,60.34,60.34,60.34,0.0,0.0
2016-02-14,64.24,64.24,64.24,0.0,0.0,64.24,64.24,64.24,0.0,0.0,63.24,63.24,63.24,0.0,0.0,63.94,63.94,63.94,0.0,0.0
2016-02-21,63.84,63.84,63.84,0.0,0.0,65.04,65.04,65.04,0.0,0.0,63.24,63.24,63.24,0.0,0.0,63.94,63.94,63.94,0.0,0.0
2016-02-28,73.33,73.33,73.33,0.0,0.0,75.73,75.73,75.73,0.0,0.0,73.13,73.13,73.13,0.0,0.0,74.03,74.03,74.03,0.0,0.0
2016-03-06,76.13,76.13,76.13,0.0,0.0,76.92,76.92,76.92,0.0,0.0,76.13,76.13,76.13,0.0,0.0,76.23,76.23,76.23,0.0,0.0
