Date,PowerShares High Yield Equity Dividend Achievers P_etf_Open_average,PowerShares High Yield Equity Dividend Achievers P_etf_Open_max,PowerShares High Yield Equity Dividend Achievers P_etf_Open_min,PowerShares High Yield Equity Dividend Achievers P_etf_Open_volatility,PowerShares High Yield Equity Dividend Achievers P_etf_Open_change,PowerShares High Yield Equity Dividend Achievers P_etf_High_average,PowerShares High Yield Equity Dividend Achievers P_etf_High_max,PowerShares High Yield Equity Dividend Achievers P_etf_High_min,PowerShares High Yield Equity Dividend Achievers P_etf_High_volatility,PowerShares High Yield Equity Dividend Achievers P_etf_High_change,PowerShares High Yield Equity Dividend Achievers P_etf_Low_average,PowerShares High Yield Equity Dividend Achievers P_etf_Low_max,PowerShares High Yield Equity Dividend Achievers P_etf_Low_min,PowerShares High Yield Equity Dividend Achievers P_etf_Low_volatility,PowerShares High Yield Equity Dividend Achievers P_etf_Low_change,PowerShares High Yield Equity Dividend Achievers P_etf_Close_average,PowerShares High Yield Equity Dividend Achievers P_etf_Close_max,PowerShares High Yield Equity Dividend Achievers P_etf_Close_min,PowerShares High Yield Equity Dividend Achievers P_etf_Close_volatility,PowerShares High Yield Equity Dividend Achievers P_etf_Close_change
2016-01-03,12.88,12.88,12.88,0.0,0.0,12.89,12.89,12.89,0.0,0.0,12.67,12.67,12.67,0.0,0.0,12.69,12.69,12.69,0.0,0.0
2016-01-10,12.37,12.37,12.37,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.25,12.25,12.25,0.0,0.0,12.41,12.41,12.41,0.0,0.0
2016-01-17,12.49,12.49,12.49,0.0,0.0,12.61,12.61,12.61,0.0,0.0,12.43,12.43,12.43,0.0,0.0,12.6,12.6,12.6,0.0,0.0
2016-01-24,12.85,12.85,12.85,0.0,0.0,13.09,13.09,13.09,0.0,0.0,12.84,12.84,12.84,0.0,0.0,13.08,13.08,13.08,0.0,0.0
2016-01-31,13.11,13.11,13.11,0.0,0.0,13.11,13.11,13.11,0.0,0.0,13.03,13.03,13.03,0.0,0.0,13.06,13.06,13.06,0.0,0.0
2016-02-07,12.74,12.74,12.74,0.0,0.0,12.84,12.84,12.84,0.0,0.0,12.67,12.67,12.67,0.0,0.0,12.82,12.82,12.82,0.0,0.0
2016-02-14,13.09,13.09,13.09,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.05,13.05,13.05,0.0,0.0,13.12,13.12,13.12,0.0,0.0
2016-02-21,13.39,13.39,13.39,0.0,0.0,13.39,13.39,13.39,0.0,0.0,13.2,13.2,13.2,0.0,0.0,13.24,13.24,13.24,0.0,0.0
2016-02-28,13.68,13.68,13.68,0.0,0.0,13.87,13.87,13.87,0.0,0.0,13.66,13.66,13.66,0.0,0.0,13.84,13.84,13.84,0.0,0.0
2016-03-06,13.99,13.99,13.99,0.0,0.0,14.09,14.09,14.09,0.0,0.0,13.99,13.99,13.99,0.0,0.0,14.04,14.04,14.04,0.0,0.0
2016-03-13,14.33,14.33,14.33,0.0,0.0,14.37,14.37,14.37,0.0,0.0,14.25,14.25,14.25,0.0,0.0,14.28,14.28,14.28,0.0,0.0
2016-03-20,13.94,13.94,13.94,0.0,0.0,14.06,14.06,14.06,0.0,0.0,13.86,13.86,13.86,0.0,0.0,14.06,14.06,14.06,0.0,0.0
2016-03-27,14.15,14.15,14.15,0.0,0.0,14.24,14.24,14.24,0.0,0.0,14.08,14.08,14.08,0.0,0.0,14.24,14.24,14.24,0.0,0.0
2016-04-03,14.01,14.01,14.01,0.0,0.0,14.14,14.14,14.14,0.0,0.0,13.97,13.97,13.97,0.0,0.0,14.0,14.0,14.0,0.0,0.0
2016-04-10,14.38,14.38,14.38,0.0,0.0,14.42,14.42,14.42,0.0,0.0,14.34,14.34,14.34,0.0,0.0,14.4,14.4,14.4,0.0,0.0
2016-04-17,14.56,14.56,14.56,0.0,0.0,14.72,14.72,14.72,0.0,0.0,14.56,14.56,14.56,0.0,0.0,14.72,14.72,14.72,0.0,0.0
2016-04-24,14.86,14.86,14.86,0.0,0.0,14.94,14.94,14.94,0.0,0.0,14.76,14.76,14.76,0.0,0.0,14.91,14.91,14.91,0.0,0.0
2016-05-01,14.58,14.58,14.58,0.0,0.0,14.69,14.69,14.69,0.0,0.0,14.53,14.53,14.53,0.0,0.0,14.67,14.67,14.67,0.0,0.0
2016-05-08,14.75,14.75,14.75,0.0,0.0,14.79,14.79,14.79,0.0,0.0,14.56,14.56,14.56,0.0,0.0,14.6,14.6,14.6,0.0,0.0
2016-05-15,14.59,14.59,14.59,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.56,14.56,14.56,0.0,0.0,14.65,14.65,14.65,0.0,0.0
2016-05-22,14.99,14.99,14.99,0.0,0.0,15.0,15.0,15.0,0.0,0.0,14.93,14.93,14.93,0.0,0.0,15.0,15.0,15.0,0.0,0.0
2016-05-29,15.11,15.11,15.11,0.0,0.0,15.16,15.16,15.16,0.0,0.0,15.03,15.03,15.03,0.0,0.0,15.14,15.14,15.14,0.0,0.0
2016-06-05,15.37,15.37,15.37,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.19,15.19,15.19,0.0,0.0,15.24,15.24,15.24,0.0,0.0
2016-06-12,15.09,15.09,15.09,0.0,0.0,15.2,15.2,15.2,0.0,0.0,15.09,15.09,15.09,0.0,0.0,15.15,15.15,15.15,0.0,0.0
2016-06-19,15.23,15.23,15.23,0.0,0.0,15.34,15.34,15.34,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.08,15.08,15.08,0.0,0.0
2016-06-26,15.55,15.55,15.55,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.5,15.5,15.5,0.0,0.0,15.56,15.56,15.56,0.0,0.0
2016-07-03,15.53,15.53,15.53,0.0,0.0,15.66,15.66,15.66,0.0,0.0,15.5,15.5,15.5,0.0,0.0,15.65,15.65,15.65,0.0,0.0
2016-07-10,15.91,15.91,15.91,0.0,0.0,15.97,15.97,15.97,0.0,0.0,15.88,15.88,15.88,0.0,0.0,15.95,15.95,15.95,0.0,0.0
2016-07-17,15.87,15.87,15.87,0.0,0.0,15.95,15.95,15.95,0.0,0.0,15.84,15.84,15.84,0.0,0.0,15.95,15.95,15.95,0.0,0.0
