Date,CCM_stock_Open_average,CCM_stock_Open_max,CCM_stock_Open_min,CCM_stock_Open_volatility,CCM_stock_Open_change,CCM_stock_High_average,CCM_stock_High_max,CCM_stock_High_min,CCM_stock_High_volatility,CCM_stock_High_change,CCM_stock_Low_average,CCM_stock_Low_max,CCM_stock_Low_min,CCM_stock_Low_volatility,CCM_stock_Low_change,CCM_stock_Close_average,CCM_stock_Close_max,CCM_stock_Close_min,CCM_stock_Close_volatility,CCM_stock_Close_change,CCM_stock_Volume_average,CCM_stock_Volume_max,CCM_stock_Volume_min,CCM_stock_Volume_volatility,CCM_stock_Volume_change
2016-01-03,4.836,4.97,4.72,0.25,-0.07000000000000028,4.9402,5.135,4.82,0.3149999999999995,-0.006000000000000227,4.748,4.96,4.62,0.33999999999999986,-0.1200000000000001,4.838,5.06,4.67,0.3899999999999997,-0.09999999999999964,51634,89927,23268,66659,5118
2016-01-10,4.508,4.67,4.22,0.4500000000000002,-0.29000000000000004,4.6318,4.73,4.47,0.2600000000000007,-0.2600000000000007,4.41,4.66,4.22,0.4400000000000004,-0.40000000000000036,4.47,4.66,4.32,0.33999999999999986,-0.28000000000000025,49363,109146,30906,78240,4419
2016-01-17,4.28,4.4,4.12,0.28000000000000025,0.10000000000000053,4.5075,4.61,4.33,0.28000000000000025,0.07000000000000028,4.220000000000001,4.4,4.07,0.33000000000000007,0.10000000000000053,4.3725000000000005,4.52,4.19,0.3299999999999992,0.13999999999999968,43227,63871,23702,40169,-22106
2016-01-24,4.5360000000000005,4.64,4.48,0.15999999999999925,0.14999999999999947,4.7356,4.82,4.59,0.23000000000000043,0.10799999999999965,4.5,4.56,4.47,0.08999999999999986,0.0699999999999994,4.614,4.72,4.47,0.25,0.09999999999999964,22605,32875,10810,22065,-12470
2016-01-31,4.83,4.95,4.7,0.25,0.1200000000000001,4.9692,5.05,4.9430000000000005,0.10699999999999932,-0.09699999999999953,4.8020000000000005,4.86,4.7,0.16000000000000014,0.1200000000000001,4.898000000000001,5.0,4.82,0.17999999999999972,-0.1299999999999999,23535,63179,5166,58013,-46503
2016-02-07,4.632,4.81,4.46,0.34999999999999964,-0.1999999999999993,4.776,4.85,4.63,0.21999999999999975,-0.009999999999999787,4.552,4.61,4.46,0.15000000000000036,0.0,4.62,4.71,4.52,0.1900000000000004,0.09999999999999964,32054,90788,4813,85975,3786
2016-02-14,4.7925,4.86,4.69,0.16999999999999993,0.0699999999999994,4.88,4.88,4.88,0.0,0.0,4.74875,4.795,4.69,0.10499999999999954,0.0699999999999994,4.8100000000000005,4.84,4.76,0.08000000000000007,0.0600000000000005,13382,25034,6310,18724,-5958
2016-02-21,4.8098,4.85,4.779,0.07099999999999973,-0.05999999999999961,4.844,4.88,4.79,0.08999999999999986,0.03000000000000025,4.746,4.78,4.7,0.08000000000000007,-0.040000000000000036,4.7944,4.83,4.732,0.09799999999999986,0.040000000000000036,10130,15042,4588,10454,1613
2016-02-28,4.646,4.74,4.6,0.14000000000000057,-0.08999999999999986,4.716,4.88,4.63,0.25,0.09999999999999964,4.5506,4.583,4.51,0.0730000000000004,-0.0600000000000005,4.588,4.61,4.55,0.0600000000000005,0.019999999999999574,52737,191506,7669,183837,155611
2016-03-06,4.748,4.83,4.7,0.1299999999999999,0.009999999999999787,4.812,4.93,4.75,0.17999999999999972,0.1299999999999999,4.6724,4.7,4.63,0.07000000000000028,0.025000000000000355,4.784,4.93,4.69,0.23999999999999932,0.1299999999999999,29856,36382,20622,15760,-11650
2016-03-13,4.9,5.0,4.8,0.20000000000000018,-0.040000000000000036,4.974,5.0,4.92,0.08000000000000007,-0.040000000000000036,4.808,4.86,4.7,0.16000000000000014,-0.019999999999999574,4.868,4.99,4.77,0.22000000000000064,0.0,44082,87470,14932,72538,5204
2016-03-20,4.94,4.99,4.89,0.10000000000000053,-0.010000000000000675,4.9725,5.02,4.9,0.11999999999999922,-0.11999999999999922,4.842499999999999,4.89,4.8,0.08999999999999986,-0.08000000000000007,4.9174999999999995,5.02,4.85,0.16999999999999993,-0.16999999999999993,74868,132724,33807,98917,-97367
2016-03-27,4.864,4.97,4.7,0.2699999999999996,0.0,4.9538,5.0,4.869,0.13100000000000023,0.09999999999999964,4.8062,4.9,4.7,0.20000000000000018,0.0389999999999997,4.912,4.99,4.84,0.15000000000000036,0.15000000000000036,41664,51879,27878,24001,3192
2016-04-03,4.916,4.95,4.88,0.07000000000000028,-0.04999999999999982,4.954000000000001,5.0,4.9,0.09999999999999964,-0.019999999999999574,4.877,4.92,4.8,0.1200000000000001,-0.03000000000000025,4.912,4.96,4.88,0.08000000000000007,0.040000000000000036,28486,42477,15013,27464,-7344
2016-04-10,4.85,4.93,4.78,0.14999999999999947,-0.1200000000000001,4.946,5.0,4.91,0.08999999999999986,-0.019999999999999574,4.8154,4.88,4.78,0.09999999999999964,0.02799999999999958,4.88,4.95,4.81,0.14000000000000057,0.040000000000000036,57809,210969,13125,197844,-10342
2016-04-17,4.856,4.9,4.81,0.09000000000000075,0.05000000000000071,4.949,4.995,4.89,0.10500000000000043,-0.10500000000000043,4.822,4.84,4.81,0.03000000000000025,0.03000000000000025,4.888,4.95,4.83,0.1200000000000001,-0.07000000000000028,41997,126057,4913,121144,-36000
