Date,Rogers International Commodity Metals Total ReturnEtf_Open_average,Rogers International Commodity Metals Total ReturnEtf_Open_max,Rogers International Commodity Metals Total ReturnEtf_Open_min,Rogers International Commodity Metals Total ReturnEtf_Open_volatility,Rogers International Commodity Metals Total ReturnEtf_Open_change,Rogers International Commodity Metals Total ReturnEtf_High_average,Rogers International Commodity Metals Total ReturnEtf_High_max,Rogers International Commodity Metals Total ReturnEtf_High_min,Rogers International Commodity Metals Total ReturnEtf_High_volatility,Rogers International Commodity Metals Total ReturnEtf_High_change,Rogers International Commodity Metals Total ReturnEtf_Low_average,Rogers International Commodity Metals Total ReturnEtf_Low_max,Rogers International Commodity Metals Total ReturnEtf_Low_min,Rogers International Commodity Metals Total ReturnEtf_Low_volatility,Rogers International Commodity Metals Total ReturnEtf_Low_change,Rogers International Commodity Metals Total ReturnEtf_Close_average,Rogers International Commodity Metals Total ReturnEtf_Close_max,Rogers International Commodity Metals Total ReturnEtf_Close_min,Rogers International Commodity Metals Total ReturnEtf_Close_volatility,Rogers International Commodity Metals Total ReturnEtf_Close_change
2016-01-03,6.33,6.33,6.33,0.0,0.0,6.34,6.34,6.34,0.0,0.0,6.31,6.31,6.31,0.0,0.0,6.31,6.31,6.31,0.0,0.0
2016-01-10,6.2,6.2,6.2,0.0,0.0,6.2,6.2,6.2,0.0,0.0,6.2,6.2,6.2,0.0,0.0,6.2,6.2,6.2,0.0,0.0
2016-01-17,6.34,6.34,6.34,0.0,0.0,6.39,6.39,6.39,0.0,0.0,6.3,6.3,6.3,0.0,0.0,6.33,6.33,6.33,0.0,0.0
2016-01-24,6.48,6.48,6.48,0.0,0.0,6.48,6.48,6.48,0.0,0.0,6.47,6.47,6.47,0.0,0.0,6.47,6.47,6.47,0.0,0.0
2016-01-31,6.64,6.64,6.64,0.0,0.0,6.64,6.64,6.64,0.0,0.0,6.63,6.63,6.63,0.0,0.0,6.63,6.63,6.63,0.0,0.0
2016-02-07,6.83,6.83,6.83,0.0,0.0,6.84,6.84,6.84,0.0,0.0,6.79,6.79,6.79,0.0,0.0,6.79,6.79,6.79,0.0,0.0
2016-02-14,6.81,6.81,6.81,0.0,0.0,6.81,6.81,6.81,0.0,0.0,6.81,6.81,6.81,0.0,0.0,6.81,6.81,6.81,0.0,0.0
2016-02-21,6.84,6.84,6.84,0.0,0.0,6.84,6.84,6.84,0.0,0.0,6.77,6.77,6.77,0.0,0.0,6.77,6.77,6.77,0.0,0.0
2016-02-28,7.17,7.17,7.17,0.0,0.0,7.17,7.17,7.17,0.0,0.0,7.17,7.17,7.17,0.0,0.0,7.17,7.17,7.17,0.0,0.0
2016-03-06,7.06,7.06,7.06,0.0,0.0,7.06,7.06,7.06,0.0,0.0,7.06,7.06,7.06,0.0,0.0,7.06,7.06,7.06,0.0,0.0
2016-03-13,7.09,7.09,7.09,0.0,0.0,7.09,7.09,7.09,0.0,0.0,7.09,7.09,7.09,0.0,0.0,7.09,7.09,7.09,0.0,0.0
2016-03-20,6.94,6.94,6.94,0.0,0.0,6.94,6.94,6.94,0.0,0.0,6.94,6.94,6.94,0.0,0.0,6.94,6.94,6.94,0.0,0.0
2016-03-27,6.87,6.87,6.87,0.0,0.0,6.87,6.87,6.87,0.0,0.0,6.87,6.87,6.87,0.0,0.0,6.87,6.87,6.87,0.0,0.0
2016-04-03,6.84,6.84,6.84,0.0,0.0,6.84,6.84,6.84,0.0,0.0,6.82,6.82,6.82,0.0,0.0,6.82,6.82,6.82,0.0,0.0
2016-04-10,7.02,7.02,7.02,0.0,0.0,7.02,7.02,7.02,0.0,0.0,7.02,7.02,7.02,0.0,0.0,7.02,7.02,7.02,0.0,0.0
2016-04-17,7.34,7.34,7.34,0.0,0.0,7.34,7.34,7.34,0.0,0.0,7.27,7.27,7.27,0.0,0.0,7.27,7.27,7.27,0.0,0.0
2016-04-24,7.46,7.46,7.46,0.0,0.0,7.46,7.46,7.46,0.0,0.0,7.46,7.46,7.46,0.0,0.0,7.46,7.46,7.46,0.0,0.0
2016-05-01,7.31,7.31,7.31,0.0,0.0,7.31,7.31,7.31,0.0,0.0,7.27,7.27,7.27,0.0,0.0,7.27,7.27,7.27,0.0,0.0
2016-05-08,7.13,7.13,7.13,0.0,0.0,7.13,7.13,7.13,0.0,0.0,7.09,7.09,7.09,0.0,0.0,7.09,7.09,7.09,0.0,0.0
2016-05-15,7.01,7.01,7.01,0.0,0.0,7.01,7.01,7.01,0.0,0.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0
