Date,UPS_stock_Open_average,UPS_stock_Open_max,UPS_stock_Open_min,UPS_stock_Open_volatility,UPS_stock_Open_change,UPS_stock_High_average,UPS_stock_High_max,UPS_stock_High_min,UPS_stock_High_volatility,UPS_stock_High_change,UPS_stock_Low_average,UPS_stock_Low_max,UPS_stock_Low_min,UPS_stock_Low_volatility,UPS_stock_Low_change,UPS_stock_Close_average,UPS_stock_Close_max,UPS_stock_Close_min,UPS_stock_Close_volatility,UPS_stock_Close_change,UPS_stock_Volume_average,UPS_stock_Volume_max,UPS_stock_Volume_min,UPS_stock_Volume_volatility,UPS_stock_Volume_change
2016-01-03,94.188,95.34,92.84,2.5,-2.5,94.802,96.1,93.0,3.0999999999999943,-2.4000000000000057,93.232,94.52,91.21,3.3100000000000023,-2.8500000000000085,93.806,95.78,91.39,4.390000000000001,-3.450000000000003,3349077,3941083,2443014,1498069,210253
2016-01-10,91.428,93.32,89.57,3.75,-2.210000000000008,92.16199999999999,93.77,90.11,3.6599999999999966,-1.8299999999999983,90.098,91.66,88.42,3.239999999999995,-2.289999999999992,91.292,93.0,90.04,2.9599999999999937,-1.6199999999999903,4331232,5459537,3483977,1975560,1975560
2016-01-17,89.745,90.84,88.81,2.030000000000001,-0.5700000000000074,90.4325,91.45,89.4,2.049999999999997,-0.7600000000000051,88.5275,89.58,87.3,2.280000000000001,-0.269999999999996,89.505,90.35,88.7,1.6499999999999915,-0.44999999999998863,3735627,4836922,2865982,1970940,-906001
2016-01-24,90.7,91.63,89.92,1.7099999999999937,1.6599999999999966,91.716,93.25,90.26,2.989999999999995,2.989999999999995,90.26,91.63,89.16,2.469999999999999,2.469999999999999,91.084,93.2,89.42,3.780000000000001,3.780000000000001,3043756,5220862,2069802,3151060,3151060
2016-01-31,94.71600000000001,95.87,92.04,3.8299999999999983,3.8299999999999983,95.982,97.0,94.5,2.5,2.180000000000007,94.054,95.17,92.04,3.1299999999999955,3.039999999999992,95.144,96.25,94.08,2.1700000000000017,1.2900000000000063,5566536,7634555,4273258,3361297,-1248551
2016-02-07,95.826,97.54,94.39,3.1500000000000057,1.8599999999999994,97.47,98.91,95.7,3.2099999999999937,-0.10000000000000853,95.33,96.31,94.22,2.0900000000000034,1.5900000000000034,96.658,97.53,95.09,2.4399999999999977,-0.04999999999999716,4154129,5427516,3266665,2160851,-1278447
2016-02-14,97.94,98.81,97.22,1.5900000000000034,-0.6899999999999977,98.515,99.5,97.49,2.010000000000005,-1.5300000000000011,97.38,98.28,96.49,1.7900000000000063,-1.0200000000000102,97.9225,98.56,97.37,1.1899999999999977,-1.1899999999999977,2794425,3205662,2313027,892635,-892635
2016-02-21,97.342,98.28,96.19,2.0900000000000034,-0.3100000000000023,97.90599999999999,98.91,97.03,1.8799999999999955,-0.39000000000000057,96.63,97.92,95.33,2.5900000000000034,-0.5100000000000051,97.404,98.02,96.87,1.1499999999999915,-0.5799999999999983,2632207,3699689,2146908,1552781,-201075
2016-02-28,98.19,99.55,97.43,2.1199999999999903,2.1099999999999994,99.224,101.22,97.71,3.510000000000005,3.510000000000005,97.894,99.51,96.51,3.0,3.0,98.74,100.4,96.55,3.8500000000000085,3.8500000000000085,2945389,3789686,2541390,1248296,665726
2016-03-06,100.046,100.54,99.5,1.0400000000000063,0.21000000000000796,100.864,101.64,100.06,1.5799999999999983,-0.27000000000001023,99.61,100.37,98.85,1.5200000000000102,0.4000000000000057,100.434,101.3,99.56,1.7399999999999949,-0.480000000000004,2909613,3442880,2315109,1127771,-1034554
2016-03-13,101.952,103.9,100.56,3.3400000000000034,3.3400000000000034,103.012,105.41,101.54,3.8699999999999903,3.8100000000000023,101.64,103.83,100.48,3.3499999999999943,3.3499999999999943,102.624,104.99,101.29,3.6999999999999886,3.6999999999999886,3150113,4963720,1796337,3167383,2866628
2016-03-20,104.5375,104.74,104.33,0.4099999999999966,-0.29000000000000625,105.3725,105.49,105.21,0.28000000000000114,0.01999999999999602,104.4025,104.56,104.31,0.25,-0.12000000000000455,105.08,105.43,104.86,0.5700000000000074,0.28000000000000114,2369924,2789650,1997121,792529,-792529
2016-03-27,105.446,106.36,104.92,1.4399999999999977,-0.45999999999999375,105.94,106.61,105.32,1.2900000000000063,-0.25,104.968,105.67,104.41,1.2600000000000051,-0.46999999999999886,105.462,106.1,104.95,1.1499999999999915,-0.10999999999999943,2453080,3303883,1930878,1373005,833529
