Date,iShares Core S&P Total US Stock Market_etf_Open_average,iShares Core S&P Total US Stock Market_etf_Open_max,iShares Core S&P Total US Stock Market_etf_Open_min,iShares Core S&P Total US Stock Market_etf_Open_volatility,iShares Core S&P Total US Stock Market_etf_Open_change,iShares Core S&P Total US Stock Market_etf_High_average,iShares Core S&P Total US Stock Market_etf_High_max,iShares Core S&P Total US Stock Market_etf_High_min,iShares Core S&P Total US Stock Market_etf_High_volatility,iShares Core S&P Total US Stock Market_etf_High_change,iShares Core S&P Total US Stock Market_etf_Low_average,iShares Core S&P Total US Stock Market_etf_Low_max,iShares Core S&P Total US Stock Market_etf_Low_min,iShares Core S&P Total US Stock Market_etf_Low_volatility,iShares Core S&P Total US Stock Market_etf_Low_change,iShares Core S&P Total US Stock Market_etf_Close_average,iShares Core S&P Total US Stock Market_etf_Close_max,iShares Core S&P Total US Stock Market_etf_Close_min,iShares Core S&P Total US Stock Market_etf_Close_volatility,iShares Core S&P Total US Stock Market_etf_Close_change
2016-01-03,44.33,44.33,44.33,0.0,0.0,44.42,44.42,44.42,0.0,0.0,43.46,43.46,43.46,0.0,0.0,43.52,43.52,43.52,0.0,0.0
2016-01-10,42.23,42.23,42.23,0.0,0.0,42.59,42.59,42.59,0.0,0.0,41.88,41.88,41.88,0.0,0.0,42.44,42.44,42.44,0.0,0.0
2016-01-17,42.77,42.77,42.77,0.0,0.0,43.06,43.06,43.06,0.0,0.0,42.69,42.69,42.69,0.0,0.0,42.99,42.99,42.99,0.0,0.0
2016-01-24,42.81,42.81,42.81,0.0,0.0,43.7,43.7,43.7,0.0,0.0,42.81,42.81,42.81,0.0,0.0,43.66,43.66,43.66,0.0,0.0
2016-01-31,43.09,43.09,43.09,0.0,0.0,43.09,43.09,43.09,0.0,0.0,42.21,42.21,42.21,0.0,0.0,42.34,42.34,42.34,0.0,0.0
2016-02-07,41.51,41.51,41.51,0.0,0.0,41.95,41.95,41.95,0.0,0.0,41.36,41.36,41.36,0.0,0.0,41.9,41.9,41.9,0.0,0.0
2016-02-14,43.04,43.04,43.04,0.0,0.0,43.27,43.27,43.27,0.0,0.0,42.87,42.87,42.87,0.0,0.0,43.25,43.25,43.25,0.0,0.0
2016-02-21,44.29,44.29,44.29,0.0,0.0,44.35,44.35,44.35,0.0,0.0,43.99,43.99,43.99,0.0,0.0,44.06,44.06,44.06,0.0,0.0
2016-02-28,45.29,45.29,45.29,0.0,0.0,45.6,45.6,45.6,0.0,0.0,45.06,45.06,45.06,0.0,0.0,45.39,45.39,45.39,0.0,0.0
2016-03-06,45.46,45.46,45.46,0.0,0.0,45.89,45.89,45.89,0.0,0.0,45.46,45.46,45.46,0.0,0.0,45.86,45.86,45.86,0.0,0.0
2016-03-13,46.45,46.45,46.45,0.0,0.0,46.55,46.55,46.55,0.0,0.0,46.36,46.36,46.36,0.0,0.0,46.49,46.49,46.49,0.0,0.0
2016-03-20,45.7,45.7,45.7,0.0,0.0,45.94,45.94,45.94,0.0,0.0,45.6,45.6,45.6,0.0,0.0,45.94,45.94,45.94,0.0,0.0
2016-03-27,46.34,46.34,46.34,0.0,0.0,46.93,46.93,46.93,0.0,0.0,46.2,46.2,46.2,0.0,0.0,46.87,46.87,46.87,0.0,0.0
2016-04-03,46.51,46.51,46.51,0.0,0.0,46.64,46.64,46.64,0.0,0.0,46.18,46.18,46.18,0.0,0.0,46.31,46.31,46.31,0.0,0.0
