Date,ProShares UltraShort Australian Dollar_etf_Open_average,ProShares UltraShort Australian Dollar_etf_Open_max,ProShares UltraShort Australian Dollar_etf_Open_min,ProShares UltraShort Australian Dollar_etf_Open_volatility,ProShares UltraShort Australian Dollar_etf_Open_change,ProShares UltraShort Australian Dollar_etf_High_average,ProShares UltraShort Australian Dollar_etf_High_max,ProShares UltraShort Australian Dollar_etf_High_min,ProShares UltraShort Australian Dollar_etf_High_volatility,ProShares UltraShort Australian Dollar_etf_High_change,ProShares UltraShort Australian Dollar_etf_Low_average,ProShares UltraShort Australian Dollar_etf_Low_max,ProShares UltraShort Australian Dollar_etf_Low_min,ProShares UltraShort Australian Dollar_etf_Low_volatility,ProShares UltraShort Australian Dollar_etf_Low_change,ProShares UltraShort Australian Dollar_etf_Close_average,ProShares UltraShort Australian Dollar_etf_Close_max,ProShares UltraShort Australian Dollar_etf_Close_min,ProShares UltraShort Australian Dollar_etf_Close_volatility,ProShares UltraShort Australian Dollar_etf_Close_change
2016-01-03,63.43,63.43,63.43,0.0,0.0,63.55,63.55,63.55,0.0,0.0,63.24,63.24,63.24,0.0,0.0,63.48,63.48,63.48,0.0,0.0
2016-01-10,65.23,65.23,65.23,0.0,0.0,65.96,65.96,65.96,0.0,0.0,65.11,65.11,65.11,0.0,0.0,65.84,65.84,65.84,0.0,0.0
2016-01-17,62.5,62.5,62.5,0.0,0.0,63.06,63.06,63.06,0.0,0.0,62.45,62.45,62.45,0.0,0.0,63.05,63.05,63.05,0.0,0.0
2016-01-24,61.22,61.22,61.22,0.0,0.0,61.66,61.66,61.66,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.62,61.62,61.62,0.0,0.0
2016-01-31,60.44,60.44,60.44,0.0,0.0,61.55,61.55,61.55,0.0,0.0,60.44,60.44,60.44,0.0,0.0,61.36,61.36,61.36,0.0,0.0
2016-02-07,61.32,61.32,61.32,0.0,0.0,61.32,61.32,61.32,0.0,0.0,60.89,60.89,60.89,0.0,0.0,60.89,60.89,60.89,0.0,0.0
2016-02-14,61.25,61.25,61.25,0.0,0.0,61.25,61.25,61.25,0.0,0.0,60.0,60.0,60.0,0.0,0.0,60.0,60.0,60.0,0.0,0.0
2016-02-21,58.98,58.98,58.98,0.0,0.0,60.33,60.33,60.33,0.0,0.0,58.98,58.98,58.98,0.0,0.0,60.26,60.26,60.26,0.0,0.0
2016-02-28,55.43,55.43,55.43,0.0,0.0,55.67,55.67,55.67,0.0,0.0,55.23,55.23,55.23,0.0,0.0,55.37,55.37,55.37,0.0,0.0
2016-03-06,53.97,53.97,53.97,0.0,0.0,53.97,53.97,53.97,0.0,0.0,53.13,53.13,53.13,0.0,0.0,53.2,53.2,53.2,0.0,0.0
2016-03-13,52.32,52.32,52.32,0.0,0.0,52.47,52.47,52.47,0.0,0.0,52.32,52.32,52.32,0.0,0.0,52.46,52.46,52.46,0.0,0.0
2016-03-20,53.82,53.82,53.82,0.0,0.0,53.82,53.82,53.82,0.0,0.0,53.54,53.54,53.54,0.0,0.0,53.54,53.54,53.54,0.0,0.0
2016-03-27,52.11,52.11,52.11,0.0,0.0,52.37,52.37,52.37,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.65,51.65,51.65,0.0,0.0
2016-04-03,53.05,53.05,53.05,0.0,0.0,53.16,53.16,53.16,0.0,0.0,52.84,52.84,52.84,0.0,0.0,53.09,53.09,53.09,0.0,0.0
2016-04-10,50.67,50.67,50.67,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.96,50.96,50.96,0.0,0.0
2016-04-17,50.7,50.7,50.7,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.71,50.71,50.71,0.0,0.0
2016-04-24,51.94,51.94,51.94,0.0,0.0,52.0,52.0,52.0,0.0,0.0,51.94,51.94,51.94,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2016-05-01,55.36,55.36,55.36,0.0,0.0,55.51,55.51,55.51,0.0,0.0,55.22,55.22,55.22,0.0,0.0,55.34,55.34,55.34,0.0,0.0
2016-05-08,56.91,56.91,56.91,0.0,0.0,56.91,56.91,56.91,0.0,0.0,56.64,56.64,56.64,0.0,0.0,56.65,56.65,56.65,0.0,0.0
2016-05-15,57.16,57.16,57.16,0.0,0.0,57.45,57.45,57.45,0.0,0.0,57.1,57.1,57.1,0.0,0.0,57.29,57.29,57.29,0.0,0.0
2016-05-22,57.9,57.9,57.9,0.0,0.0,57.9,57.9,57.9,0.0,0.0,57.6,57.6,57.6,0.0,0.0,57.79,57.79,57.79,0.0,0.0
2016-05-29,55.41,55.41,55.41,0.0,0.0,55.62,55.62,55.62,0.0,0.0,55.03,55.03,55.03,0.0,0.0,55.03,55.03,55.03,0.0,0.0
2016-06-05,54.2,54.2,54.2,0.0,0.0,54.81,54.81,54.81,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.75,54.75,54.75,0.0,0.0
2016-06-12,54.35,54.35,54.35,0.0,0.0,54.35,54.35,54.35,0.0,0.0,54.24,54.24,54.24,0.0,0.0,54.24,54.24,54.24,0.0,0.0
2016-06-19,53.34,53.34,53.34,0.0,0.0,53.34,53.34,53.34,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.8,52.8,52.8,0.0,0.0
2016-06-26,52.79,52.79,52.79,0.0,0.0,52.79,52.79,52.79,0.0,0.0,52.79,52.79,52.79,0.0,0.0,52.79,52.79,52.79,0.0,0.0
2016-07-03,52.15,52.15,52.15,0.0,0.0,52.16,52.16,52.16,0.0,0.0,51.67,51.67,51.67,0.0,0.0,51.67,51.67,51.67,0.0,0.0
