Date,SPDR Dow Jones REITEtf_Open_average,SPDR Dow Jones REITEtf_Open_max,SPDR Dow Jones REITEtf_Open_min,SPDR Dow Jones REITEtf_Open_volatility,SPDR Dow Jones REITEtf_Open_change,SPDR Dow Jones REITEtf_High_average,SPDR Dow Jones REITEtf_High_max,SPDR Dow Jones REITEtf_High_min,SPDR Dow Jones REITEtf_High_volatility,SPDR Dow Jones REITEtf_High_change,SPDR Dow Jones REITEtf_Low_average,SPDR Dow Jones REITEtf_Low_max,SPDR Dow Jones REITEtf_Low_min,SPDR Dow Jones REITEtf_Low_volatility,SPDR Dow Jones REITEtf_Low_change,SPDR Dow Jones REITEtf_Close_average,SPDR Dow Jones REITEtf_Close_max,SPDR Dow Jones REITEtf_Close_min,SPDR Dow Jones REITEtf_Close_volatility,SPDR Dow Jones REITEtf_Close_change
2016-01-03,90.57,90.57,90.57,0.0,0.0,90.76,90.76,90.76,0.0,0.0,88.79,88.79,88.79,0.0,0.0,88.91,88.91,88.91,0.0,0.0
2016-01-10,86.23,86.23,86.23,0.0,0.0,87.13,87.13,87.13,0.0,0.0,85.71,85.71,85.71,0.0,0.0,86.88,86.88,86.88,0.0,0.0
2016-01-17,86.25,86.25,86.25,0.0,0.0,88.02,88.02,88.02,0.0,0.0,86.25,86.25,86.25,0.0,0.0,87.64,87.64,87.64,0.0,0.0
2016-01-24,86.78,86.78,86.78,0.0,0.0,88.07,88.07,88.07,0.0,0.0,86.08,86.08,86.08,0.0,0.0,87.91,87.91,87.91,0.0,0.0
2016-01-31,87.6,87.6,87.6,0.0,0.0,87.6,87.6,87.6,0.0,0.0,85.97,85.97,85.97,0.0,0.0,86.04,86.04,86.04,0.0,0.0
2016-02-07,81.78,81.78,81.78,0.0,0.0,82.31,82.31,82.31,0.0,0.0,81.28,81.28,81.28,0.0,0.0,82.14,82.14,82.14,0.0,0.0
2016-02-14,84.88,84.88,84.88,0.0,0.0,86.13,86.13,86.13,0.0,0.0,84.65,84.65,84.65,0.0,0.0,85.81,85.81,85.81,0.0,0.0
2016-02-21,87.75,87.75,87.75,0.0,0.0,88.19,88.19,88.19,0.0,0.0,87.49,87.49,87.49,0.0,0.0,87.51,87.51,87.51,0.0,0.0
2016-02-28,90.79,90.79,90.79,0.0,0.0,91.11,91.11,91.11,0.0,0.0,90.29,90.29,90.29,0.0,0.0,91.02,91.02,91.02,0.0,0.0
2016-03-06,91.36,91.36,91.36,0.0,0.0,92.47,92.47,92.47,0.0,0.0,91.14,91.14,91.14,0.0,0.0,92.43,92.43,92.43,0.0,0.0
