Date,PGTI_stock_Open_average,PGTI_stock_Open_max,PGTI_stock_Open_min,PGTI_stock_Open_volatility,PGTI_stock_Open_change,PGTI_stock_High_average,PGTI_stock_High_max,PGTI_stock_High_min,PGTI_stock_High_volatility,PGTI_stock_High_change,PGTI_stock_Low_average,PGTI_stock_Low_max,PGTI_stock_Low_min,PGTI_stock_Low_volatility,PGTI_stock_Low_change,PGTI_stock_Close_average,PGTI_stock_Close_max,PGTI_stock_Close_min,PGTI_stock_Close_volatility,PGTI_stock_Close_change,PGTI_stock_Volume_average,PGTI_stock_Volume_max,PGTI_stock_Volume_min,PGTI_stock_Volume_volatility,PGTI_stock_Volume_change
2016-01-03,10.68,11.2,9.92,1.2799999999999994,-1.2799999999999994,10.888,11.38,10.39,0.9900000000000002,-0.9000000000000004,10.36,11.02,9.6,1.42,-1.42,10.442,11.18,9.67,1.5099999999999998,-1.5099999999999998,425305,729632,160796,568836,325026
2016-01-10,9.76,10.23,9.18,1.0500000000000007,-0.6099999999999994,9.974,10.3,9.59,0.7100000000000009,-0.4399999999999995,9.458,9.86,9.02,0.8399999999999999,-0.6100000000000012,9.702,10.15,9.44,0.7100000000000009,-0.47000000000000064,280022,374487,206488,167999,75345
2016-01-17,9.3275,9.64,9.02,0.620000000000001,0.08999999999999986,9.685,10.21,9.3,0.9100000000000001,0.5700000000000003,9.0625,9.57,8.69,0.8800000000000008,0.5999999999999996,9.42,9.85,9.12,0.7300000000000004,0.6600000000000001,341045,396285,278413,117872,-37053
2016-01-24,9.67,9.85,9.4,0.4499999999999993,-0.41999999999999993,9.844,9.92,9.74,0.17999999999999972,0.09999999999999964,9.45,9.54,9.33,0.20999999999999908,-0.1399999999999988,9.636000000000001,9.86,9.38,0.47999999999999865,0.21000000000000085,266811,374486,210234,164252,164252
2016-01-31,10.629999999999999,11.42,9.86,1.5600000000000005,0.5600000000000005,11.044,11.76,10.6,1.1600000000000001,-0.46000000000000085,10.246,10.56,9.85,0.7100000000000009,0.16999999999999993,10.588000000000001,10.99,10.18,0.8100000000000005,-0.8100000000000005,489346,763085,288517,474568,-474568
2016-02-07,9.826,10.04,9.55,0.48999999999999844,-0.28999999999999915,10.038,10.29,9.83,0.4599999999999991,-0.2400000000000002,9.502,9.77,8.78,0.9900000000000002,-0.25,9.834,10.01,9.62,0.39000000000000057,-0.20000000000000107,250074,344740,162792,181948,-111510
2016-02-14,10.095,10.34,9.89,0.4499999999999993,0.129999999999999,10.335,10.44,10.15,0.28999999999999915,0.16999999999999993,9.907499999999999,10.02,9.62,0.40000000000000036,0.39000000000000057,10.2,10.31,10.09,0.22000000000000064,0.16999999999999993,212926,249541,189281,60260,-47547
2016-02-21,10.11,10.51,9.41,1.0999999999999996,-0.8300000000000001,10.271666666666667,10.85,9.49,1.3599999999999994,-1.0899999999999999,9.698333333333332,10.2,9.01,1.1899999999999995,-0.6999999999999993,10.031666666666666,10.78,9.41,1.3699999999999992,-0.9299999999999997,479083,1022257,241295,780962,153188
2016-02-28,9.514,9.97,9.04,0.9300000000000015,-0.33000000000000007,9.756,10.06,9.36,0.7000000000000011,-0.6100000000000012,9.298,9.81,8.83,0.9800000000000004,-0.2900000000000009,9.522,9.89,9.23,0.6600000000000001,-0.5700000000000003,567175,963956,393266,570690,92149
2016-03-06,9.102,9.31,8.9,0.41000000000000014,-0.41000000000000014,9.234,9.44,9.03,0.41000000000000014,-0.25,8.904,9.18,8.69,0.4900000000000002,-0.34999999999999964,9.014,9.28,8.84,0.4399999999999995,-0.2400000000000002,395578,542633,248716,293917,78883
2016-03-13,9.17,9.45,9.0,0.4499999999999993,0.379999999999999,9.42,9.78,9.23,0.5499999999999989,0.4900000000000002,9.076,9.37,8.84,0.5299999999999994,0.3999999999999986,9.33,9.74,9.09,0.6500000000000004,0.6500000000000004,389567,675499,226935,448564,224286
2016-03-20,9.305,9.71,9.08,0.6300000000000008,-0.6300000000000008,9.4175,9.74,9.19,0.5500000000000007,-0.33999999999999986,9.105,9.26,8.96,0.29999999999999893,-0.2599999999999998,9.2275,9.29,9.09,0.1999999999999993,0.0,292175,514726,195167,319559,-52827
2016-03-27,9.626,9.96,9.24,0.7200000000000006,0.4599999999999991,9.858,10.04,9.43,0.6099999999999994,0.5,9.540000000000001,9.81,9.24,0.5700000000000003,0.41000000000000014,9.772,9.97,9.28,0.6900000000000013,0.6000000000000014,317623,603126,155414,447712,415106
2016-04-03,9.824,9.89,9.75,0.14000000000000057,-0.040000000000000924,10.042,10.19,9.98,0.20999999999999908,-0.019999999999999574,9.74,9.77,9.71,0.05999999999999872,0.05999999999999872,9.834,9.88,9.78,0.10000000000000142,-0.009999999999999787,299457,434142,126051,308091,-218431
2016-04-10,10.136,10.44,9.85,0.5899999999999999,0.3699999999999992,10.386,10.56,10.13,0.4299999999999997,0.370000000000001,10.06,10.34,9.8,0.5399999999999991,0.5299999999999994,10.262,10.53,9.88,0.6499999999999986,0.6499999999999986,261669,403162,141230,261932,84836
