Date,PowerShares KBW High Dividend Yield Financial_etf_Open_average,PowerShares KBW High Dividend Yield Financial_etf_Open_max,PowerShares KBW High Dividend Yield Financial_etf_Open_min,PowerShares KBW High Dividend Yield Financial_etf_Open_volatility,PowerShares KBW High Dividend Yield Financial_etf_Open_change,PowerShares KBW High Dividend Yield Financial_etf_High_average,PowerShares KBW High Dividend Yield Financial_etf_High_max,PowerShares KBW High Dividend Yield Financial_etf_High_min,PowerShares KBW High Dividend Yield Financial_etf_High_volatility,PowerShares KBW High Dividend Yield Financial_etf_High_change,PowerShares KBW High Dividend Yield Financial_etf_Low_average,PowerShares KBW High Dividend Yield Financial_etf_Low_max,PowerShares KBW High Dividend Yield Financial_etf_Low_min,PowerShares KBW High Dividend Yield Financial_etf_Low_volatility,PowerShares KBW High Dividend Yield Financial_etf_Low_change,PowerShares KBW High Dividend Yield Financial_etf_Close_average,PowerShares KBW High Dividend Yield Financial_etf_Close_max,PowerShares KBW High Dividend Yield Financial_etf_Close_min,PowerShares KBW High Dividend Yield Financial_etf_Close_volatility,PowerShares KBW High Dividend Yield Financial_etf_Close_change
2016-01-03,20.57,20.57,20.57,0.0,0.0,20.57,20.57,20.57,0.0,0.0,20.09,20.09,20.09,0.0,0.0,20.11,20.11,20.11,0.0,0.0
2016-01-10,18.41,18.41,18.41,0.0,0.0,18.43,18.43,18.43,0.0,0.0,17.75,17.75,17.75,0.0,0.0,18.24,18.24,18.24,0.0,0.0
2016-01-17,17.89,17.89,17.89,0.0,0.0,18.39,18.39,18.39,0.0,0.0,17.89,17.89,17.89,0.0,0.0,18.26,18.26,18.26,0.0,0.0
2016-01-24,18.4,18.4,18.4,0.0,0.0,18.81,18.81,18.81,0.0,0.0,18.4,18.4,18.4,0.0,0.0,18.81,18.81,18.81,0.0,0.0
2016-01-31,18.75,18.75,18.75,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.62,18.62,18.62,0.0,0.0
2016-02-07,17.19,17.19,17.19,0.0,0.0,17.54,17.54,17.54,0.0,0.0,17.17,17.17,17.17,0.0,0.0,17.51,17.51,17.51,0.0,0.0
2016-02-14,18.39,18.39,18.39,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.23,18.23,18.23,0.0,0.0,18.37,18.37,18.37,0.0,0.0
2016-02-21,19.06,19.06,19.06,0.0,0.0,19.32,19.32,19.32,0.0,0.0,18.99,18.99,18.99,0.0,0.0,19.1,19.1,19.1,0.0,0.0
2016-02-28,20.0,20.0,20.0,0.0,0.0,20.27,20.27,20.27,0.0,0.0,19.99,19.99,19.99,0.0,0.0,20.03,20.03,20.03,0.0,0.0
2016-03-06,19.96,19.96,19.96,0.0,0.0,20.38,20.38,20.38,0.0,0.0,19.96,19.96,19.96,0.0,0.0,20.36,20.36,20.36,0.0,0.0
2016-03-13,20.6,20.6,20.6,0.0,0.0,20.71,20.71,20.71,0.0,0.0,20.5,20.5,20.5,0.0,0.0,20.67,20.67,20.67,0.0,0.0
2016-03-20,20.22,20.22,20.22,0.0,0.0,20.41,20.41,20.41,0.0,0.0,20.02,20.02,20.02,0.0,0.0,20.39,20.39,20.39,0.0,0.0
2016-03-27,20.69,20.69,20.69,0.0,0.0,20.85,20.85,20.85,0.0,0.0,20.57,20.57,20.57,0.0,0.0,20.82,20.82,20.82,0.0,0.0
2016-04-03,20.56,20.56,20.56,0.0,0.0,20.78,20.78,20.78,0.0,0.0,20.52,20.52,20.52,0.0,0.0,20.52,20.52,20.52,0.0,0.0
