Date,PKG_stock_Open_average,PKG_stock_Open_max,PKG_stock_Open_min,PKG_stock_Open_volatility,PKG_stock_Open_change,PKG_stock_High_average,PKG_stock_High_max,PKG_stock_High_min,PKG_stock_High_volatility,PKG_stock_High_change,PKG_stock_Low_average,PKG_stock_Low_max,PKG_stock_Low_min,PKG_stock_Low_volatility,PKG_stock_Low_change,PKG_stock_Close_average,PKG_stock_Close_max,PKG_stock_Close_min,PKG_stock_Close_volatility,PKG_stock_Close_change,PKG_stock_Volume_average,PKG_stock_Volume_max,PKG_stock_Volume_min,PKG_stock_Volume_volatility,PKG_stock_Volume_change
2016-01-03,61.21,62.66,59.76,2.8999999999999986,-1.6999999999999957,61.705999999999996,62.67,60.54,2.1300000000000026,-1.5799999999999983,60.186,61.8,58.22,3.5799999999999983,-3.230000000000004,60.660000000000004,62.35,58.24,4.109999999999999,-4.109999999999999,991147,1515834,744852,770982,737119
2016-01-10,58.571999999999996,60.23,56.48,3.75,-2.0700000000000003,59.746,60.87,58.57,2.299999999999997,-1.0,57.54,58.43,56.41,2.020000000000003,-2.020000000000003,58.653999999999996,59.5,57.65,1.8500000000000014,-1.0399999999999991,1112594,1505511,687200,818311,-61672
2016-01-17,57.379999999999995,59.13,56.41,2.720000000000006,-2.0500000000000043,58.195,59.25,57.62,1.6300000000000026,-1.1000000000000014,55.7375,56.57,54.0,2.5700000000000003,-0.020000000000003126,56.9825,57.66,55.95,1.7099999999999937,0.3199999999999932,1223944,1673885,813942,859943,859943
2016-01-24,50.422,53.37,49.01,4.359999999999999,-4.359999999999999,51.716,53.82,50.54,3.280000000000001,-2.990000000000002,48.944,49.9,48.29,1.6099999999999994,-1.6099999999999994,49.88,50.83,48.88,1.9499999999999957,0.6400000000000006,2665046,3958421,1311502,2646919,-2063314
2016-01-31,50.12,50.44,49.29,1.1499999999999986,0.28999999999999915,50.828,51.22,50.31,0.9099999999999966,-0.04999999999999716,49.054,50.0,48.19,1.8100000000000023,1.0700000000000003,50.284,51.01,49.42,1.5899999999999963,-0.36999999999999744,1439066,1715118,1272807,442311,-321964
2016-02-07,48.688,50.01,46.86,3.1499999999999986,-3.1499999999999986,49.238,50.2,47.43,2.770000000000003,-2.6300000000000026,47.616,48.9,45.84,3.059999999999995,-2.539999999999999,48.212,49.84,46.07,3.770000000000003,-3.1299999999999955,1827610,2258311,1356405,901906,588416
2016-02-14,47.5625,48.24,47.04,1.2000000000000028,-0.10000000000000142,47.935,48.52,47.04,1.480000000000004,-0.730000000000004,46.3775,47.7,44.32,3.3800000000000026,-2.3999999999999986,46.915,47.96,45.15,2.8100000000000023,-2.240000000000002,1737225,2735057,881680,1853377,1053809
2016-02-21,46.396,47.89,45.38,2.509999999999998,2.030000000000001,47.187999999999995,48.8,45.9,2.8999999999999986,2.759999999999998,45.93,47.71,44.92,2.789999999999999,2.480000000000004,46.924,48.33,45.72,2.6099999999999994,2.6099999999999994,1748303,2227855,1251471,976384,307138
2016-02-28,50.104,52.16,48.42,3.739999999999995,3.739999999999995,51.376,53.31,49.02,4.289999999999999,4.289999999999999,49.846,52.15,47.81,4.339999999999996,4.339999999999996,50.966,52.69,48.5,4.189999999999998,4.189999999999998,1479682,1754769,1340367,414402,-37687
2016-03-06,53.558,55.37,52.48,2.8900000000000006,1.7800000000000011,54.596,55.94,53.04,2.8999999999999986,2.4199999999999946,52.758,53.87,51.75,2.1199999999999974,1.5999999999999943,54.168,55.42,52.62,2.8000000000000043,1.990000000000002,1632844,2789286,1264959,1524327,156482
2016-03-13,55.542,57.28,54.29,2.990000000000002,2.1300000000000026,56.577999999999996,57.83,55.36,2.469999999999999,1.8699999999999974,55.072,56.45,53.7,2.75,1.3599999999999994,55.958,57.29,54.29,3.0,2.0900000000000034,2169670,5306128,957810,4348318,3701862
2016-03-20,57.8775,58.82,57.01,1.8100000000000023,0.8500000000000014,58.95,59.46,58.5,0.9600000000000009,0.3299999999999983,57.58,58.33,57.01,1.3200000000000003,0.2600000000000051,58.585,58.98,58.26,0.7199999999999989,0.45000000000000284,1141454,1308753,957968,350785,-189511
2016-03-27,59.436,60.26,58.62,1.6400000000000006,1.1000000000000014,60.382,61.0,59.29,1.7100000000000009,1.4500000000000028,58.834,59.38,58.19,1.1900000000000048,1.1900000000000048,59.94,60.73,58.94,1.7899999999999991,1.7899999999999991,1088642,1279411,782706,496705,216705
2016-04-03,59.614000000000004,60.68,58.88,1.7999999999999972,-1.1199999999999974,60.256,60.94,59.7,1.2399999999999949,-0.28999999999999915,59.082,60.34,58.44,1.9000000000000057,-0.8500000000000014,59.668,60.45,58.89,1.5600000000000023,-0.2700000000000031,862963,1035364,679072,356292,-62798
2016-04-10,60.802,61.74,59.96,1.7800000000000011,0.8599999999999994,61.516,62.34,60.7,1.6400000000000006,1.6400000000000006,60.156,60.65,59.49,1.1599999999999966,0.720000000000006,61.194,62.27,60.06,2.210000000000001,2.210000000000001,759106,986102,617545,368557,289912
