Date,iShares MSCI EAFE GrowthEtf_Open_average,iShares MSCI EAFE GrowthEtf_Open_max,iShares MSCI EAFE GrowthEtf_Open_min,iShares MSCI EAFE GrowthEtf_Open_volatility,iShares MSCI EAFE GrowthEtf_Open_change,iShares MSCI EAFE GrowthEtf_High_average,iShares MSCI EAFE GrowthEtf_High_max,iShares MSCI EAFE GrowthEtf_High_min,iShares MSCI EAFE GrowthEtf_High_volatility,iShares MSCI EAFE GrowthEtf_High_change,iShares MSCI EAFE GrowthEtf_Low_average,iShares MSCI EAFE GrowthEtf_Low_max,iShares MSCI EAFE GrowthEtf_Low_min,iShares MSCI EAFE GrowthEtf_Low_volatility,iShares MSCI EAFE GrowthEtf_Low_change,iShares MSCI EAFE GrowthEtf_Close_average,iShares MSCI EAFE GrowthEtf_Close_max,iShares MSCI EAFE GrowthEtf_Close_min,iShares MSCI EAFE GrowthEtf_Close_volatility,iShares MSCI EAFE GrowthEtf_Close_change
2016-01-03,64.07,64.07,64.07,0.0,0.0,64.07,64.07,64.07,0.0,0.0,62.9,62.9,62.9,0.0,0.0,62.95,62.95,62.95,0.0,0.0
2016-01-10,61.36,61.36,61.36,0.0,0.0,61.69,61.69,61.69,0.0,0.0,60.81,60.81,60.81,0.0,0.0,61.14,61.14,61.14,0.0,0.0
2016-01-17,62.23,62.23,62.23,0.0,0.0,62.68,62.68,62.68,0.0,0.0,62.14,62.14,62.14,0.0,0.0,62.56,62.56,62.56,0.0,0.0
2016-01-24,63.04,63.04,63.04,0.0,0.0,63.98,63.98,63.98,0.0,0.0,63.01,63.01,63.01,0.0,0.0,63.96,63.96,63.96,0.0,0.0
2016-01-31,62.64,62.64,62.64,0.0,0.0,62.69,62.69,62.69,0.0,0.0,61.42,61.42,61.42,0.0,0.0,61.64,61.64,61.64,0.0,0.0
2016-02-07,59.42,59.42,59.42,0.0,0.0,60.11,60.11,60.11,0.0,0.0,59.2,59.2,59.2,0.0,0.0,60.08,60.08,60.08,0.0,0.0
2016-02-14,61.69,61.69,61.69,0.0,0.0,62.07,62.07,62.07,0.0,0.0,61.46,61.46,61.46,0.0,0.0,62.03,62.03,62.03,0.0,0.0
2016-02-21,62.63,62.63,62.63,0.0,0.0,62.65,62.65,62.65,0.0,0.0,61.97,61.97,61.97,0.0,0.0,62.07,62.07,62.07,0.0,0.0
2016-02-28,64.31,64.31,64.31,0.0,0.0,64.61,64.61,64.61,0.0,0.0,64.14,64.14,64.14,0.0,0.0,64.32,64.32,64.32,0.0,0.0
2016-03-06,64.87,64.87,64.87,0.0,0.0,65.34,65.34,65.34,0.0,0.0,64.75,64.75,64.75,0.0,0.0,65.31,65.31,65.31,0.0,0.0
2016-03-13,65.35,65.35,65.35,0.0,0.0,65.58,65.58,65.58,0.0,0.0,65.18,65.18,65.18,0.0,0.0,65.49,65.49,65.49,0.0,0.0
2016-03-20,64.36,64.36,64.36,0.0,0.0,64.62,64.62,64.62,0.0,0.0,64.3,64.3,64.3,0.0,0.0,64.59,64.59,64.59,0.0,0.0
