Date,CCHGY_stock_Open_average,CCHGY_stock_Open_max,CCHGY_stock_Open_min,CCHGY_stock_Open_volatility,CCHGY_stock_Open_change,CCHGY_stock_High_average,CCHGY_stock_High_max,CCHGY_stock_High_min,CCHGY_stock_High_volatility,CCHGY_stock_High_change,CCHGY_stock_Low_average,CCHGY_stock_Low_max,CCHGY_stock_Low_min,CCHGY_stock_Low_volatility,CCHGY_stock_Low_change,CCHGY_stock_Close_average,CCHGY_stock_Close_max,CCHGY_stock_Close_min,CCHGY_stock_Close_volatility,CCHGY_stock_Close_change,CCHGY_stock_Volume_average,CCHGY_stock_Volume_max,CCHGY_stock_Volume_min,CCHGY_stock_Volume_volatility,CCHGY_stock_Volume_change
2016-01-03,20.677,20.9,20.34,0.5599999999999987,-0.5599999999999987,20.716,20.985,20.43,0.5549999999999997,-0.5350000000000001,20.573,20.86,20.09,0.7699999999999996,-0.5199999999999996,20.626,20.985,20.09,0.8949999999999996,-0.5350000000000001,2713,8206,265,7941,-5501
2016-01-10,20.171,20.54,19.77,0.7699999999999996,-0.6500000000000021,20.237,20.54,19.77,0.7699999999999996,-0.6500000000000021,19.959,20.42,19.4,1.0200000000000031,-1.0200000000000031,20.074,20.435,19.565,0.8699999999999974,-0.8550000000000004,958,2330,184,2146,730
2016-01-17,19.46125,19.615,19.23,0.384999999999998,0.014999999999997016,19.51625,19.615,19.4,0.21499999999999986,0.014999999999997016,19.33375,19.615,18.9,0.7149999999999999,0.014999999999997016,19.47375,19.615,19.23,0.384999999999998,0.014999999999997016,2326,5608,511,5097,-112
2016-01-24,19.8408,20.01,19.614,0.3960000000000008,0.3359999999999985,20.0388,20.43,19.614,0.815999999999999,0.815999999999999,19.742,19.95,19.56,0.39000000000000057,0.379999999999999,19.966,20.43,19.57,0.8599999999999994,0.8599999999999994,2533,4833,1088,3745,940
2016-01-31,19.82375,20.545,19.15,1.3950000000000031,-1.3950000000000031,19.955,20.92,19.15,1.7700000000000031,-1.7700000000000031,19.769,20.526,18.95,1.5760000000000005,-1.5760000000000005,19.905,20.92,18.95,1.9700000000000024,-1.9700000000000024,1232,2218,196,2022,1344
2016-02-07,18.424,18.8,18.03,0.7699999999999996,0.00999999999999801,18.544,18.8,18.395,0.40500000000000114,0.06500000000000128,18.335,18.755,18.03,0.7249999999999979,0.2799999999999976,18.412,18.755,18.12,0.634999999999998,0.4250000000000007,2819,5350,725,4625,-2411
2016-02-14,19.580000000000002,20.05,19.23,0.8200000000000003,0.8200000000000003,19.7,20.12,19.25,0.870000000000001,0.870000000000001,19.548333333333332,20.02,19.165,0.8550000000000004,0.8550000000000004,19.666666666666668,20.12,19.25,0.870000000000001,0.870000000000001,3905,9828,940,8888,-8
2016-02-21,19.820999999999998,20.64,18.99,1.6500000000000021,-1.6500000000000021,19.834,20.705,18.99,1.7149999999999999,-1.7149999999999999,19.6784,20.57,18.82,1.75,-1.75,19.7054,20.705,18.82,1.884999999999998,-1.884999999999998,2044,7687,479,7208,-7208
2016-02-28,19.2346,19.645,18.6,1.0449999999999982,1.0449999999999982,19.393,19.88,19.025,0.8550000000000004,0.8550000000000004,19.211,19.645,18.6,1.0449999999999982,1.0449999999999982,19.348,19.88,18.8,1.0799999999999983,1.0799999999999983,1747,3631,301,3330,-1525
2016-03-06,19.75,19.83,19.7,0.129999999999999,0.019999999999999574,19.75,19.83,19.7,0.129999999999999,0.019999999999999574,19.593333333333334,19.83,19.34,0.48999999999999844,-0.2699999999999996,19.60333333333333,19.83,19.34,0.48999999999999844,-0.3000000000000007,1859,3442,256,3186,1563
2016-03-13,20.28,20.625,19.93,0.6950000000000003,0.6950000000000003,20.50125,21.035,20.06,0.9750000000000014,0.8649999999999984,20.26625,20.57,19.93,0.6400000000000006,0.6400000000000006,20.40625,20.85,20.06,0.7900000000000027,0.745000000000001,2159,3765,362,3403,-123
2016-03-20,20.366666666666667,20.56,20.25,0.3099999999999987,0.03999999999999915,20.366666666666667,20.56,20.25,0.3099999999999987,0.03999999999999915,20.303333333333335,20.56,20.1,0.4599999999999973,-0.14999999999999858,20.303333333333335,20.56,20.1,0.4599999999999973,-0.14999999999999858,443,687,246,441,441
2016-03-27,20.899,21.285,20.475,0.8099999999999987,0.3049999999999997,20.981,21.55,20.475,1.0749999999999993,0.3049999999999997,20.785,21.14,20.19,0.9499999999999993,0.5899999999999999,20.835,21.39,20.19,1.1999999999999993,0.5899999999999999,1380,4402,184,4218,-498
2016-04-03,20.59,20.83,20.31,0.5199999999999996,-0.1999999999999993,20.6,20.84,20.32,0.5199999999999996,-0.1999999999999993,20.493333333333332,20.83,20.31,0.5199999999999996,-0.48999999999999844,20.51,20.84,20.32,0.5199999999999996,-0.46999999999999886,3189,4410,1038,3372,3372
2016-04-10,20.472,20.64,20.18,0.46000000000000085,0.21999999999999886,20.498,20.64,20.23,0.41000000000000014,0.19500000000000028,20.472,20.64,20.18,0.46000000000000085,0.21999999999999886,20.487,20.64,20.23,0.41000000000000014,0.19500000000000028,759,965,332,633,-622
