Date,AHCHY_stock_Open_average,AHCHY_stock_Open_max,AHCHY_stock_Open_min,AHCHY_stock_Open_volatility,AHCHY_stock_Open_change,AHCHY_stock_High_average,AHCHY_stock_High_max,AHCHY_stock_High_min,AHCHY_stock_High_volatility,AHCHY_stock_High_change,AHCHY_stock_Low_average,AHCHY_stock_Low_max,AHCHY_stock_Low_min,AHCHY_stock_Low_volatility,AHCHY_stock_Low_change,AHCHY_stock_Close_average,AHCHY_stock_Close_max,AHCHY_stock_Close_min,AHCHY_stock_Close_volatility,AHCHY_stock_Close_change,AHCHY_stock_Volume_average,AHCHY_stock_Volume_max,AHCHY_stock_Volume_min,AHCHY_stock_Volume_volatility,AHCHY_stock_Volume_change
2016-01-03,12.284,12.78,11.83,0.9499999999999993,-0.9499999999999993,12.366,12.97,11.83,1.1400000000000006,-1.1400000000000006,12.113999999999999,12.59,11.6,0.9900000000000002,-0.9900000000000002,12.194,12.83,11.62,1.2100000000000009,-1.2100000000000009,96296,329789,8256,321533,227519
2016-01-10,11.076,11.31,10.57,0.7400000000000002,-0.7400000000000002,11.188,11.38,10.72,0.6600000000000001,-0.5899999999999999,10.958,11.19,10.48,0.7099999999999991,-0.6600000000000001,11.068,11.26,10.69,0.5700000000000003,-0.5700000000000003,235299,564077,33558,530519,-160597
2016-01-17,10.5675,11.17,10.15,1.0199999999999996,-0.5999999999999996,10.747499999999999,11.17,10.51,0.6600000000000001,-0.39000000000000057,10.4625,10.96,10.15,0.8100000000000005,-0.39000000000000057,10.695,11.11,10.45,0.6600000000000001,-0.41000000000000014,72440,141446,31398,110048,-50598
2016-01-24,9.866,10.28,9.61,0.6699999999999999,-0.5399999999999991,9.926,10.31,9.7,0.6100000000000012,-0.5500000000000007,9.767999999999999,10.12,9.59,0.5299999999999994,-0.5099999999999998,9.847999999999999,10.12,9.61,0.5099999999999998,-0.40999999999999837,127022,346457,20928,325529,-139029
2016-01-31,9.462,9.74,9.31,0.4299999999999997,-0.41999999999999993,9.556000000000001,9.8,9.33,0.47000000000000064,-0.47000000000000064,9.398,9.67,9.21,0.4599999999999991,-0.4599999999999991,9.48,9.76,9.26,0.5,-0.5,190439,310170,11206,298964,-186474
2016-02-07,9.038,9.21,8.95,0.26000000000000156,-0.19000000000000128,9.108,9.21,8.97,0.2400000000000002,-0.010000000000001563,8.908,9.02,8.81,0.20999999999999908,0.09999999999999964,8.978,9.09,8.85,0.2400000000000002,0.07000000000000028,24992,61854,9518,52336,51156
2016-02-14,10.0275,10.75,9.2,1.5500000000000007,1.5500000000000007,10.17,10.87,9.31,1.5599999999999987,1.5599999999999987,10.0125,10.72,9.17,1.5500000000000007,1.5500000000000007,10.0875,10.74,9.2,1.540000000000001,1.540000000000001,17354,23526,11813,11713,-6172
2016-02-21,10.21,10.76,9.89,0.8699999999999992,-0.8200000000000003,10.274000000000001,10.82,9.92,0.9000000000000004,-0.8599999999999994,10.152000000000001,10.71,9.78,0.9300000000000015,-0.8200000000000003,10.248,10.81,9.84,0.9700000000000006,-0.8900000000000006,9340,16170,4941,11229,4122
2016-02-28,11.292,12.48,10.12,2.360000000000001,2.360000000000001,11.388,12.51,10.12,2.3900000000000006,2.3900000000000006,11.226,12.48,9.96,2.5199999999999996,2.5199999999999996,11.322000000000001,12.51,9.96,2.549999999999999,2.549999999999999,2731,4431,592,3839,-2697
2016-03-06,11.6,11.73,11.32,0.41000000000000014,-0.11000000000000121,11.728,12.0,11.32,0.6799999999999997,-0.10999999999999943,11.568,11.73,11.19,0.5400000000000009,-0.11000000000000121,11.698,12.0,11.19,0.8100000000000005,-0.10999999999999943,1675,3239,649,2590,2557
