Date,iShares Interest Rate Hedged Corproate BondEtf_Open_average,iShares Interest Rate Hedged Corproate BondEtf_Open_max,iShares Interest Rate Hedged Corproate BondEtf_Open_min,iShares Interest Rate Hedged Corproate BondEtf_Open_volatility,iShares Interest Rate Hedged Corproate BondEtf_Open_change,iShares Interest Rate Hedged Corproate BondEtf_High_average,iShares Interest Rate Hedged Corproate BondEtf_High_max,iShares Interest Rate Hedged Corproate BondEtf_High_min,iShares Interest Rate Hedged Corproate BondEtf_High_volatility,iShares Interest Rate Hedged Corproate BondEtf_High_change,iShares Interest Rate Hedged Corproate BondEtf_Low_average,iShares Interest Rate Hedged Corproate BondEtf_Low_max,iShares Interest Rate Hedged Corproate BondEtf_Low_min,iShares Interest Rate Hedged Corproate BondEtf_Low_volatility,iShares Interest Rate Hedged Corproate BondEtf_Low_change,iShares Interest Rate Hedged Corproate BondEtf_Close_average,iShares Interest Rate Hedged Corproate BondEtf_Close_max,iShares Interest Rate Hedged Corproate BondEtf_Close_min,iShares Interest Rate Hedged Corproate BondEtf_Close_volatility,iShares Interest Rate Hedged Corproate BondEtf_Close_change
2016-01-03,90.77,90.77,90.77,0.0,0.0,90.82,90.82,90.82,0.0,0.0,90.7,90.7,90.7,0.0,0.0,90.7,90.7,90.7,0.0,0.0
2016-01-10,88.83,88.83,88.83,0.0,0.0,88.9,88.9,88.9,0.0,0.0,88.83,88.83,88.83,0.0,0.0,88.9,88.9,88.9,0.0,0.0
2016-01-17,88.67,88.67,88.67,0.0,0.0,88.82,88.82,88.82,0.0,0.0,88.61,88.61,88.61,0.0,0.0,88.73,88.73,88.73,0.0,0.0
2016-01-24,88.41,88.41,88.41,0.0,0.0,88.41,88.41,88.41,0.0,0.0,88.32,88.32,88.32,0.0,0.0,88.33,88.33,88.33,0.0,0.0
2016-01-31,87.36,87.36,87.36,0.0,0.0,87.96,87.96,87.96,0.0,0.0,87.36,87.36,87.36,0.0,0.0,87.96,87.96,87.96,0.0,0.0
2016-02-07,86.42,86.42,86.42,0.0,0.0,86.42,86.42,86.42,0.0,0.0,86.22,86.22,86.22,0.0,0.0,86.27,86.27,86.27,0.0,0.0
2016-02-14,86.8,86.8,86.8,0.0,0.0,86.96,86.96,86.96,0.0,0.0,86.8,86.8,86.8,0.0,0.0,86.96,86.96,86.96,0.0,0.0
2016-02-21,87.15,87.15,87.15,0.0,0.0,87.72,87.72,87.72,0.0,0.0,87.15,87.15,87.15,0.0,0.0,87.49,87.49,87.49,0.0,0.0
2016-02-28,88.32,88.32,88.32,0.0,0.0,88.41,88.41,88.41,0.0,0.0,88.32,88.32,88.32,0.0,0.0,88.41,88.41,88.41,0.0,0.0
2016-03-06,89.97,89.97,89.97,0.0,0.0,89.97,89.97,89.97,0.0,0.0,89.82,89.82,89.82,0.0,0.0,89.82,89.82,89.82,0.0,0.0
2016-03-13,90.61,90.61,90.61,0.0,0.0,91.02,91.02,91.02,0.0,0.0,89.7,89.7,89.7,0.0,0.0,90.69,90.69,90.69,0.0,0.0
2016-03-20,90.58,90.58,90.58,0.0,0.0,90.86,90.86,90.86,0.0,0.0,90.58,90.58,90.58,0.0,0.0,90.8,90.8,90.8,0.0,0.0
2016-03-27,90.87,90.87,90.87,0.0,0.0,91.06,91.06,91.06,0.0,0.0,90.67,90.67,90.67,0.0,0.0,90.86,90.86,90.86,0.0,0.0
2016-04-03,91.0,91.0,91.0,0.0,0.0,91.01,91.01,91.01,0.0,0.0,90.64,90.64,90.64,0.0,0.0,90.82,90.82,90.82,0.0,0.0
2016-04-10,91.38,91.38,91.38,0.0,0.0,91.38,91.38,91.38,0.0,0.0,90.96,90.96,90.96,0.0,0.0,90.96,90.96,90.96,0.0,0.0
2016-04-17,92.25,92.25,92.25,0.0,0.0,92.25,92.25,92.25,0.0,0.0,92.21,92.21,92.21,0.0,0.0,92.21,92.21,92.21,0.0,0.0
2016-04-24,92.3,92.3,92.3,0.0,0.0,92.3,92.3,92.3,0.0,0.0,92.11,92.11,92.11,0.0,0.0,92.26,92.26,92.26,0.0,0.0
2016-05-01,91.8,91.8,91.8,0.0,0.0,91.82,91.82,91.82,0.0,0.0,91.5,91.5,91.5,0.0,0.0,91.72,91.72,91.72,0.0,0.0
2016-05-08,91.2,91.2,91.2,0.0,0.0,91.56,91.56,91.56,0.0,0.0,91.2,91.2,91.2,0.0,0.0,91.56,91.56,91.56,0.0,0.0
2016-05-15,91.13,91.13,91.13,0.0,0.0,91.5,91.5,91.5,0.0,0.0,91.13,91.13,91.13,0.0,0.0,91.5,91.5,91.5,0.0,0.0
2016-05-22,91.47,91.47,91.47,0.0,0.0,91.77,91.77,91.77,0.0,0.0,91.47,91.47,91.47,0.0,0.0,91.77,91.77,91.77,0.0,0.0
2016-05-29,91.8,91.8,91.8,0.0,0.0,91.87,91.87,91.87,0.0,0.0,91.54,91.54,91.54,0.0,0.0,91.54,91.54,91.54,0.0,0.0
2016-06-05,91.4,91.4,91.4,0.0,0.0,91.5,91.5,91.5,0.0,0.0,91.4,91.4,91.4,0.0,0.0,91.5,91.5,91.5,0.0,0.0
2016-06-12,90.95,90.95,90.95,0.0,0.0,91.11,91.11,91.11,0.0,0.0,90.88,90.88,90.88,0.0,0.0,91.11,91.11,91.11,0.0,0.0
2016-06-19,91.67,91.67,91.67,0.0,0.0,91.67,91.67,91.67,0.0,0.0,91.42,91.42,91.42,0.0,0.0,91.42,91.42,91.42,0.0,0.0
2016-06-26,92.14,92.14,92.14,0.0,0.0,92.14,92.14,92.14,0.0,0.0,92.08,92.08,92.08,0.0,0.0,92.14,92.14,92.14,0.0,0.0
2016-07-03,92.18,92.18,92.18,0.0,0.0,92.3,92.3,92.3,0.0,0.0,92.16,92.16,92.16,0.0,0.0,92.16,92.16,92.16,0.0,0.0
2016-07-10,92.4,92.4,92.4,0.0,0.0,92.54,92.54,92.54,0.0,0.0,92.39,92.39,92.39,0.0,0.0,92.43,92.43,92.43,0.0,0.0
2016-07-17,93.04,93.04,93.04,0.0,0.0,93.04,93.04,93.04,0.0,0.0,93.03,93.03,93.03,0.0,0.0,93.04,93.04,93.04,0.0,0.0
2016-07-24,92.42,92.42,92.42,0.0,0.0,92.59,92.59,92.59,0.0,0.0,92.42,92.42,92.42,0.0,0.0,92.59,92.59,92.59,0.0,0.0
2016-07-31,92.12,92.12,92.12,0.0,0.0,92.12,92.12,92.12,0.0,0.0,92.12,92.12,92.12,0.0,0.0,92.12,92.12,92.12,0.0,0.0
2016-08-07,92.65,92.65,92.65,0.0,0.0,92.65,92.65,92.65,0.0,0.0,92.57,92.57,92.57,0.0,0.0,92.57,92.57,92.57,0.0,0.0
2016-08-14,92.71,92.71,92.71,0.0,0.0,92.71,92.71,92.71,0.0,0.0,92.63,92.63,92.63,0.0,0.0,92.63,92.63,92.63,0.0,0.0
2016-08-21,92.69,92.69,92.69,0.0,0.0,92.69,92.69,92.69,0.0,0.0,92.55,92.55,92.55,0.0,0.0,92.64,92.64,92.64,0.0,0.0
2016-08-28,92.59,92.59,92.59,0.0,0.0,92.71,92.71,92.71,0.0,0.0,92.58,92.58,92.58,0.0,0.0,92.63,92.63,92.63,0.0,0.0
2016-09-04,92.07,92.07,92.07,0.0,0.0,92.07,92.07,92.07,0.0,0.0,91.95,91.95,91.95,0.0,0.0,91.95,91.95,91.95,0.0,0.0
2016-09-11,92.01,92.01,92.01,0.0,0.0,92.05,92.05,92.05,0.0,0.0,91.93,91.93,91.93,0.0,0.0,92.05,92.05,92.05,0.0,0.0
2016-09-18,92.5,92.5,92.5,0.0,0.0,92.53,92.53,92.53,0.0,0.0,92.5,92.5,92.5,0.0,0.0,92.5,92.5,92.5,0.0,0.0
