Date,Direxion Daily Small Cap Bull 3X SharesEtf_Open_average,Direxion Daily Small Cap Bull 3X SharesEtf_Open_max,Direxion Daily Small Cap Bull 3X SharesEtf_Open_min,Direxion Daily Small Cap Bull 3X SharesEtf_Open_volatility,Direxion Daily Small Cap Bull 3X SharesEtf_Open_change,Direxion Daily Small Cap Bull 3X SharesEtf_High_average,Direxion Daily Small Cap Bull 3X SharesEtf_High_max,Direxion Daily Small Cap Bull 3X SharesEtf_High_min,Direxion Daily Small Cap Bull 3X SharesEtf_High_volatility,Direxion Daily Small Cap Bull 3X SharesEtf_High_change,Direxion Daily Small Cap Bull 3X SharesEtf_Low_average,Direxion Daily Small Cap Bull 3X SharesEtf_Low_max,Direxion Daily Small Cap Bull 3X SharesEtf_Low_min,Direxion Daily Small Cap Bull 3X SharesEtf_Low_volatility,Direxion Daily Small Cap Bull 3X SharesEtf_Low_change,Direxion Daily Small Cap Bull 3X SharesEtf_Close_average,Direxion Daily Small Cap Bull 3X SharesEtf_Close_max,Direxion Daily Small Cap Bull 3X SharesEtf_Close_min,Direxion Daily Small Cap Bull 3X SharesEtf_Close_volatility,Direxion Daily Small Cap Bull 3X SharesEtf_Close_change
2016-01-03,26.34,26.34,26.34,0.0,0.0,26.74,26.74,26.74,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.76,24.76,24.76,0.0,0.0
2016-01-10,21.35,21.35,21.35,0.0,0.0,22.18,22.18,22.18,0.0,0.0,20.29,20.29,20.29,0.0,0.0,22.04,22.04,22.04,0.0,0.0
2016-01-17,22.39,22.39,22.39,0.0,0.0,23.0,23.0,23.0,0.0,0.0,22.05,22.05,22.05,0.0,0.0,22.82,22.82,22.82,0.0,0.0
2016-01-24,21.88,21.88,21.88,0.0,0.0,23.75,23.75,23.75,0.0,0.0,21.83,21.83,21.83,0.0,0.0,23.73,23.73,23.73,0.0,0.0
2016-01-31,21.93,21.93,21.93,0.0,0.0,22.01,22.01,22.01,0.0,0.0,20.39,20.39,20.39,0.0,0.0,20.43,20.43,20.43,0.0,0.0
2016-02-07,18.95,18.95,18.95,0.0,0.0,19.57,19.57,19.57,0.0,0.0,18.66,18.66,18.66,0.0,0.0,19.48,19.48,19.48,0.0,0.0
2016-02-14,21.25,21.25,21.25,0.0,0.0,21.91,21.91,21.91,0.0,0.0,20.98,20.98,20.98,0.0,0.0,21.83,21.83,21.83,0.0,0.0
2016-02-21,23.57,23.57,23.57,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.61,23.61,23.61,0.0,0.0
2016-02-28,26.36,26.36,26.36,0.0,0.0,27.25,27.25,27.25,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.8,26.8,26.8,0.0,0.0
2016-03-06,26.04,26.04,26.04,0.0,0.0,27.14,27.14,27.14,0.0,0.0,25.95,25.95,25.95,0.0,0.0,27.06,27.06,27.06,0.0,0.0
2016-03-13,27.43,27.43,27.43,0.0,0.0,28.31,28.31,28.31,0.0,0.0,27.38,27.38,27.38,0.0,0.0,28.08,28.08,28.08,0.0,0.0
2016-03-20,25.76,25.76,25.76,0.0,0.0,26.46,26.46,26.46,0.0,0.0,25.38,25.38,25.38,0.0,0.0,26.46,26.46,26.46,0.0,0.0
2016-03-27,28.2,28.2,28.2,0.0,0.0,29.44,29.44,29.44,0.0,0.0,28.11,28.11,28.11,0.0,0.0,29.38,29.38,29.38,0.0,0.0
2016-04-03,28.11,28.11,28.11,0.0,0.0,28.47,28.47,28.47,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.75,27.75,27.75,0.0,0.0
2016-04-10,29.91,29.91,29.91,0.0,0.0,30.45,30.45,30.45,0.0,0.0,29.84,29.84,29.84,0.0,0.0,30.33,30.33,30.33,0.0,0.0
2016-04-17,30.74,30.74,30.74,0.0,0.0,31.71,31.71,31.71,0.0,0.0,30.73,30.73,30.73,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2016-04-24,30.69,30.69,30.69,0.0,0.0,31.07,31.07,31.07,0.0,0.0,29.64,29.64,29.64,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2016-05-01,28.12,28.12,28.12,0.0,0.0,28.98,28.98,28.98,0.0,0.0,27.91,27.91,27.91,0.0,0.0,28.96,28.96,28.96,0.0,0.0
2016-05-08,28.25,28.25,28.25,0.0,0.0,28.95,28.95,28.95,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2016-05-15,27.57,27.57,27.57,0.0,0.0,28.73,28.73,28.73,0.0,0.0,27.57,27.57,27.57,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2016-05-22,30.91,30.91,30.91,0.0,0.0,31.75,31.75,31.75,0.0,0.0,30.87,30.87,30.87,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2016-05-29,33.25,33.25,33.25,0.0,0.0,33.27,33.27,33.27,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2016-06-05,33.39,33.39,33.39,0.0,0.0,33.62,33.62,33.62,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2016-06-12,31.54,31.54,31.54,0.0,0.0,31.93,31.93,31.93,0.0,0.0,30.93,30.93,30.93,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2016-06-19,29.34,29.34,29.34,0.0,0.0,31.11,31.11,31.11,0.0,0.0,28.94,28.94,28.94,0.0,0.0,29.71,29.71,29.71,0.0,0.0
2016-06-26,31.57,31.57,31.57,0.0,0.0,32.31,32.31,32.31,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.85,31.85,31.85,0.0,0.0
2016-07-03,32.22,32.22,32.22,0.0,0.0,33.72,33.72,33.72,0.0,0.0,32.13,32.13,32.13,0.0,0.0,33.47,33.47,33.47,0.0,0.0
2016-07-10,36.17,36.17,36.17,0.0,0.0,36.3,36.3,36.3,0.0,0.0,35.62,35.62,35.62,0.0,0.0,36.0,36.0,36.0,0.0,0.0
2016-07-17,35.85,35.85,35.85,0.0,0.0,36.83,36.83,36.83,0.0,0.0,35.67,35.67,35.67,0.0,0.0,36.59,36.59,36.59,0.0,0.0
2016-07-24,36.88,36.88,36.88,0.0,0.0,37.81,37.81,37.81,0.0,0.0,36.27,36.27,36.27,0.0,0.0,37.17,37.17,37.17,0.0,0.0
2016-07-31,37.4,37.4,37.4,0.0,0.0,38.53,38.53,38.53,0.0,0.0,37.08,37.08,37.08,0.0,0.0,38.28,38.28,38.28,0.0,0.0
