Date,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Open_average,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Open_max,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Open_min,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Open_volatility,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Open_change,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_High_average,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_High_max,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_High_min,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_High_volatility,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_High_change,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Low_average,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Low_max,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Low_min,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Low_volatility,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Low_change,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Close_average,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Close_max,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Close_min,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Close_volatility,PowerShares FTSE RAFI Developed Markets ex-US Smal_etf_Close_change
2016-01-03,24.69,24.69,24.69,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.36,24.36,24.36,0.0,0.0
2016-01-10,23.54,23.54,23.54,0.0,0.0,23.73,23.73,23.73,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.64,23.64,23.64,0.0,0.0
2016-01-17,23.71,23.71,23.71,0.0,0.0,23.98,23.98,23.98,0.0,0.0,23.63,23.63,23.63,0.0,0.0,23.9,23.9,23.9,0.0,0.0
2016-01-24,24.48,24.48,24.48,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.65,24.65,24.65,0.0,0.0
2016-01-31,24.24,24.24,24.24,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.08,24.08,24.08,0.0,0.0,24.08,24.08,24.08,0.0,0.0
2016-02-07,23.16,23.16,23.16,0.0,0.0,23.22,23.22,23.22,0.0,0.0,22.76,22.76,22.76,0.0,0.0,22.97,22.97,22.97,0.0,0.0
2016-02-14,23.69,23.69,23.69,0.0,0.0,24.15,24.15,24.15,0.0,0.0,23.69,23.69,23.69,0.0,0.0,23.92,23.92,23.92,0.0,0.0
2016-02-21,24.41,24.41,24.41,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.28,24.28,24.28,0.0,0.0,24.33,24.33,24.33,0.0,0.0
2016-02-28,25.31,25.31,25.31,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.31,25.31,25.31,0.0,0.0,25.43,25.43,25.43,0.0,0.0
2016-03-06,25.5,25.5,25.5,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.86,25.86,25.86,0.0,0.0
2016-03-13,26.22,26.22,26.22,0.0,0.0,26.29,26.29,26.29,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.14,26.14,26.14,0.0,0.0
2016-03-20,25.71,25.71,25.71,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.64,25.64,25.64,0.0,0.0
2016-03-27,25.77,25.77,25.77,0.0,0.0,26.01,26.01,26.01,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2016-04-03,25.82,25.82,25.82,0.0,0.0,26.01,26.01,26.01,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.93,25.93,25.93,0.0,0.0
2016-04-10,26.6,26.6,26.6,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.58,26.58,26.58,0.0,0.0
2016-04-17,26.79,26.79,26.79,0.0,0.0,26.96,26.96,26.96,0.0,0.0,26.79,26.79,26.79,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2016-04-24,26.66,26.66,26.66,0.0,0.0,26.91,26.91,26.91,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.76,26.76,26.76,0.0,0.0
2016-05-01,26.35,26.35,26.35,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.47,26.47,26.47,0.0,0.0
2016-05-08,26.53,26.53,26.53,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.42,26.42,26.42,0.0,0.0
2016-05-15,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.47,26.47,26.47,0.0,0.0
2016-05-22,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2016-05-29,27.04,27.04,27.04,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.13,27.13,27.13,0.0,0.0
2016-06-05,26.75,26.75,26.75,0.0,0.0,27.01,27.01,27.01,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0
2016-06-12,25.56,25.56,25.56,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.86,25.86,25.86,0.0,0.0
2016-06-19,25.41,25.41,25.41,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.28,25.28,25.28,0.0,0.0
2016-06-26,25.94,25.94,25.94,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.94,25.94,25.94,0.0,0.0
2016-07-03,25.62,25.62,25.62,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.74,25.74,25.74,0.0,0.0
2016-07-10,26.73,26.73,26.73,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.37,26.37,26.37,0.0,0.0
2016-07-17,26.32,26.32,26.32,0.0,0.0,26.58,26.58,26.58,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.48,26.48,26.48,0.0,0.0
2016-07-24,27.16,27.16,27.16,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.03,27.03,27.03,0.0,0.0,27.17,27.17,27.17,0.0,0.0
2016-07-31,26.71,26.71,26.71,0.0,0.0,26.99,26.99,26.99,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.91,26.91,26.91,0.0,0.0
2016-08-07,27.73,27.73,27.73,0.0,0.0,27.73,27.73,27.73,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.55,27.55,27.55,0.0,0.0
2016-08-14,27.32,27.32,27.32,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.53,27.53,27.53,0.0,0.0
2016-08-21,27.34,27.34,27.34,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.33,27.33,27.33,0.0,0.0
