Date,iShares MSCI China Small-Cap_etf_Open_average,iShares MSCI China Small-Cap_etf_Open_max,iShares MSCI China Small-Cap_etf_Open_min,iShares MSCI China Small-Cap_etf_Open_volatility,iShares MSCI China Small-Cap_etf_Open_change,iShares MSCI China Small-Cap_etf_High_average,iShares MSCI China Small-Cap_etf_High_max,iShares MSCI China Small-Cap_etf_High_min,iShares MSCI China Small-Cap_etf_High_volatility,iShares MSCI China Small-Cap_etf_High_change,iShares MSCI China Small-Cap_etf_Low_average,iShares MSCI China Small-Cap_etf_Low_max,iShares MSCI China Small-Cap_etf_Low_min,iShares MSCI China Small-Cap_etf_Low_volatility,iShares MSCI China Small-Cap_etf_Low_change,iShares MSCI China Small-Cap_etf_Close_average,iShares MSCI China Small-Cap_etf_Close_max,iShares MSCI China Small-Cap_etf_Close_min,iShares MSCI China Small-Cap_etf_Close_volatility,iShares MSCI China Small-Cap_etf_Close_change
2016-01-03,41.62,41.62,41.62,0.0,0.0,41.82,41.82,41.82,0.0,0.0,40.81,40.81,40.81,0.0,0.0,41.3,41.3,41.3,0.0,0.0
2016-01-10,38.65,38.65,38.65,0.0,0.0,38.98,38.98,38.98,0.0,0.0,38.11,38.11,38.11,0.0,0.0,38.35,38.35,38.35,0.0,0.0
2016-01-17,38.0,38.0,38.0,0.0,0.0,40.2,40.2,40.2,0.0,0.0,38.0,38.0,38.0,0.0,0.0,38.3,38.3,38.3,0.0,0.0
2016-01-24,37.56,37.56,37.56,0.0,0.0,38.2,38.2,38.2,0.0,0.0,37.56,37.56,37.56,0.0,0.0,38.0,38.0,38.0,0.0,0.0
2016-01-31,37.23,37.23,37.23,0.0,0.0,37.5,37.5,37.5,0.0,0.0,36.49,36.49,36.49,0.0,0.0,36.49,36.49,36.49,0.0,0.0
2016-02-07,36.0,36.0,36.0,0.0,0.0,36.65,36.65,36.65,0.0,0.0,35.2,35.2,35.2,0.0,0.0,36.45,36.45,36.45,0.0,0.0
2016-02-14,38.67,38.67,38.67,0.0,0.0,38.97,38.97,38.97,0.0,0.0,38.18,38.18,38.18,0.0,0.0,38.97,38.97,38.97,0.0,0.0
2016-02-21,39.5,39.5,39.5,0.0,0.0,39.5,39.5,39.5,0.0,0.0,37.57,37.57,37.57,0.0,0.0,38.51,38.51,38.51,0.0,0.0
2016-02-28,40.3,40.3,40.3,0.0,0.0,41.55,41.55,41.55,0.0,0.0,40.3,40.3,40.3,0.0,0.0,41.55,41.55,41.55,0.0,0.0
2016-03-06,39.71,39.71,39.71,0.0,0.0,40.28,40.28,40.28,0.0,0.0,39.65,39.65,39.65,0.0,0.0,40.27,40.27,40.27,0.0,0.0
2016-03-13,41.08,41.08,41.08,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.08,41.08,41.08,0.0,0.0,41.18,41.18,41.18,0.0,0.0
2016-03-20,40.56,40.56,40.56,0.0,0.0,40.65,40.65,40.65,0.0,0.0,40.29,40.29,40.29,0.0,0.0,40.62,40.62,40.62,0.0,0.0
2016-03-27,41.07,41.07,41.07,0.0,0.0,41.09,41.09,41.09,0.0,0.0,41.07,41.07,41.07,0.0,0.0,41.09,41.09,41.09,0.0,0.0
2016-04-03,41.08,41.08,41.08,0.0,0.0,41.34,41.34,41.34,0.0,0.0,41.02,41.02,41.02,0.0,0.0,41.02,41.02,41.02,0.0,0.0
2016-04-10,42.7,42.7,42.7,0.0,0.0,42.82,42.82,42.82,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.82,42.82,42.82,0.0,0.0
2016-04-17,42.35,42.35,42.35,0.0,0.0,42.79,42.79,42.79,0.0,0.0,42.01,42.01,42.01,0.0,0.0,42.54,42.54,42.54,0.0,0.0
2016-04-24,42.04,42.04,42.04,0.0,0.0,42.04,42.04,42.04,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.0,42.0,42.0,0.0,0.0
2016-05-01,41.33,41.33,41.33,0.0,0.0,41.33,41.33,41.33,0.0,0.0,40.5,40.5,40.5,0.0,0.0,41.04,41.04,41.04,0.0,0.0
2016-05-08,39.66,39.66,39.66,0.0,0.0,39.67,39.67,39.67,0.0,0.0,39.63,39.63,39.63,0.0,0.0,39.65,39.65,39.65,0.0,0.0
2016-05-15,39.53,39.53,39.53,0.0,0.0,39.53,39.53,39.53,0.0,0.0,39.53,39.53,39.53,0.0,0.0,39.53,39.53,39.53,0.0,0.0
2016-05-22,39.95,39.95,39.95,0.0,0.0,40.12,40.12,40.12,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.99,39.99,39.99,0.0,0.0
2016-05-29,40.87,40.87,40.87,0.0,0.0,40.89,40.89,40.89,0.0,0.0,40.84,40.84,40.84,0.0,0.0,40.89,40.89,40.89,0.0,0.0
2016-06-05,40.8,40.8,40.8,0.0,0.0,40.86,40.86,40.86,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.55,40.55,40.55,0.0,0.0
2016-06-12,40.3,40.3,40.3,0.0,0.0,40.3,40.3,40.3,0.0,0.0,40.3,40.3,40.3,0.0,0.0,40.3,40.3,40.3,0.0,0.0
2016-06-19,39.1,39.1,39.1,0.0,0.0,39.91,39.91,39.91,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.14,39.14,39.14,0.0,0.0
2016-06-26,39.27,39.27,39.27,0.0,0.0,39.27,39.27,39.27,0.0,0.0,39.27,39.27,39.27,0.0,0.0,39.27,39.27,39.27,0.0,0.0
2016-07-03,39.79,39.79,39.79,0.0,0.0,39.87,39.87,39.87,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.7,39.7,39.7,0.0,0.0
2016-07-10,40.92,40.92,40.92,0.0,0.0,40.92,40.92,40.92,0.0,0.0,40.77,40.77,40.77,0.0,0.0,40.77,40.77,40.77,0.0,0.0
2016-07-17,41.14,41.14,41.14,0.0,0.0,41.37,41.37,41.37,0.0,0.0,40.7,40.7,40.7,0.0,0.0,41.19,41.19,41.19,0.0,0.0
2016-07-24,40.22,40.22,40.22,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.22,40.22,40.22,0.0,0.0,40.37,40.37,40.37,0.0,0.0
2016-07-31,40.7,40.7,40.7,0.0,0.0,41.44,41.44,41.44,0.0,0.0,39.81,39.81,39.81,0.0,0.0,41.31,41.31,41.31,0.0,0.0
2016-08-07,41.97,41.97,41.97,0.0,0.0,42.59,42.59,42.59,0.0,0.0,41.97,41.97,41.97,0.0,0.0,42.14,42.14,42.14,0.0,0.0
