Date,MSAStock_Open_average,MSAStock_Open_max,MSAStock_Open_min,MSAStock_Open_volatility,MSAStock_Open_change,MSAStock_High_average,MSAStock_High_max,MSAStock_High_min,MSAStock_High_volatility,MSAStock_High_change,MSAStock_Low_average,MSAStock_Low_max,MSAStock_Low_min,MSAStock_Low_volatility,MSAStock_Low_change,MSAStock_Close_average,MSAStock_Close_max,MSAStock_Close_min,MSAStock_Close_volatility,MSAStock_Close_change,MSAStock_Volume_average,MSAStock_Volume_max,MSAStock_Volume_min,MSAStock_Volume_volatility,MSAStock_Volume_change
2016-01-03,42.084,42.88,41.1,1.7800000000000011,-1.6299999999999955,42.396,43.28,41.36,1.9200000000000017,-1.509999999999998,41.416000000000004,42.46,40.35,2.1099999999999994,-1.1999999999999957,41.856,43.09,40.65,2.440000000000005,-2.039999999999999,149557,200821,103059,97762,-71339
2016-01-10,40.17,41.13,38.92,2.210000000000001,-1.8900000000000006,40.826,41.49,39.81,1.6799999999999997,-1.2899999999999991,39.272,40.2,38.12,2.0800000000000054,-2.0800000000000054,40.046,40.74,39.34,1.3999999999999986,-1.1200000000000045,148862,200791,98552,102239,102239
2016-01-17,38.99,39.99,37.86,2.1300000000000026,-1.1200000000000045,39.682500000000005,40.12,39.34,0.779999999999994,-0.6199999999999974,38.01,38.3,37.68,0.6199999999999974,0.4099999999999966,38.6175,39.15,38.31,0.8399999999999963,0.10999999999999943,197177,238368,155575,82793,82793
2016-01-24,39.897999999999996,41.12,38.49,2.6299999999999955,2.6299999999999955,40.846,42.82,38.97,3.8500000000000014,3.8500000000000014,39.594,41.12,38.2,2.9199999999999946,2.9199999999999946,40.602,42.8,38.64,4.159999999999997,4.159999999999997,162510,227401,105804,121597,10147
2016-01-31,41.604,42.33,41.12,1.2100000000000009,-0.9099999999999966,41.972,42.74,41.57,1.1700000000000017,-1.1099999999999994,40.868,41.78,40.29,1.490000000000002,-0.8100000000000023,41.386,42.45,40.69,1.7600000000000051,-1.3800000000000026,138854,165996,112443,53553,-7262
2016-02-07,40.396,41.33,39.73,1.6000000000000014,-0.9600000000000009,41.056,42.21,40.25,1.9600000000000009,-0.7800000000000011,39.966,40.75,39.1,1.6499999999999986,-0.7600000000000051,40.466,41.01,39.39,1.6199999999999974,-0.7999999999999972,116206,141161,90546,50615,-26081
2016-02-14,42.11,43.24,40.58,2.6600000000000037,2.1600000000000037,42.769999999999996,43.25,41.72,1.5300000000000011,1.3400000000000034,41.775,42.5,40.55,1.9500000000000028,1.8300000000000054,42.5025,42.88,41.47,1.4100000000000037,1.4100000000000037,117368,155875,81019,74856,32732
2016-02-21,43.495999999999995,44.9,42.65,2.25,0.28000000000000114,43.916,45.52,43.25,2.270000000000003,0.3400000000000034,42.437999999999995,43.23,41.69,1.5399999999999991,0.509999999999998,43.172,43.61,42.85,0.759999999999998,0.759999999999998,145473,236459,104680,131779,2059
2016-02-28,44.45,45.75,43.71,2.039999999999999,2.039999999999999,45.296,46.69,44.35,2.3399999999999963,2.3399999999999963,44.142,45.09,43.62,1.470000000000006,1.4400000000000048,44.936,46.47,43.67,2.799999999999997,2.799999999999997,118811,138560,99204,39356,916
2016-03-06,45.504000000000005,46.27,44.88,1.3900000000000006,-1.3900000000000006,46.054,46.73,45.38,1.3499999999999943,-0.12999999999999545,44.81,45.49,43.96,1.5300000000000011,-0.7000000000000028,45.524,46.59,44.52,2.0700000000000003,0.44000000000000483,133000,173583,88191,85392,16179
