Date,CCIHY_stock_Open_average,CCIHY_stock_Open_max,CCIHY_stock_Open_min,CCIHY_stock_Open_volatility,CCIHY_stock_Open_change,CCIHY_stock_High_average,CCIHY_stock_High_max,CCIHY_stock_High_min,CCIHY_stock_High_volatility,CCIHY_stock_High_change,CCIHY_stock_Low_average,CCIHY_stock_Low_max,CCIHY_stock_Low_min,CCIHY_stock_Low_volatility,CCIHY_stock_Low_change,CCIHY_stock_Close_average,CCIHY_stock_Close_max,CCIHY_stock_Close_min,CCIHY_stock_Close_volatility,CCIHY_stock_Close_change,CCIHY_stock_Volume_average,CCIHY_stock_Volume_max,CCIHY_stock_Volume_min,CCIHY_stock_Volume_volatility,CCIHY_stock_Volume_change
2016-01-03,7.538,8.0,7.01,0.9900000000000002,-0.9900000000000002,7.748,8.03,7.41,0.6199999999999992,-0.5999999999999996,7.242,7.61,6.64,0.9700000000000006,-0.6000000000000005,7.458,7.74,6.99,0.75,-0.5,140651,202089,38013,164076,-77844
2016-01-10,6.7780000000000005,7.08,6.49,0.5899999999999999,-0.5899999999999999,6.884,7.08,6.58,0.5,-0.5,6.482,6.6,6.38,0.21999999999999975,-0.1299999999999999,6.632,6.88,6.5,0.3799999999999999,-0.1900000000000004,115087,147882,79635,68247,-59314
2016-01-17,6.575,7.2,6.1,1.1000000000000005,0.5899999999999999,6.9625,7.45,6.39,1.0600000000000005,0.7599999999999998,6.3149999999999995,7.02,5.96,1.0599999999999996,0.7399999999999993,6.655,7.12,6.0,1.12,0.6900000000000004,151438,245540,86568,158972,-52475
2016-01-24,7.112,7.17,7.08,0.08999999999999986,0.0,7.292,7.41,7.2,0.20999999999999996,0.009999999999999787,6.934,7.11,6.77,0.34000000000000075,0.15000000000000036,7.122,7.31,7.01,0.2999999999999998,0.17999999999999972,49496,68555,37075,31480,-27401
2016-01-31,7.204,7.4,7.02,0.3800000000000008,-0.2400000000000002,7.268,7.41,7.05,0.3600000000000003,-0.15000000000000036,6.864,7.0,6.74,0.2599999999999998,0.1200000000000001,7.134,7.4,7.0,0.40000000000000036,-0.33000000000000007,76486,119240,37289,81951,-53786
2016-02-07,6.872,7.04,6.74,0.2999999999999998,0.040000000000000036,7.146,7.22,7.04,0.17999999999999972,-0.17999999999999972,6.802,6.87,6.71,0.16000000000000014,-0.009999999999999787,6.9,7.01,6.73,0.27999999999999936,-0.0699999999999994,65962,91636,37260,54376,-44513
2016-02-14,6.725,7.01,6.28,0.7299999999999995,-0.20000000000000018,7.055,7.29,6.89,0.40000000000000036,0.15000000000000036,6.455,6.81,6.02,0.79,0.79,6.7075,7.01,6.23,0.7799999999999994,0.7799999999999994,111768,245445,42343,203102,-191346
2016-02-21,7.156666666666667,7.22,7.08,0.13999999999999968,0.0,7.248333333333333,7.43,7.15,0.27999999999999936,-0.27999999999999936,6.94,7.15,6.65,0.5,0.03000000000000025,7.163333333333333,7.25,7.08,0.16999999999999993,-0.08999999999999986,53766,156952,0,156952,-51774
2016-02-28,7.81,8.62,7.12,1.4999999999999991,1.4999999999999991,8.225999999999999,8.82,7.22,1.6000000000000005,1.6000000000000005,7.72,8.39,7.05,1.3400000000000007,1.3400000000000007,8.012,8.7,7.14,1.5599999999999996,1.5599999999999996,197834,331399,65934,265465,65673
2016-03-06,8.412,8.67,8.15,0.5199999999999996,-0.5199999999999996,8.558,8.69,8.26,0.4299999999999997,0.019999999999999574,8.193999999999999,8.36,7.94,0.41999999999999904,-0.20999999999999908,8.388,8.61,8.1,0.5099999999999998,-0.10999999999999943,90893,133400,49628,83772,25497
2016-03-13,9.25,9.6,8.55,1.049999999999999,1.049999999999999,9.688,9.9,9.5,0.40000000000000036,-0.25,9.108,9.42,8.55,0.8699999999999992,0.8699999999999992,9.436,9.54,9.23,0.3099999999999987,0.019999999999999574,155872,370366,72546,297820,-297820
2016-03-20,9.2225,9.65,8.72,0.9299999999999997,-0.9299999999999997,9.7025,10.48,9.11,1.370000000000001,-1.370000000000001,9.05,9.63,8.72,0.9100000000000001,-0.9100000000000001,9.32,9.98,8.9,1.08,-1.0500000000000007,273780,339761,232364,107397,107397
2016-03-27,7.97,8.51,7.21,1.2999999999999998,-0.6200000000000001,8.388,8.95,8.1,0.8499999999999996,-0.5699999999999985,7.69,8.01,7.21,0.7999999999999998,-0.1200000000000001,7.9559999999999995,8.28,7.56,0.7199999999999998,0.1399999999999988,331494,468179,167933,300246,103447
2016-04-03,8.474,9.3,7.89,1.410000000000001,0.7799999999999994,8.876,9.34,8.24,1.0999999999999996,0.8200000000000003,8.234,8.89,7.83,1.0600000000000005,1.040000000000001,8.642,9.3,7.89,1.410000000000001,1.13,346446,479238,226279,252959,-135216
2016-04-10,9.096,9.31,8.98,0.33000000000000007,-0.11999999999999922,9.186,9.37,9.04,0.33000000000000007,-0.08999999999999986,8.876,8.95,8.77,0.17999999999999972,-0.07000000000000028,9.03,9.2,8.94,0.2599999999999998,0.009999999999999787,241380,352365,132411,219954,-212623
2016-04-17,8.88,8.94,8.75,0.1899999999999995,-0.13000000000000078,9.016,9.15,8.85,0.3000000000000007,-0.20000000000000107,8.656,8.82,8.15,0.6699999999999999,-0.6500000000000004,8.796,8.95,8.47,0.47999999999999865,-0.3899999999999988,126580,186218,42681,143537,95753
