Date,First Trust Hong Kong AlphaDEX_etf_Open_average,First Trust Hong Kong AlphaDEX_etf_Open_max,First Trust Hong Kong AlphaDEX_etf_Open_min,First Trust Hong Kong AlphaDEX_etf_Open_volatility,First Trust Hong Kong AlphaDEX_etf_Open_change,First Trust Hong Kong AlphaDEX_etf_High_average,First Trust Hong Kong AlphaDEX_etf_High_max,First Trust Hong Kong AlphaDEX_etf_High_min,First Trust Hong Kong AlphaDEX_etf_High_volatility,First Trust Hong Kong AlphaDEX_etf_High_change,First Trust Hong Kong AlphaDEX_etf_Low_average,First Trust Hong Kong AlphaDEX_etf_Low_max,First Trust Hong Kong AlphaDEX_etf_Low_min,First Trust Hong Kong AlphaDEX_etf_Low_volatility,First Trust Hong Kong AlphaDEX_etf_Low_change,First Trust Hong Kong AlphaDEX_etf_Close_average,First Trust Hong Kong AlphaDEX_etf_Close_max,First Trust Hong Kong AlphaDEX_etf_Close_min,First Trust Hong Kong AlphaDEX_etf_Close_volatility,First Trust Hong Kong AlphaDEX_etf_Close_change
2016-01-03,31.25,31.25,31.25,0.0,0.0,31.25,31.25,31.25,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.54,30.54,30.54,0.0,0.0
2016-01-10,29.49,29.49,29.49,0.0,0.0,29.49,29.49,29.49,0.0,0.0,28.84,28.84,28.84,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2016-01-17,29.04,29.04,29.04,0.0,0.0,29.04,29.04,29.04,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.78,28.78,28.78,0.0,0.0
2016-01-24,28.78,28.78,28.78,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.81,28.81,28.81,0.0,0.0
2016-01-31,28.25,28.25,28.25,0.0,0.0,28.27,28.27,28.27,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.91,27.91,27.91,0.0,0.0
2016-02-07,27.55,27.55,27.55,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.94,27.94,27.94,0.0,0.0
2016-02-14,28.98,28.98,28.98,0.0,0.0,29.16,29.16,29.16,0.0,0.0,28.93,28.93,28.93,0.0,0.0,29.16,29.16,29.16,0.0,0.0
2016-02-21,29.39,29.39,29.39,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.23,29.23,29.23,0.0,0.0,29.3,29.3,29.3,0.0,0.0
2016-02-28,31.2,31.2,31.2,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.71,31.71,31.71,0.0,0.0
2016-03-06,31.16,31.16,31.16,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.37,31.37,31.37,0.0,0.0
2016-03-13,32.35,32.35,32.35,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.23,32.23,32.23,0.0,0.0,32.3,32.3,32.3,0.0,0.0
2016-03-20,30.79,30.79,30.79,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2016-03-27,30.87,30.87,30.87,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2016-04-03,31.05,31.05,31.05,0.0,0.0,31.05,31.05,31.05,0.0,0.0,31.05,31.05,31.05,0.0,0.0,31.05,31.05,31.05,0.0,0.0
