Date,ATV_stock_Open_average,ATV_stock_Open_max,ATV_stock_Open_min,ATV_stock_Open_volatility,ATV_stock_Open_change,ATV_stock_High_average,ATV_stock_High_max,ATV_stock_High_min,ATV_stock_High_volatility,ATV_stock_High_change,ATV_stock_Low_average,ATV_stock_Low_max,ATV_stock_Low_min,ATV_stock_Low_volatility,ATV_stock_Low_change,ATV_stock_Close_average,ATV_stock_Close_max,ATV_stock_Close_min,ATV_stock_Close_volatility,ATV_stock_Close_change,ATV_stock_Volume_average,ATV_stock_Volume_max,ATV_stock_Volume_min,ATV_stock_Volume_volatility,ATV_stock_Volume_change
2016-01-03,5.006,5.35,4.64,0.71,-0.6000000000000005,5.284,5.66,4.64,1.0200000000000005,-0.8500000000000005,4.57,4.9,3.9,1.0000000000000004,-1.0000000000000004,4.774,5.44,4.01,1.4300000000000006,-1.4300000000000006,56885,97579,20460,77119,-8489
2016-01-10,7.5280000000000005,8.01,6.94,1.0699999999999994,0.5599999999999996,9.06,10.56,7.59,2.9700000000000006,-1.8599999999999994,7.108,7.63,6.6,1.0300000000000002,0.2999999999999998,7.688,8.35,7.34,1.0099999999999998,0.3200000000000003,2341974,8384465,371904,8012561,-8012561
2016-01-17,7.9125000000000005,8.3,7.48,0.8200000000000003,-0.2900000000000009,8.2725,8.48,8.08,0.40000000000000036,-0.40000000000000036,7.3925,7.7,7.1,0.6000000000000005,-0.08999999999999986,7.6975,7.75,7.6,0.15000000000000036,0.0,216522,345633,133953,211680,-51199
2016-01-24,6.866,7.67,6.08,1.5899999999999999,-1.0099999999999998,7.418,8.36,6.58,1.7799999999999994,-1.0299999999999994,6.553999999999999,7.06,5.88,1.1799999999999997,-0.45999999999999996,6.76,7.24,6.3,0.9400000000000004,-0.5099999999999998,119422,209194,45225,163969,-105109
2016-01-31,6.67,7.56,5.82,1.7399999999999993,0.9399999999999995,7.2540000000000004,7.92,6.57,1.3499999999999996,0.7699999999999996,6.022,6.4,5.7,0.7000000000000002,0.3200000000000003,6.6080000000000005,7.57,5.92,1.6500000000000004,0.1299999999999999,101734,170366,19409,150957,109867
2016-02-07,6.59,6.93,6.17,0.7599999999999998,0.3700000000000001,7.048,7.28,6.88,0.40000000000000036,0.09999999999999964,6.362,6.8,6.04,0.7599999999999998,0.7199999999999998,6.686,7.07,6.31,0.7600000000000007,0.5100000000000007,54237,112464,8502,103962,-70863
2016-02-14,6.8575,7.2,6.42,0.7800000000000002,-0.7800000000000002,7.045,7.2,6.96,0.2400000000000002,-0.2400000000000002,6.525,6.76,6.23,0.5299999999999994,-0.34999999999999964,6.745,6.9,6.58,0.3200000000000003,0.2400000000000002,57990,153991,5396,148595,106928
2016-02-21,6.756,7.27,6.19,1.0799999999999992,-0.75,6.872,7.42,6.25,1.17,-1.17,6.08,6.52,5.54,0.9799999999999995,-0.9799999999999995,6.166,6.7,5.54,1.1600000000000001,-1.1600000000000001,123611,232145,30648,201497,-176006
2016-02-28,5.844,6.09,5.48,0.6099999999999994,0.3699999999999992,6.0840000000000005,6.45,5.69,0.7599999999999998,0.4299999999999997,5.588,5.73,5.31,0.4200000000000008,0.40000000000000036,5.816,5.92,5.61,0.3099999999999996,0.09999999999999964,50117,108785,18214,90571,27841
2016-03-06,5.34,5.71,4.88,0.8300000000000001,-0.8300000000000001,5.496,6.11,5.03,1.08,-1.08,5.014,5.51,4.53,0.9799999999999995,-0.9799999999999995,5.09,5.51,4.65,0.8599999999999994,-0.8599999999999994,41900,83741,20650,63091,27366
