Date,KEG_stock_Open_average,KEG_stock_Open_max,KEG_stock_Open_min,KEG_stock_Open_volatility,KEG_stock_Open_change,KEG_stock_High_average,KEG_stock_High_max,KEG_stock_High_min,KEG_stock_High_volatility,KEG_stock_High_change,KEG_stock_Low_average,KEG_stock_Low_max,KEG_stock_Low_min,KEG_stock_Low_volatility,KEG_stock_Low_change,KEG_stock_Close_average,KEG_stock_Close_max,KEG_stock_Close_min,KEG_stock_Close_volatility,KEG_stock_Close_change,KEG_stock_Volume_average,KEG_stock_Volume_max,KEG_stock_Volume_min,KEG_stock_Volume_volatility,KEG_stock_Volume_change
2016-01-03,0.42884,0.4701,0.4,0.0701,-0.0701,0.44778,0.498,0.4099,0.08810000000000001,-0.08000000000000002,0.40812000000000004,0.45,0.3744,0.0756,-0.065,0.41656,0.48,0.3801,0.09989999999999999,-0.09179999999999999,1246174,1727949,851210,876739,244620
2016-01-10,0.31068,0.3919,0.248,0.14390000000000003,-0.12040000000000001,0.35762,0.3967,0.322,0.07469999999999999,-0.05469999999999997,0.24876,0.28,0.1962,0.08380000000000001,0.00040000000000001146,0.29806,0.3471,0.20600000000000002,0.1411,0.026100000000000012,2475346,3458725,1853433,1605292,569429
2016-01-17,0.329425,0.3699,0.2782,0.0917,0.029899999999999982,0.35619999999999996,0.42,0.3198,0.10020000000000001,0.07999999999999996,0.2899,0.327,0.2626,0.06440000000000001,0.06440000000000001,0.31465,0.3448,0.2801,0.06469999999999998,0.06469999999999998,1515762,2109940,1216650,893290,678995
2016-01-24,0.30976000000000004,0.3448,0.27,0.07479999999999998,-0.07479999999999998,0.33174,0.3747,0.307,0.06769999999999998,-0.04469999999999996,0.27004,0.2875,0.2535,0.033999999999999975,-0.023299999999999987,0.29096,0.3207,0.26,0.060699999999999976,0.021499999999999964,1896738,2807733,897754,1909979,1139832
2016-01-31,0.30018,0.32,0.278,0.04199999999999998,-0.03999999999999998,0.3028,0.32,0.278,0.04199999999999998,-0.027000000000000024,0.26484,0.27,0.255,0.015000000000000013,-0.0005999999999999894,0.27076,0.2774,0.2601,0.017299999999999982,-0.0007000000000000339,1294390,1844366,953975,890391,-352121
2016-02-07,0.24502000000000002,0.28,0.2121,0.06790000000000002,-0.03600000000000003,0.2492,0.28,0.221,0.059000000000000025,-0.030000000000000027,0.21894,0.2401,0.2,0.0401,-0.03,0.22226,0.2451,0.2069,0.03820000000000001,-0.03409999999999999,1573352,2298683,955457,1343226,408673
2016-02-14,0.258375,0.268,0.25,0.018000000000000016,0.0050000000000000044,0.27275,0.285,0.258,0.02699999999999997,-0.02200000000000002,0.235825,0.25,0.23,0.01999999999999999,0.0,0.2487,0.2579,0.2348,0.02310000000000001,-0.009999999999999981,1874843,2129961,1605498,524463,59740
2016-02-21,0.22816,0.255,0.2089,0.0461,-0.0461,0.23658,0.255,0.218,0.037000000000000005,-0.024999999999999994,0.20098,0.235,0.175,0.06,-0.034999999999999976,0.21453999999999998,0.2433,0.1908,0.05249999999999999,-0.03509999999999999,3457590,6238618,2163194,4075424,711844
2016-02-28,0.25986,0.37,0.2082,0.1618,0.1618,0.31968,0.53,0.22899999999999998,0.30100000000000005,0.30100000000000005,0.23868,0.3,0.2082,0.09179999999999999,0.09179999999999999,0.2734,0.3294,0.22899999999999998,0.10040000000000004,0.10040000000000004,6290933,15417165,1837572,13579593,13579593
2016-03-06,0.44674,0.49,0.4297,0.060299999999999965,-0.014000000000000012,0.464,0.5,0.44,0.06,-0.02999999999999997,0.395,0.42,0.375,0.044999999999999984,0.02999999999999997,0.42226,0.4449,0.4,0.044899999999999995,0.0049000000000000155,4175823,7637887,2105683,5532204,-3745003
