Date,ProShares Ultra Nasdaq Biotechnology_etf_Open_average,ProShares Ultra Nasdaq Biotechnology_etf_Open_max,ProShares Ultra Nasdaq Biotechnology_etf_Open_min,ProShares Ultra Nasdaq Biotechnology_etf_Open_volatility,ProShares Ultra Nasdaq Biotechnology_etf_Open_change,ProShares Ultra Nasdaq Biotechnology_etf_High_average,ProShares Ultra Nasdaq Biotechnology_etf_High_max,ProShares Ultra Nasdaq Biotechnology_etf_High_min,ProShares Ultra Nasdaq Biotechnology_etf_High_volatility,ProShares Ultra Nasdaq Biotechnology_etf_High_change,ProShares Ultra Nasdaq Biotechnology_etf_Low_average,ProShares Ultra Nasdaq Biotechnology_etf_Low_max,ProShares Ultra Nasdaq Biotechnology_etf_Low_min,ProShares Ultra Nasdaq Biotechnology_etf_Low_volatility,ProShares Ultra Nasdaq Biotechnology_etf_Low_change,ProShares Ultra Nasdaq Biotechnology_etf_Close_average,ProShares Ultra Nasdaq Biotechnology_etf_Close_max,ProShares Ultra Nasdaq Biotechnology_etf_Close_min,ProShares Ultra Nasdaq Biotechnology_etf_Close_volatility,ProShares Ultra Nasdaq Biotechnology_etf_Close_change
2016-01-03,60.87,60.87,60.87,0.0,0.0,61.0,61.0,61.0,0.0,0.0,56.52,56.52,56.52,0.0,0.0,56.74,56.74,56.74,0.0,0.0
2016-01-10,47.92,47.92,47.92,0.0,0.0,50.6,50.6,50.6,0.0,0.0,46.79,46.79,46.79,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2016-01-17,50.36,50.36,50.36,0.0,0.0,51.36,51.36,51.36,0.0,0.0,49.0,49.0,49.0,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2016-01-24,42.25,42.25,42.25,0.0,0.0,44.15,44.15,44.15,0.0,0.0,41.62,41.62,41.62,0.0,0.0,43.66,43.66,43.66,0.0,0.0
2016-01-31,42.43,42.43,42.43,0.0,0.0,42.92,42.92,42.92,0.0,0.0,39.1,39.1,39.1,0.0,0.0,40.16,40.16,40.16,0.0,0.0
2016-02-07,37.48,37.48,37.48,0.0,0.0,38.55,38.55,38.55,0.0,0.0,35.64,35.64,35.64,0.0,0.0,38.43,38.43,38.43,0.0,0.0
2016-02-14,40.25,40.25,40.25,0.0,0.0,42.0,42.0,42.0,0.0,0.0,39.72,39.72,39.72,0.0,0.0,41.64,41.64,41.64,0.0,0.0
2016-02-21,41.53,41.53,41.53,0.0,0.0,41.53,41.53,41.53,0.0,0.0,41.53,41.53,41.53,0.0,0.0,41.53,41.53,41.53,0.0,0.0
2016-02-28,42.58,42.58,42.58,0.0,0.0,43.43,43.43,43.43,0.0,0.0,41.41,41.41,41.41,0.0,0.0,42.07,42.07,42.07,0.0,0.0
2016-03-06,40.2,40.2,40.2,0.0,0.0,41.54,41.54,41.54,0.0,0.0,39.79,39.79,39.79,0.0,0.0,41.43,41.43,41.43,0.0,0.0
2016-03-13,36.89,36.89,36.89,0.0,0.0,38.55,38.55,38.55,0.0,0.0,36.15,36.15,36.15,0.0,0.0,38.06,38.06,38.06,0.0,0.0
2016-03-20,38.1,38.1,38.1,0.0,0.0,40.45,40.45,40.45,0.0,0.0,37.41,37.41,37.41,0.0,0.0,39.33,39.33,39.33,0.0,0.0
2016-03-27,40.89,40.89,40.89,0.0,0.0,43.44,43.44,43.44,0.0,0.0,39.91,39.91,39.91,0.0,0.0,43.23,43.23,43.23,0.0,0.0
2016-04-03,48.56,48.56,48.56,0.0,0.0,48.56,48.56,48.56,0.0,0.0,45.25,45.25,45.25,0.0,0.0,46.12,46.12,46.12,0.0,0.0
2016-04-10,47.5,47.5,47.5,0.0,0.0,47.6,47.6,47.6,0.0,0.0,46.11,46.11,46.11,0.0,0.0,47.08,47.08,47.08,0.0,0.0
2016-04-17,49.51,49.51,49.51,0.0,0.0,50.13,50.13,50.13,0.0,0.0,47.95,47.95,47.95,0.0,0.0,49.65,49.65,49.65,0.0,0.0
2016-04-24,44.5,44.5,44.5,0.0,0.0,45.12,45.12,45.12,0.0,0.0,42.14,42.14,42.14,0.0,0.0,42.85,42.85,42.85,0.0,0.0
