Date,AAP_stock_Open_average,AAP_stock_Open_max,AAP_stock_Open_min,AAP_stock_Open_volatility,AAP_stock_Open_change,AAP_stock_High_average,AAP_stock_High_max,AAP_stock_High_min,AAP_stock_High_volatility,AAP_stock_High_change,AAP_stock_Low_average,AAP_stock_Low_max,AAP_stock_Low_min,AAP_stock_Low_volatility,AAP_stock_Low_change,AAP_stock_Close_average,AAP_stock_Close_max,AAP_stock_Close_min,AAP_stock_Close_volatility,AAP_stock_Close_change,AAP_stock_Volume_average,AAP_stock_Volume_max,AAP_stock_Volume_min,AAP_stock_Volume_volatility,AAP_stock_Volume_change
2016-01-03,149.022,152.35,144.8,7.549999999999983,-0.21999999999999886,151.444,154.48,149.44,5.039999999999992,-5.039999999999992,146.236,149.89,143.13,6.759999999999991,-2.6399999999999864,149.006,152.24,145.56,6.680000000000007,-6.680000000000007,1297088,1935307,1030364,904943,-904943
2016-01-10,144.44,148.34,138.03,10.310000000000002,-8.099999999999994,146.738,148.97,143.0,5.969999999999999,-3.4099999999999966,141.876,145.74,137.66,8.080000000000013,-7.400000000000006,144.578,148.07,141.32,6.75,-2.7600000000000193,1190024,1336041,1045448,290593,218706
2016-01-17,143.9625,145.09,142.58,2.509999999999991,-0.15000000000000568,145.9475,146.44,145.11,1.329999999999984,-0.5900000000000034,141.79250000000002,142.9,139.41,3.490000000000009,-0.3100000000000023,144.06,144.62,143.39,1.2300000000000182,-0.18999999999999773,874478,1183962,616735,567227,-193570
2016-01-24,148.882,152.96,144.99,7.969999999999999,4.8799999999999955,151.806,154.06,146.33,7.72999999999999,5.899999999999977,146.406,150.18,143.24,6.939999999999998,4.939999999999998,149.66400000000002,152.05,144.72,7.3300000000000125,7.3300000000000125,1051150,1255571,853747,401824,401824
2016-01-31,150.532,154.38,147.46,6.9199999999999875,-4.159999999999997,152.126,156.34,147.96,8.379999999999995,-8.379999999999995,147.258,150.68,143.44,7.240000000000009,-7.240000000000009,149.296,154.89,143.94,10.949999999999989,-10.949999999999989,1189473,1573505,713105,860400,421340
2016-02-07,140.326,142.77,137.04,5.730000000000018,-3.230000000000018,142.882,143.64,141.4,2.2399999999999807,-1.6999999999999886,136.476,139.13,131.59,7.539999999999992,1.1299999999999955,140.14,141.5,138.41,3.0900000000000034,-0.6799999999999784,1820789,2575686,974825,1600861,-1135070
2016-02-14,143.76999999999998,147.17,142.04,5.1299999999999955,1.4800000000000182,146.9775,149.01,144.84,4.1699999999999875,-3.8799999999999955,141.52,142.99,140.56,2.430000000000007,0.1699999999999875,144.09,146.0,143.32,2.680000000000007,-2.3700000000000045,1200980,1471114,949401,521713,-365978
2016-02-21,148.486,150.8,145.25,5.550000000000011,5.349999999999994,150.66,151.49,148.47,3.0200000000000102,2.9099999999999966,146.666,148.41,145.03,3.3799999999999955,3.3799999999999955,149.19400000000002,150.42,147.55,2.869999999999976,2.180000000000007,691339,904013,589473,314540,-314540
2016-02-28,151.554,154.07,149.92,4.150000000000006,4.069999999999993,153.378,154.27,151.06,3.210000000000008,3.210000000000008,150.006,151.32,148.38,2.9399999999999977,2.789999999999992,152.042,153.88,148.44,5.439999999999998,3.930000000000007,730978,862224,622094,240130,-136644
2016-03-06,152.716,156.84,150.59,6.25,5.469999999999999,155.012,159.16,152.65,6.509999999999991,6.289999999999992,151.762,155.97,149.17,6.800000000000011,5.590000000000003,153.93800000000002,158.57,149.68,8.889999999999986,7.049999999999983,770852,1016224,481410,534814,481987
2016-03-13,158.074,158.46,157.53,0.9300000000000068,0.7400000000000091,159.552,160.16,158.5,1.6599999999999966,-1.6399999999999864,156.936,157.35,156.3,1.049999999999983,-0.6899999999999977,158.458,159.34,157.47,1.8700000000000045,-1.8700000000000045,683511,854195,486756,367439,188208
2016-03-20,158.67,160.99,157.48,3.5100000000000193,3.5100000000000193,160.495,162.04,158.75,3.289999999999992,3.289999999999992,158.08249999999998,159.95,157.38,2.569999999999993,2.569999999999993,159.9275,161.82,158.19,3.6299999999999955,3.2099999999999795,604039,845993,389585,456408,456408
2016-03-27,161.654,162.48,160.41,2.069999999999993,-1.0200000000000102,163.12800000000001,165.99,160.98,5.010000000000019,-1.9000000000000057,160.352,162.36,159.33,3.030000000000001,-0.05999999999997385,161.868,163.79,160.34,3.4499999999999886,-1.3400000000000034,762442,1037253,638214,399039,46595
2016-04-03,159.294,161.21,157.0,4.210000000000008,-4.210000000000008,160.584,164.13,157.29,6.840000000000003,-6.840000000000003,156.794,158.18,155.0,3.180000000000007,-2.5600000000000023,158.304,160.47,155.83,4.639999999999986,-3.119999999999976,709179,1041033,504227,536806,-536806
2016-04-10,157.968,161.02,154.66,6.360000000000014,4.77000000000001,159.662,162.02,156.6,5.420000000000016,4.740000000000009,157.096,160.02,153.5,6.52000000000001,5.27000000000001,158.778,161.19,154.77,6.4199999999999875,6.4199999999999875,530920,696700,364454,332246,46934
2016-04-17,159.81,161.87,157.38,4.490000000000009,-3.0,161.028,163.29,158.83,4.4599999999999795,-4.329999999999984,157.904,160.3,155.18,5.1200000000000045,-4.090000000000003,159.13,160.94,157.13,3.8100000000000023,-2.539999999999992,637630,749066,529449,219617,-208594
2016-04-24,157.422,158.07,155.98,2.0900000000000034,-1.6100000000000136,158.414,160.07,156.5,3.569999999999993,-1.8100000000000023,155.668,156.95,154.14,2.8100000000000023,-1.490000000000009,157.382,159.27,155.87,3.4000000000000057,-1.289999999999992,547371,656496,371188,285308,-163868
2016-05-01,153.794,156.34,150.15,6.189999999999998,-6.189999999999998,154.84,156.97,151.06,5.909999999999997,-5.699999999999989,151.15,153.91,147.26,6.650000000000006,-5.430000000000007,153.314,156.01,148.74,7.269999999999982,-4.939999999999998,861656,1548496,356282,1192214,148847
