Date,iShares MSCI Global Silver MinersEtf_Open_average,iShares MSCI Global Silver MinersEtf_Open_max,iShares MSCI Global Silver MinersEtf_Open_min,iShares MSCI Global Silver MinersEtf_Open_volatility,iShares MSCI Global Silver MinersEtf_Open_change,iShares MSCI Global Silver MinersEtf_High_average,iShares MSCI Global Silver MinersEtf_High_max,iShares MSCI Global Silver MinersEtf_High_min,iShares MSCI Global Silver MinersEtf_High_volatility,iShares MSCI Global Silver MinersEtf_High_change,iShares MSCI Global Silver MinersEtf_Low_average,iShares MSCI Global Silver MinersEtf_Low_max,iShares MSCI Global Silver MinersEtf_Low_min,iShares MSCI Global Silver MinersEtf_Low_volatility,iShares MSCI Global Silver MinersEtf_Low_change,iShares MSCI Global Silver MinersEtf_Close_average,iShares MSCI Global Silver MinersEtf_Close_max,iShares MSCI Global Silver MinersEtf_Close_min,iShares MSCI Global Silver MinersEtf_Close_volatility,iShares MSCI Global Silver MinersEtf_Close_change
2016-01-03,5.77,5.77,5.77,0.0,0.0,5.8,5.8,5.8,0.0,0.0,5.63,5.63,5.63,0.0,0.0,5.72,5.72,5.72,0.0,0.0
2016-01-10,5.19,5.19,5.19,0.0,0.0,5.22,5.22,5.22,0.0,0.0,5.0,5.0,5.0,0.0,0.0,5.04,5.04,5.04,0.0,0.0
2016-01-17,4.97,4.97,4.97,0.0,0.0,5.1,5.1,5.1,0.0,0.0,4.89,4.89,4.89,0.0,0.0,5.01,5.01,5.01,0.0,0.0
2016-01-24,5.2,5.2,5.2,0.0,0.0,5.4,5.4,5.4,0.0,0.0,5.2,5.2,5.2,0.0,0.0,5.4,5.4,5.4,0.0,0.0
2016-01-31,5.8,5.8,5.8,0.0,0.0,6.28,6.28,6.28,0.0,0.0,5.8,5.8,5.8,0.0,0.0,6.28,6.28,6.28,0.0,0.0
2016-02-07,6.83,6.83,6.83,0.0,0.0,7.0,7.0,7.0,0.0,0.0,6.68,6.68,6.68,0.0,0.0,6.96,6.96,6.96,0.0,0.0
2016-02-14,7.32,7.32,7.32,0.0,0.0,7.42,7.42,7.42,0.0,0.0,7.2,7.2,7.2,0.0,0.0,7.22,7.22,7.22,0.0,0.0
2016-02-21,7.4,7.4,7.4,0.0,0.0,7.4,7.4,7.4,0.0,0.0,7.2,7.2,7.2,0.0,0.0,7.24,7.24,7.24,0.0,0.0
2016-02-28,7.63,7.63,7.63,0.0,0.0,8.1,8.1,8.1,0.0,0.0,7.63,7.63,7.63,0.0,0.0,7.7,7.7,7.7,0.0,0.0
2016-03-06,7.95,7.95,7.95,0.0,0.0,8.09,8.09,8.09,0.0,0.0,7.94,7.94,7.94,0.0,0.0,8.0,8.0,8.0,0.0,0.0
2016-03-13,8.38,8.38,8.38,0.0,0.0,8.42,8.42,8.42,0.0,0.0,8.31,8.31,8.31,0.0,0.0,8.32,8.32,8.32,0.0,0.0
2016-03-20,8.25,8.25,8.25,0.0,0.0,8.25,8.25,8.25,0.0,0.0,8.02,8.02,8.02,0.0,0.0,8.08,8.08,8.08,0.0,0.0
2016-03-27,8.1,8.1,8.1,0.0,0.0,8.31,8.31,8.31,0.0,0.0,7.9,7.9,7.9,0.0,0.0,8.31,8.31,8.31,0.0,0.0
2016-04-03,8.54,8.54,8.54,0.0,0.0,8.74,8.74,8.74,0.0,0.0,8.54,8.54,8.54,0.0,0.0,8.65,8.65,8.65,0.0,0.0
2016-04-10,9.28,9.28,9.28,0.0,0.0,9.63,9.63,9.63,0.0,0.0,9.25,9.25,9.25,0.0,0.0,9.6,9.6,9.6,0.0,0.0
2016-04-17,10.68,10.68,10.68,0.0,0.0,11.0,11.0,11.0,0.0,0.0,10.18,10.18,10.18,0.0,0.0,10.44,10.44,10.44,0.0,0.0
2016-04-24,11.55,11.55,11.55,0.0,0.0,11.9,11.9,11.9,0.0,0.0,11.55,11.55,11.55,0.0,0.0,11.67,11.67,11.67,0.0,0.0
2016-05-01,11.07,11.07,11.07,0.0,0.0,11.35,11.35,11.35,0.0,0.0,10.91,10.91,10.91,0.0,0.0,11.24,11.24,11.24,0.0,0.0
2016-05-08,11.0,11.0,11.0,0.0,0.0,11.23,11.23,11.23,0.0,0.0,10.99,10.99,10.99,0.0,0.0,11.15,11.15,11.15,0.0,0.0
2016-05-15,11.05,11.05,11.05,0.0,0.0,11.08,11.08,11.08,0.0,0.0,10.69,10.69,10.69,0.0,0.0,10.92,10.92,10.92,0.0,0.0
2016-05-22,10.34,10.34,10.34,0.0,0.0,10.49,10.49,10.49,0.0,0.0,10.09,10.09,10.09,0.0,0.0,10.2,10.2,10.2,0.0,0.0
2016-05-29,10.83,10.83,10.83,0.0,0.0,11.32,11.32,11.32,0.0,0.0,10.83,10.83,10.83,0.0,0.0,11.32,11.32,11.32,0.0,0.0
2016-06-05,12.01,12.01,12.01,0.0,0.0,12.15,12.15,12.15,0.0,0.0,11.68,11.68,11.68,0.0,0.0,11.77,11.77,11.77,0.0,0.0
2016-06-12,11.85,11.85,11.85,0.0,0.0,11.95,11.95,11.95,0.0,0.0,11.65,11.65,11.65,0.0,0.0,11.75,11.75,11.75,0.0,0.0
2016-06-19,12.53,12.53,12.53,0.0,0.0,12.55,12.55,12.55,0.0,0.0,12.09,12.09,12.09,0.0,0.0,12.18,12.18,12.18,0.0,0.0
