Date,iShares MSCI EAFE Small-Cap_etf_Open_average,iShares MSCI EAFE Small-Cap_etf_Open_max,iShares MSCI EAFE Small-Cap_etf_Open_min,iShares MSCI EAFE Small-Cap_etf_Open_volatility,iShares MSCI EAFE Small-Cap_etf_Open_change,iShares MSCI EAFE Small-Cap_etf_High_average,iShares MSCI EAFE Small-Cap_etf_High_max,iShares MSCI EAFE Small-Cap_etf_High_min,iShares MSCI EAFE Small-Cap_etf_High_volatility,iShares MSCI EAFE Small-Cap_etf_High_change,iShares MSCI EAFE Small-Cap_etf_Low_average,iShares MSCI EAFE Small-Cap_etf_Low_max,iShares MSCI EAFE Small-Cap_etf_Low_min,iShares MSCI EAFE Small-Cap_etf_Low_volatility,iShares MSCI EAFE Small-Cap_etf_Low_change,iShares MSCI EAFE Small-Cap_etf_Close_average,iShares MSCI EAFE Small-Cap_etf_Close_max,iShares MSCI EAFE Small-Cap_etf_Close_min,iShares MSCI EAFE Small-Cap_etf_Close_volatility,iShares MSCI EAFE Small-Cap_etf_Close_change
2016-01-03,47.86,47.86,47.86,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.08,47.08,47.08,0.0,0.0,47.14,47.14,47.14,0.0,0.0
2016-01-10,45.37,45.37,45.37,0.0,0.0,45.64,45.64,45.64,0.0,0.0,45.05,45.05,45.05,0.0,0.0,45.32,45.32,45.32,0.0,0.0
2016-01-17,45.37,45.37,45.37,0.0,0.0,45.79,45.79,45.79,0.0,0.0,45.34,45.34,45.34,0.0,0.0,45.71,45.71,45.71,0.0,0.0
2016-01-24,46.31,46.31,46.31,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.18,46.18,46.18,0.0,0.0,46.83,46.83,46.83,0.0,0.0
2016-01-31,46.27,46.27,46.27,0.0,0.0,46.27,46.27,46.27,0.0,0.0,45.32,45.32,45.32,0.0,0.0,45.61,45.61,45.61,0.0,0.0
2016-02-07,43.72,43.72,43.72,0.0,0.0,44.23,44.23,44.23,0.0,0.0,43.53,43.53,43.53,0.0,0.0,44.19,44.19,44.19,0.0,0.0
2016-02-14,45.68,45.68,45.68,0.0,0.0,45.98,45.98,45.98,0.0,0.0,45.53,45.53,45.53,0.0,0.0,45.98,45.98,45.98,0.0,0.0
2016-02-21,46.51,46.51,46.51,0.0,0.0,46.62,46.62,46.62,0.0,0.0,46.09,46.09,46.09,0.0,0.0,46.12,46.12,46.12,0.0,0.0
2016-02-28,48.11,48.11,48.11,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.01,48.01,48.01,0.0,0.0,48.15,48.15,48.15,0.0,0.0
2016-03-06,48.49,48.49,48.49,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.8,48.8,48.8,0.0,0.0
