Date,iShares Currency Hedged MSCI EAFE Small Cap_etf_Open_average,iShares Currency Hedged MSCI EAFE Small Cap_etf_Open_max,iShares Currency Hedged MSCI EAFE Small Cap_etf_Open_min,iShares Currency Hedged MSCI EAFE Small Cap_etf_Open_volatility,iShares Currency Hedged MSCI EAFE Small Cap_etf_Open_change,iShares Currency Hedged MSCI EAFE Small Cap_etf_High_average,iShares Currency Hedged MSCI EAFE Small Cap_etf_High_max,iShares Currency Hedged MSCI EAFE Small Cap_etf_High_min,iShares Currency Hedged MSCI EAFE Small Cap_etf_High_volatility,iShares Currency Hedged MSCI EAFE Small Cap_etf_High_change,iShares Currency Hedged MSCI EAFE Small Cap_etf_Low_average,iShares Currency Hedged MSCI EAFE Small Cap_etf_Low_max,iShares Currency Hedged MSCI EAFE Small Cap_etf_Low_min,iShares Currency Hedged MSCI EAFE Small Cap_etf_Low_volatility,iShares Currency Hedged MSCI EAFE Small Cap_etf_Low_change,iShares Currency Hedged MSCI EAFE Small Cap_etf_Close_average,iShares Currency Hedged MSCI EAFE Small Cap_etf_Close_max,iShares Currency Hedged MSCI EAFE Small Cap_etf_Close_min,iShares Currency Hedged MSCI EAFE Small Cap_etf_Close_volatility,iShares Currency Hedged MSCI EAFE Small Cap_etf_Close_change
2016-01-03,23.15,23.15,23.15,0.0,0.0,23.15,23.15,23.15,0.0,0.0,23.15,23.15,23.15,0.0,0.0,23.15,23.15,23.15,0.0,0.0
2016-01-10,22.21,22.21,22.21,0.0,0.0,22.21,22.21,22.21,0.0,0.0,22.21,22.21,22.21,0.0,0.0,22.21,22.21,22.21,0.0,0.0
2016-01-17,22.5,22.5,22.5,0.0,0.0,22.53,22.53,22.53,0.0,0.0,22.48,22.48,22.48,0.0,0.0,22.53,22.53,22.53,0.0,0.0
2016-01-24,23.01,23.01,23.01,0.0,0.0,23.25,23.25,23.25,0.0,0.0,23.01,23.01,23.01,0.0,0.0,23.25,23.25,23.25,0.0,0.0
2016-01-31,22.42,22.42,22.42,0.0,0.0,22.42,22.42,22.42,0.0,0.0,22.42,22.42,22.42,0.0,0.0,22.42,22.42,22.42,0.0,0.0
2016-02-07,20.76,20.76,20.76,0.0,0.0,20.76,20.76,20.76,0.0,0.0,20.76,20.76,20.76,0.0,0.0,20.76,20.76,20.76,0.0,0.0
2016-02-14,22.01,22.01,22.01,0.0,0.0,22.13,22.13,22.13,0.0,0.0,22.01,22.01,22.01,0.0,0.0,22.08,22.08,22.08,0.0,0.0
2016-02-21,22.64,22.64,22.64,0.0,0.0,22.64,22.64,22.64,0.0,0.0,22.64,22.64,22.64,0.0,0.0,22.64,22.64,22.64,0.0,0.0
2016-02-28,23.32,23.32,23.32,0.0,0.0,23.32,23.32,23.32,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.3,23.3,23.3,0.0,0.0
2016-03-06,22.87,22.87,22.87,0.0,0.0,22.87,22.87,22.87,0.0,0.0,22.83,22.83,22.83,0.0,0.0,22.83,22.83,22.83,0.0,0.0
2016-03-13,23.4,23.4,23.4,0.0,0.0,23.42,23.42,23.42,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.42,23.42,23.42,0.0,0.0
