Date,iShares Asia 50_etf_Open_average,iShares Asia 50_etf_Open_max,iShares Asia 50_etf_Open_min,iShares Asia 50_etf_Open_volatility,iShares Asia 50_etf_Open_change,iShares Asia 50_etf_High_average,iShares Asia 50_etf_High_max,iShares Asia 50_etf_High_min,iShares Asia 50_etf_High_volatility,iShares Asia 50_etf_High_change,iShares Asia 50_etf_Low_average,iShares Asia 50_etf_Low_max,iShares Asia 50_etf_Low_min,iShares Asia 50_etf_Low_volatility,iShares Asia 50_etf_Low_change,iShares Asia 50_etf_Close_average,iShares Asia 50_etf_Close_max,iShares Asia 50_etf_Close_min,iShares Asia 50_etf_Close_volatility,iShares Asia 50_etf_Close_change
2016-01-03,39.44,39.44,39.44,0.0,0.0,39.44,39.44,39.44,0.0,0.0,38.92,38.92,38.92,0.0,0.0,38.94,38.94,38.94,0.0,0.0
2016-01-10,37.44,37.44,37.44,0.0,0.0,37.64,37.64,37.64,0.0,0.0,36.95,36.95,36.95,0.0,0.0,37.4,37.4,37.4,0.0,0.0
2016-01-17,38.27,38.27,38.27,0.0,0.0,38.38,38.38,38.38,0.0,0.0,38.16,38.16,38.16,0.0,0.0,38.29,38.29,38.29,0.0,0.0
2016-01-24,38.67,38.67,38.67,0.0,0.0,39.03,39.03,39.03,0.0,0.0,38.66,38.66,38.66,0.0,0.0,38.97,38.97,38.97,0.0,0.0
2016-01-31,38.61,38.61,38.61,0.0,0.0,38.71,38.71,38.71,0.0,0.0,38.05,38.05,38.05,0.0,0.0,38.18,38.18,38.18,0.0,0.0
2016-02-07,37.32,37.32,37.32,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.27,37.27,37.27,0.0,0.0,37.69,37.69,37.69,0.0,0.0
2016-02-14,38.77,38.77,38.77,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.74,38.74,38.74,0.0,0.0,38.87,38.87,38.87,0.0,0.0
2016-02-21,39.39,39.39,39.39,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.02,39.02,39.02,0.0,0.0,39.02,39.02,39.02,0.0,0.0
2016-02-28,41.14,41.14,41.14,0.0,0.0,41.73,41.73,41.73,0.0,0.0,41.14,41.14,41.14,0.0,0.0,41.66,41.66,41.66,0.0,0.0
2016-03-06,41.65,41.65,41.65,0.0,0.0,42.04,42.04,42.04,0.0,0.0,41.65,41.65,41.65,0.0,0.0,42.02,42.02,42.02,0.0,0.0
2016-03-13,43.08,43.08,43.08,0.0,0.0,43.26,43.26,43.26,0.0,0.0,43.08,43.08,43.08,0.0,0.0,43.19,43.19,43.19,0.0,0.0
2016-03-20,42.17,42.17,42.17,0.0,0.0,42.31,42.31,42.31,0.0,0.0,42.07,42.07,42.07,0.0,0.0,42.31,42.31,42.31,0.0,0.0
2016-03-27,42.42,42.42,42.42,0.0,0.0,42.96,42.96,42.96,0.0,0.0,42.3,42.3,42.3,0.0,0.0,42.96,42.96,42.96,0.0,0.0
2016-04-03,42.42,42.42,42.42,0.0,0.0,42.57,42.57,42.57,0.0,0.0,42.19,42.19,42.19,0.0,0.0,42.2,42.2,42.2,0.0,0.0
2016-04-10,43.82,43.82,43.82,0.0,0.0,43.94,43.94,43.94,0.0,0.0,43.76,43.76,43.76,0.0,0.0,43.76,43.76,43.76,0.0,0.0
2016-04-17,43.97,43.97,43.97,0.0,0.0,44.04,44.04,44.04,0.0,0.0,43.77,43.77,43.77,0.0,0.0,43.91,43.91,43.91,0.0,0.0
2016-04-24,43.07,43.07,43.07,0.0,0.0,43.07,43.07,43.07,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.89,42.89,42.89,0.0,0.0
2016-05-01,41.4,41.4,41.4,0.0,0.0,41.65,41.65,41.65,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.55,41.55,41.55,0.0,0.0
2016-05-08,40.8,40.8,40.8,0.0,0.0,40.8,40.8,40.8,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.46,40.46,40.46,0.0,0.0
