Date,Vanguard Total World StockEtf_Open_average,Vanguard Total World StockEtf_Open_max,Vanguard Total World StockEtf_Open_min,Vanguard Total World StockEtf_Open_volatility,Vanguard Total World StockEtf_Open_change,Vanguard Total World StockEtf_High_average,Vanguard Total World StockEtf_High_max,Vanguard Total World StockEtf_High_min,Vanguard Total World StockEtf_High_volatility,Vanguard Total World StockEtf_High_change,Vanguard Total World StockEtf_Low_average,Vanguard Total World StockEtf_Low_max,Vanguard Total World StockEtf_Low_min,Vanguard Total World StockEtf_Low_volatility,Vanguard Total World StockEtf_Low_change,Vanguard Total World StockEtf_Close_average,Vanguard Total World StockEtf_Close_max,Vanguard Total World StockEtf_Close_min,Vanguard Total World StockEtf_Close_volatility,Vanguard Total World StockEtf_Close_change
2016-01-03,54.95,54.95,54.95,0.0,0.0,54.95,54.95,54.95,0.0,0.0,53.78,53.78,53.78,0.0,0.0,53.88,53.88,53.88,0.0,0.0
2016-01-10,52.3,52.3,52.3,0.0,0.0,52.67,52.67,52.67,0.0,0.0,51.83,51.83,51.83,0.0,0.0,52.35,52.35,52.35,0.0,0.0
2016-01-17,52.95,52.95,52.95,0.0,0.0,53.32,53.32,53.32,0.0,0.0,52.84,52.84,52.84,0.0,0.0,53.27,53.27,53.27,0.0,0.0
2016-01-24,53.32,53.32,53.32,0.0,0.0,54.24,54.24,54.24,0.0,0.0,53.31,53.31,53.31,0.0,0.0,54.24,54.24,54.24,0.0,0.0
2016-01-31,53.38,53.38,53.38,0.0,0.0,53.52,53.52,53.52,0.0,0.0,52.52,52.52,52.52,0.0,0.0,52.69,52.69,52.69,0.0,0.0
2016-02-07,51.1,51.1,51.1,0.0,0.0,51.75,51.75,51.75,0.0,0.0,50.96,50.96,50.96,0.0,0.0,51.71,51.71,51.71,0.0,0.0
2016-02-14,53.07,53.07,53.07,0.0,0.0,53.42,53.42,53.42,0.0,0.0,52.94,52.94,52.94,0.0,0.0,53.39,53.39,53.39,0.0,0.0
2016-02-21,54.26,54.26,54.26,0.0,0.0,54.45,54.45,54.45,0.0,0.0,53.89,53.89,53.89,0.0,0.0,53.99,53.99,53.99,0.0,0.0
2016-02-28,55.98,55.98,55.98,0.0,0.0,56.42,56.42,56.42,0.0,0.0,55.84,55.84,55.84,0.0,0.0,56.2,56.2,56.2,0.0,0.0
2016-03-06,56.39,56.39,56.39,0.0,0.0,56.91,56.91,56.91,0.0,0.0,56.37,56.37,56.37,0.0,0.0,56.91,56.91,56.91,0.0,0.0
2016-03-13,57.35,57.35,57.35,0.0,0.0,57.48,57.48,57.48,0.0,0.0,57.21,57.21,57.21,0.0,0.0,57.34,57.34,57.34,0.0,0.0
2016-03-20,56.25,56.25,56.25,0.0,0.0,56.55,56.55,56.55,0.0,0.0,56.13,56.13,56.13,0.0,0.0,56.55,56.55,56.55,0.0,0.0
2016-03-27,57.0,57.0,57.0,0.0,0.0,57.61,57.61,57.61,0.0,0.0,56.79,56.79,56.79,0.0,0.0,57.59,57.59,57.59,0.0,0.0
2016-04-03,57.11,57.11,57.11,0.0,0.0,57.27,57.27,57.27,0.0,0.0,56.78,56.78,56.78,0.0,0.0,56.94,56.94,56.94,0.0,0.0
2016-04-10,58.39,58.39,58.39,0.0,0.0,58.44,58.44,58.44,0.0,0.0,58.27,58.27,58.27,0.0,0.0,58.34,58.34,58.34,0.0,0.0
2016-04-17,59.0,59.0,59.0,0.0,0.0,59.12,59.12,59.12,0.0,0.0,58.77,58.77,58.77,0.0,0.0,58.99,58.99,58.99,0.0,0.0
2016-04-24,58.5,58.5,58.5,0.0,0.0,58.57,58.57,58.57,0.0,0.0,57.98,57.98,57.98,0.0,0.0,58.27,58.27,58.27,0.0,0.0
2016-05-01,57.18,57.18,57.18,0.0,0.0,57.62,57.62,57.62,0.0,0.0,57.12,57.12,57.12,0.0,0.0,57.6,57.6,57.6,0.0,0.0
2016-05-08,57.45,57.45,57.45,0.0,0.0,57.63,57.63,57.63,0.0,0.0,57.03,57.03,57.03,0.0,0.0,57.14,57.14,57.14,0.0,0.0
2016-05-15,57.22,57.22,57.22,0.0,0.0,57.53,57.53,57.53,0.0,0.0,57.22,57.22,57.22,0.0,0.0,57.44,57.44,57.44,0.0,0.0
2016-05-22,58.52,58.52,58.52,0.0,0.0,58.72,58.72,58.72,0.0,0.0,58.52,58.52,58.52,0.0,0.0,58.69,58.69,58.69,0.0,0.0
2016-05-29,58.91,58.91,58.91,0.0,0.0,59.12,59.12,59.12,0.0,0.0,58.62,58.62,58.62,0.0,0.0,59.07,59.07,59.07,0.0,0.0
2016-06-05,58.89,58.89,58.89,0.0,0.0,58.89,58.89,58.89,0.0,0.0,58.32,58.32,58.32,0.0,0.0,58.44,58.44,58.44,0.0,0.0
2016-06-12,57.39,57.39,57.39,0.0,0.0,57.49,57.49,57.49,0.0,0.0,57.02,57.02,57.02,0.0,0.0,57.38,57.38,57.38,0.0,0.0
2016-06-19,56.47,56.47,56.47,0.0,0.0,57.43,57.43,57.43,0.0,0.0,56.26,56.26,56.26,0.0,0.0,56.33,56.33,56.33,0.0,0.0
2016-06-26,58.12,58.12,58.12,0.0,0.0,58.45,58.45,58.45,0.0,0.0,58.12,58.12,58.12,0.0,0.0,58.34,58.34,58.34,0.0,0.0
2016-07-03,58.0,58.0,58.0,0.0,0.0,58.5,58.5,58.5,0.0,0.0,58.0,58.0,58.0,0.0,0.0,58.45,58.45,58.45,0.0,0.0
2016-07-10,59.98,59.98,59.98,0.0,0.0,59.99,59.99,59.99,0.0,0.0,59.68,59.68,59.68,0.0,0.0,59.81,59.81,59.81,0.0,0.0
2016-07-17,59.89,59.89,59.89,0.0,0.0,60.0,60.0,60.0,0.0,0.0,59.75,59.75,59.75,0.0,0.0,59.99,59.99,59.99,0.0,0.0
2016-07-24,60.19,60.19,60.19,0.0,0.0,60.55,60.55,60.55,0.0,0.0,60.11,60.11,60.11,0.0,0.0,60.48,60.48,60.48,0.0,0.0
2016-07-31,60.26,60.26,60.26,0.0,0.0,60.59,60.59,60.59,0.0,0.0,60.22,60.22,60.22,0.0,0.0,60.57,60.57,60.57,0.0,0.0
2016-08-07,61.25,61.25,61.25,0.0,0.0,61.31,61.31,61.31,0.0,0.0,61.05,61.05,61.05,0.0,0.0,61.18,61.18,61.18,0.0,0.0
2016-08-14,61.07,61.07,61.07,0.0,0.0,61.26,61.26,61.26,0.0,0.0,60.95,60.95,60.95,0.0,0.0,61.24,61.24,61.24,0.0,0.0
2016-08-21,61.0,61.0,61.0,0.0,0.0,61.47,61.47,61.47,0.0,0.0,60.45,60.45,60.45,0.0,0.0,60.7,60.7,60.7,0.0,0.0
2016-08-28,61.27,61.27,61.27,0.0,0.0,61.52,61.52,61.52,0.0,0.0,61.26,61.26,61.26,0.0,0.0,61.45,61.45,61.45,0.0,0.0
2016-09-04,61.19,61.19,61.19,0.0,0.0,61.19,61.19,61.19,0.0,0.0,60.16,60.16,60.16,0.0,0.0,60.16,60.16,60.16,0.0,0.0
2016-09-11,59.74,59.74,59.74,0.0,0.0,59.74,59.74,59.74,0.0,0.0,59.42,59.42,59.42,0.0,0.0,59.6,59.6,59.6,0.0,0.0
2016-09-18,61.04,61.04,61.04,0.0,0.0,61.06,61.06,61.06,0.0,0.0,60.79,60.79,60.79,0.0,0.0,60.82,60.82,60.82,0.0,0.0
2016-09-25,60.53,60.53,60.53,0.0,0.0,61.02,61.02,61.02,0.0,0.0,60.49,60.49,60.49,0.0,0.0,60.85,60.85,60.85,0.0,0.0
2016-10-02,60.7,60.7,60.7,0.0,0.0,60.77,60.77,60.77,0.0,0.0,60.14,60.14,60.14,0.0,0.0,60.48,60.48,60.48,0.0,0.0
2016-10-09,60.02,60.02,60.02,0.0,0.0,60.11,60.11,60.11,0.0,0.0,59.64,59.64,59.64,0.0,0.0,59.65,59.65,59.65,0.0,0.0
2016-10-16,59.91,59.91,59.91,0.0,0.0,60.15,60.15,60.15,0.0,0.0,59.78,59.78,59.78,0.0,0.0,60.09,60.09,60.09,0.0,0.0
2016-10-23,59.68,59.68,59.68,0.0,0.0,59.88,59.88,59.88,0.0,0.0,59.42,59.42,59.42,0.0,0.0,59.58,59.58,59.58,0.0,0.0
2016-10-30,58.58,58.58,58.58,0.0,0.0,58.78,58.78,58.78,0.0,0.0,58.4,58.4,58.4,0.0,0.0,58.41,58.41,58.41,0.0,0.0
2016-11-06,59.51,59.51,59.51,0.0,0.0,59.79,59.79,59.79,0.0,0.0,59.16,59.16,59.16,0.0,0.0,59.46,59.46,59.46,0.0,0.0
2016-11-13,59.88,59.88,59.88,0.0,0.0,59.99,59.99,59.99,0.0,0.0,59.64,59.64,59.64,0.0,0.0,59.71,59.71,59.71,0.0,0.0
2016-11-20,60.43,60.43,60.43,0.0,0.0,60.57,60.57,60.57,0.0,0.0,60.43,60.43,60.43,0.0,0.0,60.57,60.57,60.57,0.0,0.0
2016-11-27,60.14,60.14,60.14,0.0,0.0,60.35,60.35,60.35,0.0,0.0,60.04,60.04,60.04,0.0,0.0,60.22,60.22,60.22,0.0,0.0
2016-12-04,62.0,62.0,62.0,0.0,0.0,62.15,62.15,62.15,0.0,0.0,61.95,61.95,61.95,0.0,0.0,62.15,62.15,62.15,0.0,0.0
