Date,ProShares UltraPro Short QQQ_etf_Open_average,ProShares UltraPro Short QQQ_etf_Open_max,ProShares UltraPro Short QQQ_etf_Open_min,ProShares UltraPro Short QQQ_etf_Open_volatility,ProShares UltraPro Short QQQ_etf_Open_change,ProShares UltraPro Short QQQ_etf_High_average,ProShares UltraPro Short QQQ_etf_High_max,ProShares UltraPro Short QQQ_etf_High_min,ProShares UltraPro Short QQQ_etf_High_volatility,ProShares UltraPro Short QQQ_etf_High_change,ProShares UltraPro Short QQQ_etf_Low_average,ProShares UltraPro Short QQQ_etf_Low_max,ProShares UltraPro Short QQQ_etf_Low_min,ProShares UltraPro Short QQQ_etf_Low_volatility,ProShares UltraPro Short QQQ_etf_Low_change,ProShares UltraPro Short QQQ_etf_Close_average,ProShares UltraPro Short QQQ_etf_Close_max,ProShares UltraPro Short QQQ_etf_Close_min,ProShares UltraPro Short QQQ_etf_Close_volatility,ProShares UltraPro Short QQQ_etf_Close_change
2016-01-03,352.32,352.32,352.32,0.0,0.0,370.0,370.0,370.0,0.0,0.0,345.28,345.28,345.28,0.0,0.0,368.32,368.32,368.32,0.0,0.0
2016-01-10,400.32,400.32,400.32,0.0,0.0,412.0,412.0,412.0,0.0,0.0,386.62,386.62,386.62,0.0,0.0,397.92,397.92,397.92,0.0,0.0
2016-01-17,374.4,374.4,374.4,0.0,0.0,378.24,378.24,378.24,0.0,0.0,363.36,363.36,363.36,0.0,0.0,363.52,363.52,363.52,0.0,0.0
2016-01-24,380.0,380.0,380.0,0.0,0.0,381.2,381.2,381.2,0.0,0.0,356.16,356.16,356.16,0.0,0.0,356.48,356.48,356.48,0.0,0.0
2016-01-31,386.08,386.08,386.08,0.0,0.0,426.56,426.56,426.56,0.0,0.0,385.92,385.92,385.92,0.0,0.0,421.76,421.76,421.76,0.0,0.0
2016-02-07,427.2,427.2,427.2,0.0,0.0,439.84,439.84,439.84,0.0,0.0,420.96,420.96,420.96,0.0,0.0,422.24,422.24,422.24,0.0,0.0
2016-02-14,384.16,384.16,384.16,0.0,0.0,387.62,387.62,387.62,0.0,0.0,372.73,372.73,372.73,0.0,0.0,375.68,375.68,375.68,0.0,0.0
2016-02-21,22.21,22.21,22.21,0.0,0.0,22.21,22.21,22.21,0.0,0.0,22.21,22.21,22.21,0.0,0.0,22.21,22.21,22.21,0.0,0.0
2016-02-28,330.08,330.08,330.08,0.0,0.0,337.28,337.28,337.28,0.0,0.0,324.48,324.48,324.48,0.0,0.0,331.04,331.04,331.04,0.0,0.0
2016-03-06,329.44,329.44,329.44,0.0,0.0,332.42,332.42,332.42,0.0,0.0,322.4,322.4,322.4,0.0,0.0,322.56,322.56,322.56,0.0,0.0
