Date,SPDR S&P Dividend_etf_Open_average,SPDR S&P Dividend_etf_Open_max,SPDR S&P Dividend_etf_Open_min,SPDR S&P Dividend_etf_Open_volatility,SPDR S&P Dividend_etf_Open_change,SPDR S&P Dividend_etf_High_average,SPDR S&P Dividend_etf_High_max,SPDR S&P Dividend_etf_High_min,SPDR S&P Dividend_etf_High_volatility,SPDR S&P Dividend_etf_High_change,SPDR S&P Dividend_etf_Low_average,SPDR S&P Dividend_etf_Low_max,SPDR S&P Dividend_etf_Low_min,SPDR S&P Dividend_etf_Low_volatility,SPDR S&P Dividend_etf_Low_change,SPDR S&P Dividend_etf_Close_average,SPDR S&P Dividend_etf_Close_max,SPDR S&P Dividend_etf_Close_min,SPDR S&P Dividend_etf_Close_volatility,SPDR S&P Dividend_etf_Close_change
2016-01-03,70.95,70.95,70.95,0.0,0.0,71.07,71.07,71.07,0.0,0.0,69.83,69.83,69.83,0.0,0.0,69.9,69.9,69.9,0.0,0.0
2016-01-10,68.63,68.63,68.63,0.0,0.0,69.14,69.14,69.14,0.0,0.0,68.06,68.06,68.06,0.0,0.0,68.99,68.99,68.99,0.0,0.0
2016-01-17,69.49,69.49,69.49,0.0,0.0,70.0,70.0,70.0,0.0,0.0,69.37,69.37,69.37,0.0,0.0,69.93,69.93,69.93,0.0,0.0
2016-01-24,70.72,70.72,70.72,0.0,0.0,72.17,72.17,72.17,0.0,0.0,70.72,70.72,70.72,0.0,0.0,72.17,72.17,72.17,0.0,0.0
2016-01-31,72.87,72.87,72.87,0.0,0.0,73.0,73.0,73.0,0.0,0.0,72.32,72.32,72.32,0.0,0.0,72.45,72.45,72.45,0.0,0.0
2016-02-07,71.53,71.53,71.53,0.0,0.0,72.24,72.24,72.24,0.0,0.0,71.34,71.34,71.34,0.0,0.0,72.22,72.22,72.22,0.0,0.0
2016-02-14,73.78,73.78,73.78,0.0,0.0,73.98,73.98,73.98,0.0,0.0,73.49,73.49,73.49,0.0,0.0,73.95,73.95,73.95,0.0,0.0
2016-02-21,75.39,75.39,75.39,0.0,0.0,75.41,75.41,75.41,0.0,0.0,74.74,74.74,74.74,0.0,0.0,74.9,74.9,74.9,0.0,0.0
2016-02-28,76.68,76.68,76.68,0.0,0.0,77.31,77.31,77.31,0.0,0.0,76.41,76.41,76.41,0.0,0.0,77.16,77.16,77.16,0.0,0.0
2016-03-06,77.71,77.71,77.71,0.0,0.0,78.25,78.25,78.25,0.0,0.0,77.71,77.71,77.71,0.0,0.0,78.23,78.23,78.23,0.0,0.0
2016-03-13,79.31,79.31,79.31,0.0,0.0,79.52,79.52,79.52,0.0,0.0,79.07,79.07,79.07,0.0,0.0,79.25,79.25,79.25,0.0,0.0
2016-03-20,78.43,78.43,78.43,0.0,0.0,78.86,78.86,78.86,0.0,0.0,78.27,78.27,78.27,0.0,0.0,78.86,78.86,78.86,0.0,0.0
2016-03-27,79.51,79.51,79.51,0.0,0.0,80.4,80.4,80.4,0.0,0.0,79.34,79.34,79.34,0.0,0.0,80.37,80.37,80.37,0.0,0.0
2016-04-03,79.42,79.42,79.42,0.0,0.0,79.76,79.76,79.76,0.0,0.0,79.21,79.21,79.21,0.0,0.0,79.41,79.41,79.41,0.0,0.0
2016-04-10,80.66,80.66,80.66,0.0,0.0,80.97,80.97,80.97,0.0,0.0,80.64,80.64,80.64,0.0,0.0,80.94,80.94,80.94,0.0,0.0
2016-04-17,80.39,80.39,80.39,0.0,0.0,80.87,80.87,80.87,0.0,0.0,80.39,80.39,80.39,0.0,0.0,80.8,80.8,80.8,0.0,0.0
2016-04-24,80.68,80.68,80.68,0.0,0.0,80.83,80.83,80.83,0.0,0.0,80.23,80.23,80.23,0.0,0.0,80.69,80.69,80.69,0.0,0.0
2016-05-01,80.41,80.41,80.41,0.0,0.0,81.0,81.0,81.0,0.0,0.0,80.25,80.25,80.25,0.0,0.0,80.97,80.97,80.97,0.0,0.0
2016-05-08,81.53,81.53,81.53,0.0,0.0,81.53,81.53,81.53,0.0,0.0,80.58,80.58,80.58,0.0,0.0,80.79,80.79,80.79,0.0,0.0
2016-05-15,80.02,80.02,80.02,0.0,0.0,80.31,80.31,80.31,0.0,0.0,79.93,79.93,79.93,0.0,0.0,80.16,80.16,80.16,0.0,0.0
2016-05-22,81.67,81.67,81.67,0.0,0.0,81.93,81.93,81.93,0.0,0.0,81.65,81.65,81.65,0.0,0.0,81.93,81.93,81.93,0.0,0.0
