Date,Global X Yieldco_etf_Open_average,Global X Yieldco_etf_Open_max,Global X Yieldco_etf_Open_min,Global X Yieldco_etf_Open_volatility,Global X Yieldco_etf_Open_change,Global X Yieldco_etf_High_average,Global X Yieldco_etf_High_max,Global X Yieldco_etf_High_min,Global X Yieldco_etf_High_volatility,Global X Yieldco_etf_High_change,Global X Yieldco_etf_Low_average,Global X Yieldco_etf_Low_max,Global X Yieldco_etf_Low_min,Global X Yieldco_etf_Low_volatility,Global X Yieldco_etf_Low_change,Global X Yieldco_etf_Close_average,Global X Yieldco_etf_Close_max,Global X Yieldco_etf_Close_min,Global X Yieldco_etf_Close_volatility,Global X Yieldco_etf_Close_change
2016-01-03,10.06,10.06,10.06,0.0,0.0,10.06,10.06,10.06,0.0,0.0,10.06,10.06,10.06,0.0,0.0,10.06,10.06,10.06,0.0,0.0
2016-01-10,9.56,9.56,9.56,0.0,0.0,9.56,9.56,9.56,0.0,0.0,9.17,9.17,9.17,0.0,0.0,9.35,9.35,9.35,0.0,0.0
2016-01-17,9.69,9.69,9.69,0.0,0.0,9.7,9.7,9.7,0.0,0.0,9.57,9.57,9.57,0.0,0.0,9.57,9.57,9.57,0.0,0.0
2016-01-24,10.04,10.04,10.04,0.0,0.0,10.17,10.17,10.17,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.09,10.09,10.09,0.0,0.0
2016-01-31,10.07,10.07,10.07,0.0,0.0,10.12,10.12,10.12,0.0,0.0,9.87,9.87,9.87,0.0,0.0,9.96,9.96,9.96,0.0,0.0
2016-02-07,9.12,9.12,9.12,0.0,0.0,9.19,9.19,9.19,0.0,0.0,9.09,9.09,9.09,0.0,0.0,9.19,9.19,9.19,0.0,0.0
2016-02-14,9.63,9.63,9.63,0.0,0.0,9.63,9.63,9.63,0.0,0.0,9.49,9.49,9.49,0.0,0.0,9.55,9.55,9.55,0.0,0.0
2016-02-21,9.53,9.53,9.53,0.0,0.0,9.66,9.66,9.66,0.0,0.0,9.53,9.53,9.53,0.0,0.0,9.64,9.64,9.64,0.0,0.0
2016-02-28,10.17,10.17,10.17,0.0,0.0,10.17,10.17,10.17,0.0,0.0,9.99,9.99,9.99,0.0,0.0,9.99,9.99,9.99,0.0,0.0
2016-03-06,10.56,10.56,10.56,0.0,0.0,10.6,10.6,10.6,0.0,0.0,10.49,10.49,10.49,0.0,0.0,10.6,10.6,10.6,0.0,0.0
