Date,KraneShares Bosera MSCI China A ShareEtf_Open_average,KraneShares Bosera MSCI China A ShareEtf_Open_max,KraneShares Bosera MSCI China A ShareEtf_Open_min,KraneShares Bosera MSCI China A ShareEtf_Open_volatility,KraneShares Bosera MSCI China A ShareEtf_Open_change,KraneShares Bosera MSCI China A ShareEtf_High_average,KraneShares Bosera MSCI China A ShareEtf_High_max,KraneShares Bosera MSCI China A ShareEtf_High_min,KraneShares Bosera MSCI China A ShareEtf_High_volatility,KraneShares Bosera MSCI China A ShareEtf_High_change,KraneShares Bosera MSCI China A ShareEtf_Low_average,KraneShares Bosera MSCI China A ShareEtf_Low_max,KraneShares Bosera MSCI China A ShareEtf_Low_min,KraneShares Bosera MSCI China A ShareEtf_Low_volatility,KraneShares Bosera MSCI China A ShareEtf_Low_change,KraneShares Bosera MSCI China A ShareEtf_Close_average,KraneShares Bosera MSCI China A ShareEtf_Close_max,KraneShares Bosera MSCI China A ShareEtf_Close_min,KraneShares Bosera MSCI China A ShareEtf_Close_volatility,KraneShares Bosera MSCI China A ShareEtf_Close_change
2016-01-03,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2016-01-10,28.22,28.22,28.22,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.33,28.33,28.33,0.0,0.0
2016-01-17,28.99,28.99,28.99,0.0,0.0,29.04,29.04,29.04,0.0,0.0,28.99,28.99,28.99,0.0,0.0,29.04,29.04,29.04,0.0,0.0
2016-01-24,27.14,27.14,27.14,0.0,0.0,27.44,27.44,27.44,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.43,27.43,27.43,0.0,0.0
2016-01-31,27.05,27.05,27.05,0.0,0.0,27.05,27.05,27.05,0.0,0.0,27.05,27.05,27.05,0.0,0.0,27.05,27.05,27.05,0.0,0.0
2016-02-07,26.34,26.34,26.34,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.53,26.53,26.53,0.0,0.0
2016-02-14,28.59,28.59,28.59,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.51,28.51,28.51,0.0,0.0
2016-02-21,27.66,27.66,27.66,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2016-02-28,28.88,28.88,28.88,0.0,0.0,29.08,29.08,29.08,0.0,0.0,28.88,28.88,28.88,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2016-03-06,28.05,28.05,28.05,0.0,0.0,28.36,28.36,28.36,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.25,28.25,28.25,0.0,0.0
