Date,iShares Currency Hedged MSCI SpainEtf_Open_average,iShares Currency Hedged MSCI SpainEtf_Open_max,iShares Currency Hedged MSCI SpainEtf_Open_min,iShares Currency Hedged MSCI SpainEtf_Open_volatility,iShares Currency Hedged MSCI SpainEtf_Open_change,iShares Currency Hedged MSCI SpainEtf_High_average,iShares Currency Hedged MSCI SpainEtf_High_max,iShares Currency Hedged MSCI SpainEtf_High_min,iShares Currency Hedged MSCI SpainEtf_High_volatility,iShares Currency Hedged MSCI SpainEtf_High_change,iShares Currency Hedged MSCI SpainEtf_Low_average,iShares Currency Hedged MSCI SpainEtf_Low_max,iShares Currency Hedged MSCI SpainEtf_Low_min,iShares Currency Hedged MSCI SpainEtf_Low_volatility,iShares Currency Hedged MSCI SpainEtf_Low_change,iShares Currency Hedged MSCI SpainEtf_Close_average,iShares Currency Hedged MSCI SpainEtf_Close_max,iShares Currency Hedged MSCI SpainEtf_Close_min,iShares Currency Hedged MSCI SpainEtf_Close_volatility,iShares Currency Hedged MSCI SpainEtf_Close_change
2016-01-03,19.31,19.31,19.31,0.0,0.0,19.31,19.31,19.31,0.0,0.0,19.09,19.09,19.09,0.0,0.0,19.09,19.09,19.09,0.0,0.0
2016-01-10,18.43,18.43,18.43,0.0,0.0,18.54,18.54,18.54,0.0,0.0,18.21,18.21,18.21,0.0,0.0,18.41,18.41,18.41,0.0,0.0
2016-01-17,18.8,18.8,18.8,0.0,0.0,18.93,18.93,18.93,0.0,0.0,18.73,18.73,18.73,0.0,0.0,18.93,18.93,18.93,0.0,0.0
2016-01-24,18.95,18.95,18.95,0.0,0.0,19.04,19.04,19.04,0.0,0.0,18.86,18.86,18.86,0.0,0.0,19.04,19.04,19.04,0.0,0.0
2016-01-31,18.47,18.47,18.47,0.0,0.0,18.54,18.54,18.54,0.0,0.0,18.33,18.33,18.33,0.0,0.0,18.34,18.34,18.34,0.0,0.0
2016-02-07,16.88,16.88,16.88,0.0,0.0,17.04,17.04,17.04,0.0,0.0,16.83,16.83,16.83,0.0,0.0,17.0,17.0,17.0,0.0,0.0
2016-02-14,17.54,17.54,17.54,0.0,0.0,17.59,17.59,17.59,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.59,17.59,17.59,0.0,0.0
2016-02-21,17.99,17.99,17.99,0.0,0.0,18.04,18.04,18.04,0.0,0.0,17.91,17.91,17.91,0.0,0.0,17.95,17.95,17.95,0.0,0.0
2016-02-28,19.04,19.04,19.04,0.0,0.0,19.09,19.09,19.09,0.0,0.0,18.96,18.96,18.96,0.0,0.0,19.0,19.0,19.0,0.0,0.0
2016-03-06,19.59,19.59,19.59,0.0,0.0,19.78,19.78,19.78,0.0,0.0,19.56,19.56,19.56,0.0,0.0,19.75,19.75,19.75,0.0,0.0
2016-03-13,19.61,19.61,19.61,0.0,0.0,19.65,19.65,19.65,0.0,0.0,19.58,19.58,19.58,0.0,0.0,19.63,19.63,19.63,0.0,0.0
2016-03-20,19.06,19.06,19.06,0.0,0.0,19.12,19.12,19.12,0.0,0.0,19.05,19.05,19.05,0.0,0.0,19.12,19.12,19.12,0.0,0.0
2016-03-27,18.51,18.51,18.51,0.0,0.0,18.66,18.66,18.66,0.0,0.0,18.49,18.49,18.49,0.0,0.0,18.66,18.66,18.66,0.0,0.0
2016-04-03,18.2,18.2,18.2,0.0,0.0,18.22,18.22,18.22,0.0,0.0,18.19,18.19,18.19,0.0,0.0,18.21,18.21,18.21,0.0,0.0
2016-04-10,19.28,19.28,19.28,0.0,0.0,19.29,19.29,19.29,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.29,19.29,19.29,0.0,0.0
2016-04-17,20.17,20.17,20.17,0.0,0.0,20.19,20.19,20.19,0.0,0.0,20.13,20.13,20.13,0.0,0.0,20.17,20.17,20.17,0.0,0.0
2016-04-24,19.93,19.93,19.93,0.0,0.0,19.99,19.99,19.99,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.83,19.83,19.83,0.0,0.0
2016-05-01,19.12,19.12,19.12,0.0,0.0,19.13,19.13,19.13,0.0,0.0,19.02,19.02,19.02,0.0,0.0,19.13,19.13,19.13,0.0,0.0
2016-05-08,19.08,19.08,19.08,0.0,0.0,19.08,19.08,19.08,0.0,0.0,18.92,18.92,18.92,0.0,0.0,18.92,18.92,18.92,0.0,0.0
