Date,iShares US Basic Materials_etf_Open_average,iShares US Basic Materials_etf_Open_max,iShares US Basic Materials_etf_Open_min,iShares US Basic Materials_etf_Open_volatility,iShares US Basic Materials_etf_Open_change,iShares US Basic Materials_etf_High_average,iShares US Basic Materials_etf_High_max,iShares US Basic Materials_etf_High_min,iShares US Basic Materials_etf_High_volatility,iShares US Basic Materials_etf_High_change,iShares US Basic Materials_etf_Low_average,iShares US Basic Materials_etf_Low_max,iShares US Basic Materials_etf_Low_min,iShares US Basic Materials_etf_Low_volatility,iShares US Basic Materials_etf_Low_change,iShares US Basic Materials_etf_Close_average,iShares US Basic Materials_etf_Close_max,iShares US Basic Materials_etf_Close_min,iShares US Basic Materials_etf_Close_volatility,iShares US Basic Materials_etf_Close_change
2016-01-03,65.97,65.97,65.97,0.0,0.0,66.11,66.11,66.11,0.0,0.0,64.73,64.73,64.73,0.0,0.0,64.85,64.85,64.85,0.0,0.0
2016-01-10,61.81,61.81,61.81,0.0,0.0,62.11,62.11,62.11,0.0,0.0,60.94,60.94,60.94,0.0,0.0,61.73,61.73,61.73,0.0,0.0
2016-01-17,62.25,62.25,62.25,0.0,0.0,63.11,63.11,63.11,0.0,0.0,61.65,61.65,61.65,0.0,0.0,62.19,62.19,62.19,0.0,0.0
2016-01-24,61.73,61.73,61.73,0.0,0.0,63.24,63.24,63.24,0.0,0.0,61.48,61.48,61.48,0.0,0.0,63.24,63.24,63.24,0.0,0.0
2016-01-31,66.27,66.27,66.27,0.0,0.0,66.78,66.78,66.78,0.0,0.0,65.7,65.7,65.7,0.0,0.0,65.85,65.85,65.85,0.0,0.0
2016-02-07,63.35,63.35,63.35,0.0,0.0,64.53,64.53,64.53,0.0,0.0,62.9,62.9,62.9,0.0,0.0,64.5,64.5,64.5,0.0,0.0
2016-02-14,66.35,66.35,66.35,0.0,0.0,66.5,66.5,66.5,0.0,0.0,65.91,65.91,65.91,0.0,0.0,66.09,66.09,66.09,0.0,0.0
2016-02-21,67.94,67.94,67.94,0.0,0.0,68.26,68.26,68.26,0.0,0.0,67.65,67.65,67.65,0.0,0.0,67.96,67.96,67.96,0.0,0.0
2016-02-28,69.53,69.53,69.53,0.0,0.0,71.13,71.13,71.13,0.0,0.0,69.53,69.53,69.53,0.0,0.0,70.57,70.57,70.57,0.0,0.0
2016-03-06,71.69,71.69,71.69,0.0,0.0,72.48,72.48,72.48,0.0,0.0,71.69,71.69,71.69,0.0,0.0,72.28,72.28,72.28,0.0,0.0
2016-03-13,74.73,74.73,74.73,0.0,0.0,75.03,75.03,75.03,0.0,0.0,74.04,74.04,74.04,0.0,0.0,74.23,74.23,74.23,0.0,0.0
2016-03-20,71.98,71.98,71.98,0.0,0.0,72.71,72.71,72.71,0.0,0.0,71.62,71.62,71.62,0.0,0.0,72.7,72.7,72.7,0.0,0.0
2016-03-27,72.6,72.6,72.6,0.0,0.0,73.94,73.94,73.94,0.0,0.0,72.16,72.16,72.16,0.0,0.0,73.87,73.87,73.87,0.0,0.0
2016-04-03,72.89,72.89,72.89,0.0,0.0,73.54,73.54,73.54,0.0,0.0,72.68,72.68,72.68,0.0,0.0,72.85,72.85,72.85,0.0,0.0
