Date,iShares MSCI EAFE_etf_Open_average,iShares MSCI EAFE_etf_Open_max,iShares MSCI EAFE_etf_Open_min,iShares MSCI EAFE_etf_Open_volatility,iShares MSCI EAFE_etf_Open_change,iShares MSCI EAFE_etf_High_average,iShares MSCI EAFE_etf_High_max,iShares MSCI EAFE_etf_High_min,iShares MSCI EAFE_etf_High_volatility,iShares MSCI EAFE_etf_High_change,iShares MSCI EAFE_etf_Low_average,iShares MSCI EAFE_etf_Low_max,iShares MSCI EAFE_etf_Low_min,iShares MSCI EAFE_etf_Low_volatility,iShares MSCI EAFE_etf_Low_change,iShares MSCI EAFE_etf_Close_average,iShares MSCI EAFE_etf_Close_max,iShares MSCI EAFE_etf_Close_min,iShares MSCI EAFE_etf_Close_volatility,iShares MSCI EAFE_etf_Close_change
2016-01-03,55.93,55.93,55.93,0.0,0.0,55.99,55.99,55.99,0.0,0.0,54.84,54.84,54.84,0.0,0.0,54.93,54.93,54.93,0.0,0.0
2016-01-10,53.46,53.46,53.46,0.0,0.0,53.85,53.85,53.85,0.0,0.0,53.02,53.02,53.02,0.0,0.0,53.26,53.26,53.26,0.0,0.0
2016-01-17,54.2,54.2,54.2,0.0,0.0,54.54,54.54,54.54,0.0,0.0,54.08,54.08,54.08,0.0,0.0,54.48,54.48,54.48,0.0,0.0
2016-01-24,54.75,54.75,54.75,0.0,0.0,55.52,55.52,55.52,0.0,0.0,54.7,54.7,54.7,0.0,0.0,55.48,55.48,55.48,0.0,0.0
2016-01-31,54.41,54.41,54.41,0.0,0.0,54.48,54.48,54.48,0.0,0.0,53.58,53.58,53.58,0.0,0.0,53.81,53.81,53.81,0.0,0.0
2016-02-07,51.53,51.53,51.53,0.0,0.0,52.29,52.29,52.29,0.0,0.0,51.31,51.31,51.31,0.0,0.0,52.28,52.28,52.28,0.0,0.0
2016-02-14,53.57,53.57,53.57,0.0,0.0,53.97,53.97,53.97,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.92,53.92,53.92,0.0,0.0
2016-02-21,54.37,54.37,54.37,0.0,0.0,54.4,54.4,54.4,0.0,0.0,53.85,53.85,53.85,0.0,0.0,53.95,53.95,53.95,0.0,0.0
2016-02-28,56.34,56.34,56.34,0.0,0.0,56.65,56.65,56.65,0.0,0.0,56.21,56.21,56.21,0.0,0.0,56.36,56.36,56.36,0.0,0.0
2016-03-06,56.87,56.87,56.87,0.0,0.0,57.35,57.35,57.35,0.0,0.0,56.82,56.82,56.82,0.0,0.0,57.32,57.32,57.32,0.0,0.0
2016-03-13,57.51,57.51,57.51,0.0,0.0,57.69,57.69,57.69,0.0,0.0,57.42,57.42,57.42,0.0,0.0,57.5,57.5,57.5,0.0,0.0
2016-03-20,56.02,56.02,56.02,0.0,0.0,56.35,56.35,56.35,0.0,0.0,55.95,55.95,55.95,0.0,0.0,56.35,56.35,56.35,0.0,0.0
2016-03-27,55.99,55.99,55.99,0.0,0.0,56.62,56.62,56.62,0.0,0.0,55.93,55.93,55.93,0.0,0.0,56.55,56.55,56.55,0.0,0.0
