Date,ProShares UltraPro Dow30_etf_Open_average,ProShares UltraPro Dow30_etf_Open_max,ProShares UltraPro Dow30_etf_Open_min,ProShares UltraPro Dow30_etf_Open_volatility,ProShares UltraPro Dow30_etf_Open_change,ProShares UltraPro Dow30_etf_High_average,ProShares UltraPro Dow30_etf_High_max,ProShares UltraPro Dow30_etf_High_min,ProShares UltraPro Dow30_etf_High_volatility,ProShares UltraPro Dow30_etf_High_change,ProShares UltraPro Dow30_etf_Low_average,ProShares UltraPro Dow30_etf_Low_max,ProShares UltraPro Dow30_etf_Low_min,ProShares UltraPro Dow30_etf_Low_volatility,ProShares UltraPro Dow30_etf_Low_change,ProShares UltraPro Dow30_etf_Close_average,ProShares UltraPro Dow30_etf_Close_max,ProShares UltraPro Dow30_etf_Close_min,ProShares UltraPro Dow30_etf_Close_volatility,ProShares UltraPro Dow30_etf_Close_change
2016-01-03,27.9,27.9,27.9,0.0,0.0,28.08,28.08,28.08,0.0,0.0,26.43,26.43,26.43,0.0,0.0,26.57,26.57,26.57,0.0,0.0
2016-01-10,24.68,24.68,24.68,0.0,0.0,25.22,25.22,25.22,0.0,0.0,24.09,24.09,24.09,0.0,0.0,24.75,24.75,24.75,0.0,0.0
2016-01-17,25.34,25.34,25.34,0.0,0.0,25.45,25.45,25.45,0.0,0.0,24.71,24.71,24.71,0.0,0.0,25.27,25.27,25.27,0.0,0.0
2016-01-24,25.61,25.61,25.61,0.0,0.0,26.88,26.88,26.88,0.0,0.0,25.43,25.43,25.43,0.0,0.0,26.88,26.88,26.88,0.0,0.0
2016-01-31,26.55,26.55,26.55,0.0,0.0,26.61,26.61,26.61,0.0,0.0,25.27,25.27,25.27,0.0,0.0,25.64,25.64,25.64,0.0,0.0
2016-02-07,23.88,23.88,23.88,0.0,0.0,24.62,24.62,24.62,0.0,0.0,23.6,23.6,23.6,0.0,0.0,24.62,24.62,24.62,0.0,0.0
2016-02-14,26.39,26.39,26.39,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.11,26.11,26.11,0.0,0.0,26.64,26.64,26.64,0.0,0.0
2016-02-21,28.66,28.66,28.66,0.0,0.0,28.72,28.72,28.72,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.86,27.86,27.86,0.0,0.0
2016-02-28,29.55,29.55,29.55,0.0,0.0,30.04,30.04,30.04,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2016-03-06,30.5,30.5,30.5,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.88,30.88,30.88,0.0,0.0
