Date,HKTVY_stock_Open_average,HKTVY_stock_Open_max,HKTVY_stock_Open_min,HKTVY_stock_Open_volatility,HKTVY_stock_Open_change,HKTVY_stock_High_average,HKTVY_stock_High_max,HKTVY_stock_High_min,HKTVY_stock_High_volatility,HKTVY_stock_High_change,HKTVY_stock_Low_average,HKTVY_stock_Low_max,HKTVY_stock_Low_min,HKTVY_stock_Low_volatility,HKTVY_stock_Low_change,HKTVY_stock_Close_average,HKTVY_stock_Close_max,HKTVY_stock_Close_min,HKTVY_stock_Close_volatility,HKTVY_stock_Close_change,HKTVY_stock_Volume_average,HKTVY_stock_Volume_max,HKTVY_stock_Volume_min,HKTVY_stock_Volume_volatility,HKTVY_stock_Volume_change
2016-01-03,3.48,3.6,3.39,0.20999999999999996,-0.20999999999999996,3.5088,3.62,3.39,0.22999999999999998,-0.20999999999999996,3.462,3.52,3.38,0.14000000000000012,-0.14000000000000012,3.476,3.57,3.38,0.18999999999999995,-0.14000000000000012,2331,6825,391,6434,-6434
2016-01-10,3.424,3.5,3.306,0.19399999999999995,-0.14400000000000013,3.455,3.51,3.36,0.1499999999999999,-0.0900000000000003,3.3840000000000003,3.43,3.306,0.12400000000000011,-0.08400000000000007,3.425,3.51,3.36,0.1499999999999999,-0.03000000000000025,1223,2044,445,1599,1251
2016-01-17,3.0725,3.14,2.91,0.22999999999999998,0.03000000000000025,3.14,3.23,3.08,0.1499999999999999,0.10999999999999988,3.005,3.11,2.91,0.19999999999999973,-0.06999999999999984,3.0949999999999998,3.23,2.96,0.27,0.10999999999999988,14187,25744,3203,22541,-6921
2016-01-24,3.0246,3.12,2.98,0.14000000000000012,-0.1200000000000001,3.1149999999999998,3.19,3.045,0.14500000000000002,0.06999999999999984,2.9859999999999998,3.01,2.94,0.06999999999999984,0.0,3.0383999999999998,3.12,2.94,0.18000000000000016,0.03200000000000003,10815,30109,837,29272,-15653
2016-01-31,3.07,3.07,3.07,0.0,0.0,3.145,3.22,3.07,0.15000000000000036,0.15000000000000036,3.07,3.07,3.07,0.0,0.0,3.145,3.22,3.07,0.15000000000000036,0.15000000000000036,4793,8553,1033,7520,-7520
2016-02-07,2.9998,3.05,2.969,0.08099999999999996,-0.06999999999999984,3.01,3.05,2.98,0.06999999999999984,-0.06999999999999984,2.988,3.02,2.96,0.06000000000000005,-0.020000000000000018,2.996,3.02,2.98,0.040000000000000036,-0.020000000000000018,3063,10144,181,9963,-2180
2016-02-14,3.46,3.73,3.25,0.48,0.48,3.557,3.84,3.2880000000000003,0.5519999999999996,0.4419999999999997,3.455,3.73,3.25,0.48,0.48,3.5425,3.84,3.27,0.5699999999999998,0.45999999999999996,8340,17524,100,17424,-6492
2016-02-21,3.755,3.88,3.51,0.3700000000000001,0.3200000000000003,3.755,3.88,3.51,0.3700000000000001,0.3200000000000003,3.7375,3.83,3.51,0.3200000000000003,0.3200000000000003,3.7375,3.83,3.51,0.3200000000000003,0.3200000000000003,1857,4248,110,4138,4138
2016-02-28,3.995,4.38,3.67,0.71,0.71,4.0525,4.38,3.7,0.6799999999999997,0.5499999999999998,3.9800000000000004,4.36,3.67,0.6900000000000004,0.6900000000000004,4.0475,4.36,3.7,0.6600000000000001,0.5300000000000002,10986,24040,1716,22324,8989
2016-03-06,4.314,4.5,4.19,0.3099999999999996,0.1299999999999999,4.33,4.5,4.19,0.3099999999999996,0.1899999999999995,4.29,4.38,4.19,0.1899999999999995,0.1299999999999999,4.304,4.38,4.19,0.1899999999999995,0.1899999999999995,5604,10261,201,10060,-3789
