Date,VanEck Vectors India Small-CapEtf_Open_average,VanEck Vectors India Small-CapEtf_Open_max,VanEck Vectors India Small-CapEtf_Open_min,VanEck Vectors India Small-CapEtf_Open_volatility,VanEck Vectors India Small-CapEtf_Open_change,VanEck Vectors India Small-CapEtf_High_average,VanEck Vectors India Small-CapEtf_High_max,VanEck Vectors India Small-CapEtf_High_min,VanEck Vectors India Small-CapEtf_High_volatility,VanEck Vectors India Small-CapEtf_High_change,VanEck Vectors India Small-CapEtf_Low_average,VanEck Vectors India Small-CapEtf_Low_max,VanEck Vectors India Small-CapEtf_Low_min,VanEck Vectors India Small-CapEtf_Low_volatility,VanEck Vectors India Small-CapEtf_Low_change,VanEck Vectors India Small-CapEtf_Close_average,VanEck Vectors India Small-CapEtf_Close_max,VanEck Vectors India Small-CapEtf_Close_min,VanEck Vectors India Small-CapEtf_Close_volatility,VanEck Vectors India Small-CapEtf_Close_change
2016-01-03,42.69,42.69,42.69,0.0,0.0,43.02,43.02,43.02,0.0,0.0,42.31,42.31,42.31,0.0,0.0,42.37,42.37,42.37,0.0,0.0
2016-01-10,38.09,38.09,38.09,0.0,0.0,38.21,38.21,38.21,0.0,0.0,37.57,37.57,37.57,0.0,0.0,37.71,37.71,37.71,0.0,0.0
2016-01-17,37.7,37.7,37.7,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.17,37.17,37.17,0.0,0.0,37.81,37.81,37.81,0.0,0.0
2016-01-24,38.4,38.4,38.4,0.0,0.0,39.01,39.01,39.01,0.0,0.0,38.26,38.26,38.26,0.0,0.0,38.63,38.63,38.63,0.0,0.0
2016-01-31,36.95,36.95,36.95,0.0,0.0,37.08,37.08,37.08,0.0,0.0,36.49,36.49,36.49,0.0,0.0,36.75,36.75,36.75,0.0,0.0
2016-02-07,32.87,32.87,32.87,0.0,0.0,33.11,33.11,33.11,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.81,32.81,32.81,0.0,0.0
2016-02-14,33.11,33.11,33.11,0.0,0.0,33.47,33.47,33.47,0.0,0.0,33.04,33.04,33.04,0.0,0.0,33.42,33.42,33.42,0.0,0.0
2016-02-21,32.36,32.36,32.36,0.0,0.0,32.36,32.36,32.36,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2016-02-28,36.11,36.11,36.11,0.0,0.0,36.73,36.73,36.73,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.56,36.56,36.56,0.0,0.0
2016-03-06,36.11,36.11,36.11,0.0,0.0,36.49,36.49,36.49,0.0,0.0,36.11,36.11,36.11,0.0,0.0,36.47,36.47,36.47,0.0,0.0
2016-03-13,36.75,36.75,36.75,0.0,0.0,36.81,36.81,36.81,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.6,36.6,36.6,0.0,0.0
2016-03-20,36.81,36.81,36.81,0.0,0.0,37.2,37.2,37.2,0.0,0.0,36.79,36.79,36.79,0.0,0.0,37.2,37.2,37.2,0.0,0.0
2016-03-27,38.13,38.13,38.13,0.0,0.0,39.3,39.3,39.3,0.0,0.0,37.77,37.77,37.77,0.0,0.0,39.15,39.15,39.15,0.0,0.0
2016-04-03,38.63,38.63,38.63,0.0,0.0,38.78,38.78,38.78,0.0,0.0,38.53,38.53,38.53,0.0,0.0,38.64,38.64,38.64,0.0,0.0
2016-04-10,40.18,40.18,40.18,0.0,0.0,40.43,40.43,40.43,0.0,0.0,40.07,40.07,40.07,0.0,0.0,40.14,40.14,40.14,0.0,0.0
2016-04-17,40.26,40.26,40.26,0.0,0.0,40.54,40.54,40.54,0.0,0.0,40.26,40.26,40.26,0.0,0.0,40.39,40.39,40.39,0.0,0.0
2016-04-24,40.46,40.46,40.46,0.0,0.0,40.46,40.46,40.46,0.0,0.0,40.01,40.01,40.01,0.0,0.0,40.13,40.13,40.13,0.0,0.0
2016-05-01,39.28,39.28,39.28,0.0,0.0,39.43,39.43,39.43,0.0,0.0,38.96,38.96,38.96,0.0,0.0,39.37,39.37,39.37,0.0,0.0
2016-05-08,39.89,39.89,39.89,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.41,39.41,39.41,0.0,0.0,39.56,39.56,39.56,0.0,0.0
