Date,SPDR S&P Emerging Markets Dividend_etf_Open_average,SPDR S&P Emerging Markets Dividend_etf_Open_max,SPDR S&P Emerging Markets Dividend_etf_Open_min,SPDR S&P Emerging Markets Dividend_etf_Open_volatility,SPDR S&P Emerging Markets Dividend_etf_Open_change,SPDR S&P Emerging Markets Dividend_etf_High_average,SPDR S&P Emerging Markets Dividend_etf_High_max,SPDR S&P Emerging Markets Dividend_etf_High_min,SPDR S&P Emerging Markets Dividend_etf_High_volatility,SPDR S&P Emerging Markets Dividend_etf_High_change,SPDR S&P Emerging Markets Dividend_etf_Low_average,SPDR S&P Emerging Markets Dividend_etf_Low_max,SPDR S&P Emerging Markets Dividend_etf_Low_min,SPDR S&P Emerging Markets Dividend_etf_Low_volatility,SPDR S&P Emerging Markets Dividend_etf_Low_change,SPDR S&P Emerging Markets Dividend_etf_Close_average,SPDR S&P Emerging Markets Dividend_etf_Close_max,SPDR S&P Emerging Markets Dividend_etf_Close_min,SPDR S&P Emerging Markets Dividend_etf_Close_volatility,SPDR S&P Emerging Markets Dividend_etf_Close_change
2016-01-03,22.25,22.25,22.25,0.0,0.0,22.28,22.28,22.28,0.0,0.0,21.85,21.85,21.85,0.0,0.0,21.86,21.86,21.86,0.0,0.0
2016-01-10,21.25,21.25,21.25,0.0,0.0,21.34,21.34,21.34,0.0,0.0,20.96,20.96,20.96,0.0,0.0,21.16,21.16,21.16,0.0,0.0
2016-01-17,21.56,21.56,21.56,0.0,0.0,21.62,21.62,21.62,0.0,0.0,21.46,21.46,21.46,0.0,0.0,21.61,21.61,21.61,0.0,0.0
2016-01-24,22.78,22.78,22.78,0.0,0.0,23.13,23.13,23.13,0.0,0.0,22.75,22.75,22.75,0.0,0.0,23.13,23.13,23.13,0.0,0.0
2016-01-31,23.23,23.23,23.23,0.0,0.0,23.23,23.23,23.23,0.0,0.0,22.98,22.98,22.98,0.0,0.0,23.02,23.02,23.02,0.0,0.0
2016-02-07,22.48,22.48,22.48,0.0,0.0,22.61,22.61,22.61,0.0,0.0,22.39,22.39,22.39,0.0,0.0,22.6,22.6,22.6,0.0,0.0
2016-02-14,23.22,23.22,23.22,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.19,23.19,23.19,0.0,0.0,23.33,23.33,23.33,0.0,0.0
2016-02-21,23.62,23.62,23.62,0.0,0.0,23.62,23.62,23.62,0.0,0.0,23.18,23.18,23.18,0.0,0.0,23.18,23.18,23.18,0.0,0.0
2016-02-28,25.11,25.11,25.11,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.46,25.46,25.46,0.0,0.0
2016-03-06,25.83,25.83,25.83,0.0,0.0,26.04,26.04,26.04,0.0,0.0,25.83,25.83,25.83,0.0,0.0,26.04,26.04,26.04,0.0,0.0
2016-03-13,26.32,26.32,26.32,0.0,0.0,26.47,26.47,26.47,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.43,26.43,26.43,0.0,0.0
2016-03-20,25.59,25.59,25.59,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.84,25.84,25.84,0.0,0.0
2016-03-27,26.24,26.24,26.24,0.0,0.0,26.78,26.78,26.78,0.0,0.0,26.22,26.22,26.22,0.0,0.0,26.78,26.78,26.78,0.0,0.0
2016-04-03,25.99,25.99,25.99,0.0,0.0,26.13,26.13,26.13,0.0,0.0,25.97,25.97,25.97,0.0,0.0,26.05,26.05,26.05,0.0,0.0
2016-04-10,27.18,27.18,27.18,0.0,0.0,27.26,27.26,27.26,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.21,27.21,27.21,0.0,0.0
2016-04-17,27.08,27.08,27.08,0.0,0.0,27.15,27.15,27.15,0.0,0.0,26.95,26.95,26.95,0.0,0.0,26.99,26.99,26.99,0.0,0.0
2016-04-24,27.04,27.04,27.04,0.0,0.0,27.11,27.11,27.11,0.0,0.0,26.84,26.84,26.84,0.0,0.0,27.04,27.04,27.04,0.0,0.0
2016-05-01,25.49,25.49,25.49,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.65,25.65,25.65,0.0,0.0
2016-05-08,25.33,25.33,25.33,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2016-05-15,24.9,24.9,24.9,0.0,0.0,25.08,25.08,25.08,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.98,24.98,24.98,0.0,0.0
2016-05-22,25.33,25.33,25.33,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.21,25.21,25.21,0.0,0.0
2016-05-29,25.92,25.92,25.92,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.81,25.81,25.81,0.0,0.0,26.09,26.09,26.09,0.0,0.0
2016-06-05,26.21,26.21,26.21,0.0,0.0,26.21,26.21,26.21,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.99,25.99,25.99,0.0,0.0
2016-06-12,25.43,25.43,25.43,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.48,25.48,25.48,0.0,0.0
2016-06-19,25.55,25.55,25.55,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.47,25.47,25.47,0.0,0.0
2016-06-26,27.01,27.01,27.01,0.0,0.0,27.16,27.16,27.16,0.0,0.0,26.99,26.99,26.99,0.0,0.0,27.07,27.07,27.07,0.0,0.0
2016-07-03,26.73,26.73,26.73,0.0,0.0,27.01,27.01,27.01,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.99,26.99,26.99,0.0,0.0
2016-07-10,27.93,27.93,27.93,0.0,0.0,28.02,28.02,28.02,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.98,27.98,27.98,0.0,0.0
2016-07-17,28.12,28.12,28.12,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.25,28.25,28.25,0.0,0.0
2016-07-24,28.43,28.43,28.43,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.74,28.74,28.74,0.0,0.0
2016-07-31,28.94,28.94,28.94,0.0,0.0,29.21,29.21,29.21,0.0,0.0,28.94,28.94,28.94,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2016-08-07,29.63,29.63,29.63,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.61,29.61,29.61,0.0,0.0
2016-08-14,29.19,29.19,29.19,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.38,29.38,29.38,0.0,0.0
