Date,iShares iBoxx $ High Yield Corporate Bond_etf_Open_average,iShares iBoxx $ High Yield Corporate Bond_etf_Open_max,iShares iBoxx $ High Yield Corporate Bond_etf_Open_min,iShares iBoxx $ High Yield Corporate Bond_etf_Open_volatility,iShares iBoxx $ High Yield Corporate Bond_etf_Open_change,iShares iBoxx $ High Yield Corporate Bond_etf_High_average,iShares iBoxx $ High Yield Corporate Bond_etf_High_max,iShares iBoxx $ High Yield Corporate Bond_etf_High_min,iShares iBoxx $ High Yield Corporate Bond_etf_High_volatility,iShares iBoxx $ High Yield Corporate Bond_etf_High_change,iShares iBoxx $ High Yield Corporate Bond_etf_Low_average,iShares iBoxx $ High Yield Corporate Bond_etf_Low_max,iShares iBoxx $ High Yield Corporate Bond_etf_Low_min,iShares iBoxx $ High Yield Corporate Bond_etf_Low_volatility,iShares iBoxx $ High Yield Corporate Bond_etf_Low_change,iShares iBoxx $ High Yield Corporate Bond_etf_Close_average,iShares iBoxx $ High Yield Corporate Bond_etf_Close_max,iShares iBoxx $ High Yield Corporate Bond_etf_Close_min,iShares iBoxx $ High Yield Corporate Bond_etf_Close_volatility,iShares iBoxx $ High Yield Corporate Bond_etf_Close_change
2016-01-03,80.04,80.04,80.04,0.0,0.0,80.22,80.22,80.22,0.0,0.0,79.5,79.5,79.5,0.0,0.0,79.52,79.52,79.52,0.0,0.0
2016-01-10,77.67,77.67,77.67,0.0,0.0,78.68,78.68,78.68,0.0,0.0,77.42,77.42,77.42,0.0,0.0,77.91,77.91,77.91,0.0,0.0
2016-01-17,78.4,78.4,78.4,0.0,0.0,78.92,78.92,78.92,0.0,0.0,78.24,78.24,78.24,0.0,0.0,78.83,78.83,78.83,0.0,0.0
2016-01-24,79.2,79.2,79.2,0.0,0.0,79.45,79.45,79.45,0.0,0.0,79.13,79.13,79.13,0.0,0.0,79.29,79.29,79.29,0.0,0.0
2016-01-31,77.99,77.99,77.99,0.0,0.0,77.99,77.99,77.99,0.0,0.0,77.28,77.28,77.28,0.0,0.0,77.41,77.41,77.41,0.0,0.0
2016-02-07,75.86,75.86,75.86,0.0,0.0,76.79,76.79,76.79,0.0,0.0,75.77,75.77,75.77,0.0,0.0,76.72,76.72,76.72,0.0,0.0
2016-02-14,77.15,77.15,77.15,0.0,0.0,77.68,77.68,77.68,0.0,0.0,77.05,77.05,77.05,0.0,0.0,77.64,77.64,77.64,0.0,0.0
2016-02-21,78.95,78.95,78.95,0.0,0.0,79.29,79.29,79.29,0.0,0.0,78.86,78.86,78.86,0.0,0.0,79.23,79.23,79.23,0.0,0.0
2016-02-28,80.78,80.78,80.78,0.0,0.0,81.24,81.24,81.24,0.0,0.0,80.5,80.5,80.5,0.0,0.0,80.87,80.87,80.87,0.0,0.0
2016-03-06,81.72,81.72,81.72,0.0,0.0,82.26,82.26,82.26,0.0,0.0,81.64,81.64,81.64,0.0,0.0,82.14,82.14,82.14,0.0,0.0
2016-03-13,82.3,82.3,82.3,0.0,0.0,82.61,82.61,82.61,0.0,0.0,82.28,82.28,82.28,0.0,0.0,82.4,82.4,82.4,0.0,0.0
2016-03-20,81.12,81.12,81.12,0.0,0.0,81.49,81.49,81.49,0.0,0.0,81.08,81.08,81.08,0.0,0.0,81.35,81.35,81.35,0.0,0.0
2016-03-27,80.98,80.98,80.98,0.0,0.0,81.51,81.51,81.51,0.0,0.0,80.8,80.8,80.8,0.0,0.0,81.37,81.37,81.37,0.0,0.0
2016-04-03,81.58,81.58,81.58,0.0,0.0,81.64,81.64,81.64,0.0,0.0,81.42,81.42,81.42,0.0,0.0,81.52,81.52,81.52,0.0,0.0
2016-04-10,82.47,82.47,82.47,0.0,0.0,82.57,82.57,82.57,0.0,0.0,82.4,82.4,82.4,0.0,0.0,82.49,82.49,82.49,0.0,0.0
2016-04-17,83.28,83.28,83.28,0.0,0.0,83.45,83.45,83.45,0.0,0.0,83.21,83.21,83.21,0.0,0.0,83.4,83.4,83.4,0.0,0.0
2016-04-24,83.63,83.63,83.63,0.0,0.0,83.91,83.91,83.91,0.0,0.0,83.35,83.35,83.35,0.0,0.0,83.85,83.85,83.85,0.0,0.0
