Date,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_Open_average,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_Open_max,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_Open_min,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_Open_volatility,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_Open_change,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_High_average,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_High_max,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_High_min,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_High_volatility,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_High_change,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_Low_average,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_Low_max,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_Low_min,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_Low_volatility,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_Low_change,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_Close_average,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_Close_max,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_Close_min,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_Close_volatility,WisdomTree Interest Rate Hedged High Yield Bond FdEtf_Close_change
2016-01-03,21.72,21.72,21.72,0.0,0.0,21.83,21.83,21.83,0.0,0.0,21.68,21.68,21.68,0.0,0.0,21.74,21.74,21.74,0.0,0.0
2016-01-10,21.28,21.28,21.28,0.0,0.0,21.28,21.28,21.28,0.0,0.0,21.26,21.26,21.26,0.0,0.0,21.26,21.26,21.26,0.0,0.0
2016-01-17,21.19,21.19,21.19,0.0,0.0,21.3,21.3,21.3,0.0,0.0,21.17,21.17,21.17,0.0,0.0,21.19,21.19,21.19,0.0,0.0
2016-01-24,21.12,21.12,21.12,0.0,0.0,21.24,21.24,21.24,0.0,0.0,21.12,21.12,21.12,0.0,0.0,21.24,21.24,21.24,0.0,0.0
2016-01-31,21.07,21.07,21.07,0.0,0.0,21.09,21.09,21.09,0.0,0.0,21.07,21.07,21.07,0.0,0.0,21.08,21.08,21.08,0.0,0.0
2016-02-07,20.71,20.71,20.71,0.0,0.0,20.73,20.73,20.73,0.0,0.0,20.43,20.43,20.43,0.0,0.0,20.72,20.72,20.72,0.0,0.0
2016-02-14,20.66,20.66,20.66,0.0,0.0,21.0,21.0,21.0,0.0,0.0,20.66,20.66,20.66,0.0,0.0,20.93,20.93,20.93,0.0,0.0
2016-02-21,20.72,20.72,20.72,0.0,0.0,21.19,21.19,21.19,0.0,0.0,20.72,20.72,20.72,0.0,0.0,21.19,21.19,21.19,0.0,0.0
2016-02-28,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0
2016-03-06,21.6,21.6,21.6,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.6,21.6,21.6,0.0,0.0
