Date,CGEMY_stock_Open_average,CGEMY_stock_Open_max,CGEMY_stock_Open_min,CGEMY_stock_Open_volatility,CGEMY_stock_Open_change,CGEMY_stock_High_average,CGEMY_stock_High_max,CGEMY_stock_High_min,CGEMY_stock_High_volatility,CGEMY_stock_High_change,CGEMY_stock_Low_average,CGEMY_stock_Low_max,CGEMY_stock_Low_min,CGEMY_stock_Low_volatility,CGEMY_stock_Low_change,CGEMY_stock_Close_average,CGEMY_stock_Close_max,CGEMY_stock_Close_min,CGEMY_stock_Close_volatility,CGEMY_stock_Close_change,CGEMY_stock_Volume_average,CGEMY_stock_Volume_max,CGEMY_stock_Volume_min,CGEMY_stock_Volume_volatility,CGEMY_stock_Volume_change
2016-01-03,17.756,17.97,17.53,0.4399999999999977,-0.4399999999999977,17.834,18.07,17.53,0.5399999999999991,-0.5399999999999991,17.638,17.94,17.24,0.7000000000000028,-0.7000000000000028,17.702,18.01,17.24,0.7700000000000031,-0.7700000000000031,48715,161268,16575,144693,-137025
2016-01-10,17.686,17.94,17.17,0.7699999999999996,-0.389999999999997,17.792,18.11,17.28,0.8299999999999983,-0.3999999999999986,17.486,17.85,16.99,0.860000000000003,-0.490000000000002,17.65,18.11,17.07,1.0399999999999991,-0.5899999999999999,24183,41730,9588,32142,32142
2016-01-17,17.505,17.88,17.16,0.7199999999999989,0.48999999999999844,17.6275,18.08,17.3,0.7799999999999976,0.5699999999999967,17.3675,17.85,16.94,0.9100000000000001,0.5700000000000003,17.5675,18.08,17.25,0.8299999999999983,0.6499999999999986,23137,25230,19783,5447,1928
2016-01-24,18.114,18.3,17.89,0.41000000000000014,-0.120000000000001,18.272,18.44,17.9,0.5400000000000027,-0.05999999999999872,18.038,18.29,17.68,0.6099999999999994,-0.120000000000001,18.188,18.44,17.89,0.5500000000000007,-0.030000000000001137,44904,165630,11118,154512,-9875
2016-01-31,18.262,18.45,18.15,0.3000000000000007,-0.3000000000000007,18.376,18.6,18.15,0.45000000000000284,-0.45000000000000284,18.072,18.4,17.48,0.9199999999999982,-0.9199999999999982,18.233999999999998,18.56,17.53,1.0299999999999976,-1.0299999999999976,29705,64303,15858,48445,3630
2016-02-07,16.2,16.72,15.36,1.3599999999999994,-1.2800000000000011,16.308,16.72,15.59,1.129999999999999,-1.0500000000000007,16.022,16.45,15.36,1.0899999999999999,-1.0,16.216,16.61,15.59,1.0199999999999996,-1.0100000000000016,219235,1034855,11263,1023592,1023467
2016-02-14,16.44,16.89,15.94,0.9500000000000011,0.8100000000000005,16.5475,16.97,16.0,0.9699999999999989,0.9100000000000001,16.3525,16.81,15.79,1.0199999999999996,0.9000000000000021,16.505,16.91,15.99,0.9199999999999999,0.9199999999999999,637222,1862425,66340,1796085,-1759777
2016-02-21,16.544,16.68,16.29,0.39000000000000057,-0.030000000000001137,16.688,16.91,16.52,0.39000000000000057,-0.23999999999999844,16.488,16.68,16.21,0.46999999999999886,-0.14000000000000057,16.636,16.9,16.5,0.3999999999999986,-0.3099999999999987,36069,48888,24995,23893,23893
2016-02-28,16.84,16.99,16.61,0.379999999999999,0.370000000000001,16.958,17.09,16.69,0.3999999999999986,0.36999999999999744,16.782,16.9,16.51,0.389999999999997,0.389999999999997,16.878,17.09,16.51,0.5799999999999983,0.389999999999997,100255,316023,22335,293688,-78535
2016-03-06,16.976,17.42,16.76,0.6600000000000001,0.6500000000000021,17.062,17.52,16.76,0.759999999999998,0.5599999999999987,16.88,17.38,16.58,0.8000000000000007,0.6099999999999994,16.976,17.52,16.58,0.9400000000000013,0.6600000000000001,28564,37778,19223,18555,-2852
2016-03-13,17.52,17.71,17.29,0.4200000000000017,0.120000000000001,17.672,17.88,17.56,0.3200000000000003,0.25,17.502,17.71,17.29,0.4200000000000017,0.19000000000000128,17.624,17.88,17.51,0.36999999999999744,0.33999999999999986,26908,58683,11020,47663,47663
2016-03-20,17.945,18.09,17.78,0.3099999999999987,0.2799999999999976,18.002499999999998,18.16,17.79,0.370000000000001,0.3200000000000003,17.905,18.08,17.72,0.35999999999999943,0.25,17.98,18.16,17.78,0.379999999999999,0.3299999999999983,20601,28713,13643,15070,-4098
2016-03-27,18.588,19.02,18.09,0.9299999999999997,0.5800000000000018,18.742,19.18,18.18,1.0,0.7100000000000009,18.544,19.0,18.08,0.9200000000000017,0.5900000000000034,18.67,19.07,18.16,0.9100000000000001,0.629999999999999,32786,59593,9273,50320,-16140
2016-04-03,18.444,18.91,18.13,0.7800000000000011,-0.5700000000000003,18.486,18.91,18.21,0.6999999999999993,-0.5700000000000003,18.344,18.77,18.04,0.7300000000000004,-0.5700000000000003,18.474,18.87,18.21,0.6600000000000001,-0.5500000000000007,37322,122053,12053,110000,5090
2016-04-10,18.296,18.42,18.16,0.26000000000000156,-0.14999999999999858,18.352,18.45,18.2,0.25,-0.1999999999999993,18.226,18.34,18.03,0.3099999999999987,-0.2699999999999996,18.288,18.43,18.03,0.3999999999999986,-0.36999999999999744,27205,49758,16873,32885,-30685
2016-04-17,18.11,18.51,17.77,0.740000000000002,-0.4299999999999997,18.14,18.56,17.82,0.7399999999999984,-0.379999999999999,18.02,18.41,17.68,0.7300000000000004,-0.4800000000000004,18.074,18.52,17.7,0.8200000000000003,-0.4700000000000024,17592,21758,11540,10218,-6775
2016-04-24,18.352,18.84,17.74,1.1000000000000014,0.9800000000000004,18.402,18.99,17.77,1.2199999999999989,0.9400000000000013,18.259999999999998,18.84,17.65,1.1900000000000013,0.9499999999999993,18.330000000000002,18.96,17.71,1.25,0.9499999999999993,19508,30783,11785,18998,4325
2016-05-01,18.416,18.8,18.0,0.8000000000000007,-0.8000000000000007,18.462,18.87,18.08,0.7900000000000027,-0.7900000000000027,18.342,18.8,17.99,0.8100000000000023,-0.8100000000000023,18.378,18.84,17.99,0.8500000000000014,-0.8500000000000014,13636,22770,9893,12877,1402
2016-05-08,18.48,18.6,18.36,0.240000000000002,-0.08000000000000185,18.536,18.69,18.37,0.3200000000000003,-0.16000000000000014,18.422,18.58,18.26,0.31999999999999673,-0.14999999999999858,18.48,18.62,18.26,0.35999999999999943,-0.23999999999999844,13161,18530,10543,7987,-7987
2016-05-15,18.192,18.31,17.98,0.3299999999999983,0.08999999999999986,18.291999999999998,18.41,18.05,0.35999999999999943,-0.019999999999999574,18.118,18.23,17.94,0.28999999999999915,0.08999999999999986,18.186,18.29,17.98,0.3099999999999987,-0.019999999999999574,14172,19388,11763,7625,7445
2016-05-22,18.756,18.9,18.5,0.3999999999999986,0.3999999999999986,18.838,18.98,18.63,0.3500000000000014,0.2900000000000027,18.736,18.9,18.5,0.3999999999999986,0.3000000000000007,18.796,18.95,18.6,0.34999999999999787,0.259999999999998,36423,97378,19360,78018,-1718
2016-05-29,19.3275,19.71,18.97,0.740000000000002,0.5299999999999976,19.45,19.85,19.08,0.7700000000000031,0.75,19.29,19.62,18.97,0.6500000000000021,0.5700000000000003,19.4025,19.85,19.06,0.7900000000000027,0.7900000000000027,17015,23530,13938,9592,207
2016-06-05,19.696,19.85,19.44,0.41000000000000014,-0.17999999999999972,19.788,19.96,19.44,0.5199999999999996,-0.29999999999999716,19.624,19.8,19.18,0.620000000000001,-0.4400000000000013,19.708,19.89,19.27,0.620000000000001,-0.4299999999999997,55061,208418,10633,197785,196758
