Date,First Trust Total US Market AlphaDEXEtf_Open_average,First Trust Total US Market AlphaDEXEtf_Open_max,First Trust Total US Market AlphaDEXEtf_Open_min,First Trust Total US Market AlphaDEXEtf_Open_volatility,First Trust Total US Market AlphaDEXEtf_Open_change,First Trust Total US Market AlphaDEXEtf_High_average,First Trust Total US Market AlphaDEXEtf_High_max,First Trust Total US Market AlphaDEXEtf_High_min,First Trust Total US Market AlphaDEXEtf_High_volatility,First Trust Total US Market AlphaDEXEtf_High_change,First Trust Total US Market AlphaDEXEtf_Low_average,First Trust Total US Market AlphaDEXEtf_Low_max,First Trust Total US Market AlphaDEXEtf_Low_min,First Trust Total US Market AlphaDEXEtf_Low_volatility,First Trust Total US Market AlphaDEXEtf_Low_change,First Trust Total US Market AlphaDEXEtf_Close_average,First Trust Total US Market AlphaDEXEtf_Close_max,First Trust Total US Market AlphaDEXEtf_Close_min,First Trust Total US Market AlphaDEXEtf_Close_volatility,First Trust Total US Market AlphaDEXEtf_Close_change
2016-01-03,23.2,23.2,23.2,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.2,23.2,23.2,0.0,0.0
2016-01-10,22.25,22.25,22.25,0.0,0.0,22.25,22.25,22.25,0.0,0.0,21.83,21.83,21.83,0.0,0.0,21.93,21.93,21.93,0.0,0.0
2016-01-17,21.86,21.86,21.86,0.0,0.0,21.86,21.86,21.86,0.0,0.0,21.78,21.78,21.78,0.0,0.0,21.8,21.8,21.8,0.0,0.0
2016-01-24,22.38,22.38,22.38,0.0,0.0,22.66,22.66,22.66,0.0,0.0,22.38,22.38,22.38,0.0,0.0,22.66,22.66,22.66,0.0,0.0
2016-01-31,22.25,22.25,22.25,0.0,0.0,22.25,22.25,22.25,0.0,0.0,21.85,21.85,21.85,0.0,0.0,21.86,21.86,21.86,0.0,0.0
2016-02-07,21.14,21.14,21.14,0.0,0.0,21.21,21.21,21.21,0.0,0.0,21.14,21.14,21.14,0.0,0.0,21.21,21.21,21.21,0.0,0.0
2016-02-14,22.36,22.36,22.36,0.0,0.0,22.36,22.36,22.36,0.0,0.0,22.36,22.36,22.36,0.0,0.0,22.36,22.36,22.36,0.0,0.0
2016-02-21,23.09,23.09,23.09,0.0,0.0,23.09,23.09,23.09,0.0,0.0,23.09,23.09,23.09,0.0,0.0,23.09,23.09,23.09,0.0,0.0
2016-02-28,23.92,23.92,23.92,0.0,0.0,23.92,23.92,23.92,0.0,0.0,23.92,23.92,23.92,0.0,0.0,23.92,23.92,23.92,0.0,0.0
2016-03-06,24.19,24.19,24.19,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.1,24.1,24.1,0.0,0.0,24.1,24.1,24.1,0.0,0.0
2016-03-13,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.53,24.53,24.53,0.0,0.0
2016-03-20,24.35,24.35,24.35,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.46,24.46,24.46,0.0,0.0
2016-03-27,24.72,24.72,24.72,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.72,24.72,24.72,0.0,0.0
2016-04-03,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.21,24.21,24.21,0.0,0.0,24.21,24.21,24.21,0.0,0.0
2016-04-10,24.66,24.66,24.66,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.61,24.61,24.61,0.0,0.0,24.61,24.61,24.61,0.0,0.0
2016-04-17,25.02,25.02,25.02,0.0,0.0,25.02,25.02,25.02,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.9,24.9,24.9,0.0,0.0
2016-04-24,25.12,25.12,25.12,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.11,25.11,25.11,0.0,0.0
2016-05-01,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0
2016-05-08,24.47,24.47,24.47,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.46,24.46,24.46,0.0,0.0
2016-05-15,24.26,24.26,24.26,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.26,24.26,24.26,0.0,0.0
2016-05-22,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0
2016-05-29,25.07,25.07,25.07,0.0,0.0,25.07,25.07,25.07,0.0,0.0,25.07,25.07,25.07,0.0,0.0,25.07,25.07,25.07,0.0,0.0
2016-06-05,25.07,25.07,25.07,0.0,0.0,25.07,25.07,25.07,0.0,0.0,25.07,25.07,25.07,0.0,0.0,25.07,25.07,25.07,0.0,0.0
2016-06-12,24.67,24.67,24.67,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.68,24.68,24.68,0.0,0.0
2016-06-19,24.43,24.43,24.43,0.0,0.0,24.55,24.55,24.55,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.46,24.46,24.46,0.0,0.0
2016-06-26,25.04,25.04,25.04,0.0,0.0,25.04,25.04,25.04,0.0,0.0,24.91,24.91,24.91,0.0,0.0,24.92,24.92,24.92,0.0,0.0
2016-07-03,24.82,24.82,24.82,0.0,0.0,24.82,24.82,24.82,0.0,0.0,24.78,24.78,24.78,0.0,0.0,24.78,24.78,24.78,0.0,0.0
2016-07-10,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.79,25.79,25.79,0.0,0.0
2016-07-17,25.99,25.99,25.99,0.0,0.0,26.13,26.13,26.13,0.0,0.0,25.99,25.99,25.99,0.0,0.0,26.13,26.13,26.13,0.0,0.0
2016-07-24,26.02,26.02,26.02,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.02,26.02,26.02,0.0,0.0,26.21,26.21,26.21,0.0,0.0
2016-07-31,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2016-08-07,26.15,26.15,26.15,0.0,0.0,26.15,26.15,26.15,0.0,0.0,26.15,26.15,26.15,0.0,0.0,26.15,26.15,26.15,0.0,0.0
2016-08-14,26.31,26.31,26.31,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.31,26.31,26.31,0.0,0.0
2016-08-21,26.37,26.37,26.37,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.37,26.37,26.37,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2016-08-28,26.41,26.41,26.41,0.0,0.0,26.48,26.48,26.48,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.45,26.45,26.45,0.0,0.0
2016-09-04,26.5,26.5,26.5,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2016-09-11,25.75,25.75,25.75,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2016-09-18,25.86,25.86,25.86,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.86,25.86,25.86,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2016-09-25,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0
2016-10-02,26.18,26.18,26.18,0.0,0.0,26.18,26.18,26.18,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2016-10-09,25.88,25.88,25.88,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.55,25.55,25.55,0.0,0.0
2016-10-16,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0
