Date,BLDRS Europe Select ADREtf_Open_average,BLDRS Europe Select ADREtf_Open_max,BLDRS Europe Select ADREtf_Open_min,BLDRS Europe Select ADREtf_Open_volatility,BLDRS Europe Select ADREtf_Open_change,BLDRS Europe Select ADREtf_High_average,BLDRS Europe Select ADREtf_High_max,BLDRS Europe Select ADREtf_High_min,BLDRS Europe Select ADREtf_High_volatility,BLDRS Europe Select ADREtf_High_change,BLDRS Europe Select ADREtf_Low_average,BLDRS Europe Select ADREtf_Low_max,BLDRS Europe Select ADREtf_Low_min,BLDRS Europe Select ADREtf_Low_volatility,BLDRS Europe Select ADREtf_Low_change,BLDRS Europe Select ADREtf_Close_average,BLDRS Europe Select ADREtf_Close_max,BLDRS Europe Select ADREtf_Close_min,BLDRS Europe Select ADREtf_Close_volatility,BLDRS Europe Select ADREtf_Close_change
2016-01-03,19.41,19.41,19.41,0.0,0.0,19.41,19.41,19.41,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.3,19.3,19.3,0.0,0.0
2016-01-10,18.68,18.68,18.68,0.0,0.0,18.68,18.68,18.68,0.0,0.0,18.48,18.48,18.48,0.0,0.0,18.49,18.49,18.49,0.0,0.0
2016-01-17,18.94,18.94,18.94,0.0,0.0,19.01,19.01,19.01,0.0,0.0,18.94,18.94,18.94,0.0,0.0,18.97,18.97,18.97,0.0,0.0
2016-01-24,19.23,19.23,19.23,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.23,19.23,19.23,0.0,0.0
2016-01-31,18.54,18.54,18.54,0.0,0.0,18.54,18.54,18.54,0.0,0.0,18.54,18.54,18.54,0.0,0.0,18.54,18.54,18.54,0.0,0.0
2016-02-07,17.61,17.61,17.61,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.61,17.61,17.61,0.0,0.0
2016-02-14,18.9,18.9,18.9,0.0,0.0,18.9,18.9,18.9,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.66,18.66,18.66,0.0,0.0
2016-02-21,18.68,18.68,18.68,0.0,0.0,18.68,18.68,18.68,0.0,0.0,18.65,18.65,18.65,0.0,0.0,18.65,18.65,18.65,0.0,0.0
2016-02-28,19.11,19.11,19.11,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.1,19.1,19.1,0.0,0.0
2016-03-06,19.63,19.63,19.63,0.0,0.0,19.71,19.71,19.71,0.0,0.0,19.63,19.63,19.63,0.0,0.0,19.69,19.69,19.69,0.0,0.0
2016-03-13,19.57,19.57,19.57,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.57,19.57,19.57,0.0,0.0,19.57,19.57,19.57,0.0,0.0
2016-03-20,19.01,19.01,19.01,0.0,0.0,19.04,19.04,19.04,0.0,0.0,19.0,19.0,19.0,0.0,0.0,19.04,19.04,19.04,0.0,0.0
2016-03-27,18.97,18.97,18.97,0.0,0.0,19.16,19.16,19.16,0.0,0.0,18.93,18.93,18.93,0.0,0.0,19.16,19.16,19.16,0.0,0.0
2016-04-03,19.23,19.23,19.23,0.0,0.0,19.29,19.29,19.29,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.29,19.29,19.29,0.0,0.0
2016-04-10,19.86,19.86,19.86,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.86,19.86,19.86,0.0,0.0
2016-04-17,20.15,20.15,20.15,0.0,0.0,20.24,20.24,20.24,0.0,0.0,20.15,20.15,20.15,0.0,0.0,20.24,20.24,20.24,0.0,0.0
2016-04-24,20.24,20.24,20.24,0.0,0.0,20.24,20.24,20.24,0.0,0.0,20.04,20.04,20.04,0.0,0.0,20.08,20.08,20.08,0.0,0.0
2016-05-01,19.49,19.49,19.49,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.49,19.49,19.49,0.0,0.0
2016-05-08,19.34,19.34,19.34,0.0,0.0,19.37,19.37,19.37,0.0,0.0,19.34,19.34,19.34,0.0,0.0,19.37,19.37,19.37,0.0,0.0
2016-05-15,19.59,19.59,19.59,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.59,19.59,19.59,0.0,0.0
2016-05-22,20.17,20.17,20.17,0.0,0.0,20.24,20.24,20.24,0.0,0.0,20.11,20.11,20.11,0.0,0.0,20.11,20.11,20.11,0.0,0.0
2016-05-29,20.02,20.02,20.02,0.0,0.0,20.04,20.04,20.04,0.0,0.0,20.01,20.01,20.01,0.0,0.0,20.03,20.03,20.03,0.0,0.0
2016-06-05,19.64,19.64,19.64,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.5,19.5,19.5,0.0,0.0
2016-06-12,18.94,18.94,18.94,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.94,18.94,18.94,0.0,0.0,18.95,18.95,18.95,0.0,0.0
2016-06-19,18.5,18.5,18.5,0.0,0.0,19.02,19.02,19.02,0.0,0.0,18.02,18.02,18.02,0.0,0.0,18.46,18.46,18.46,0.0,0.0
2016-06-26,19.42,19.42,19.42,0.0,0.0,19.42,19.42,19.42,0.0,0.0,19.42,19.42,19.42,0.0,0.0,19.42,19.42,19.42,0.0,0.0
2016-07-03,19.08,19.08,19.08,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.08,19.08,19.08,0.0,0.0
2016-07-10,19.6,19.6,19.6,0.0,0.0,19.63,19.63,19.63,0.0,0.0,19.57,19.57,19.57,0.0,0.0,19.57,19.57,19.57,0.0,0.0
2016-07-17,19.67,19.67,19.67,0.0,0.0,19.72,19.72,19.72,0.0,0.0,19.67,19.67,19.67,0.0,0.0,19.72,19.72,19.72,0.0,0.0
