Date,PowerShares Golden Dragon China Port_etf_Open_average,PowerShares Golden Dragon China Port_etf_Open_max,PowerShares Golden Dragon China Port_etf_Open_min,PowerShares Golden Dragon China Port_etf_Open_volatility,PowerShares Golden Dragon China Port_etf_Open_change,PowerShares Golden Dragon China Port_etf_High_average,PowerShares Golden Dragon China Port_etf_High_max,PowerShares Golden Dragon China Port_etf_High_min,PowerShares Golden Dragon China Port_etf_High_volatility,PowerShares Golden Dragon China Port_etf_High_change,PowerShares Golden Dragon China Port_etf_Low_average,PowerShares Golden Dragon China Port_etf_Low_max,PowerShares Golden Dragon China Port_etf_Low_min,PowerShares Golden Dragon China Port_etf_Low_volatility,PowerShares Golden Dragon China Port_etf_Low_change,PowerShares Golden Dragon China Port_etf_Close_average,PowerShares Golden Dragon China Port_etf_Close_max,PowerShares Golden Dragon China Port_etf_Close_min,PowerShares Golden Dragon China Port_etf_Close_volatility,PowerShares Golden Dragon China Port_etf_Close_change
2016-01-03,30.39,30.39,30.39,0.0,0.0,30.5,30.5,30.5,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2016-01-10,28.42,28.42,28.42,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.34,28.34,28.34,0.0,0.0
2016-01-17,29.26,29.26,29.26,0.0,0.0,29.44,29.44,29.44,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.89,28.89,28.89,0.0,0.0
2016-01-24,28.42,28.42,28.42,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2016-01-31,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2016-02-07,25.65,25.65,25.65,0.0,0.0,26.05,26.05,26.05,0.0,0.0,25.65,25.65,25.65,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2016-02-14,27.89,27.89,27.89,0.0,0.0,28.29,28.29,28.29,0.0,0.0,27.78,27.78,27.78,0.0,0.0,28.29,28.29,28.29,0.0,0.0
2016-02-21,28.23,28.23,28.23,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.16,28.16,28.16,0.0,0.0
2016-02-28,28.68,28.68,28.68,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.91,28.91,28.91,0.0,0.0
2016-03-06,28.83,28.83,28.83,0.0,0.0,29.48,29.48,29.48,0.0,0.0,28.83,28.83,28.83,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2016-03-13,30.0,30.0,30.0,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.09,30.09,30.09,0.0,0.0
2016-03-20,29.4,29.4,29.4,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.6,29.6,29.6,0.0,0.0
2016-03-27,29.7,29.7,29.7,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2016-04-03,30.26,30.26,30.26,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.33,30.33,30.33,0.0,0.0
2016-04-10,31.7,31.7,31.7,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.48,31.48,31.48,0.0,0.0
2016-04-17,31.36,31.36,31.36,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2016-04-24,30.52,30.52,30.52,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2016-05-01,29.46,29.46,29.46,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2016-05-08,28.26,28.26,28.26,0.0,0.0,28.3,28.3,28.3,0.0,0.0,27.97,27.97,27.97,0.0,0.0,28.05,28.05,28.05,0.0,0.0
2016-05-15,28.15,28.15,28.15,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.15,28.15,28.15,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2016-05-22,29.23,29.23,29.23,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.23,29.23,29.23,0.0,0.0,29.53,29.53,29.53,0.0,0.0
2016-05-29,29.48,29.48,29.48,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.06,29.06,29.06,0.0,0.0,29.12,29.12,29.12,0.0,0.0
2016-06-05,28.26,28.26,28.26,0.0,0.0,28.29,28.29,28.29,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.84,27.84,27.84,0.0,0.0
2016-06-12,27.33,27.33,27.33,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.13,27.13,27.13,0.0,0.0,27.14,27.14,27.14,0.0,0.0
2016-06-19,26.76,26.76,26.76,0.0,0.0,27.55,27.55,27.55,0.0,0.0,26.76,26.76,26.76,0.0,0.0,27.34,27.34,27.34,0.0,0.0
2016-06-26,28.37,28.37,28.37,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.26,28.26,28.26,0.0,0.0
2016-07-03,28.27,28.27,28.27,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.43,28.43,28.43,0.0,0.0
