Date,ETFS Physical Swiss Gold Shares_etf_Open_average,ETFS Physical Swiss Gold Shares_etf_Open_max,ETFS Physical Swiss Gold Shares_etf_Open_min,ETFS Physical Swiss Gold Shares_etf_Open_volatility,ETFS Physical Swiss Gold Shares_etf_Open_change,ETFS Physical Swiss Gold Shares_etf_High_average,ETFS Physical Swiss Gold Shares_etf_High_max,ETFS Physical Swiss Gold Shares_etf_High_min,ETFS Physical Swiss Gold Shares_etf_High_volatility,ETFS Physical Swiss Gold Shares_etf_High_change,ETFS Physical Swiss Gold Shares_etf_Low_average,ETFS Physical Swiss Gold Shares_etf_Low_max,ETFS Physical Swiss Gold Shares_etf_Low_min,ETFS Physical Swiss Gold Shares_etf_Low_volatility,ETFS Physical Swiss Gold Shares_etf_Low_change,ETFS Physical Swiss Gold Shares_etf_Close_average,ETFS Physical Swiss Gold Shares_etf_Close_max,ETFS Physical Swiss Gold Shares_etf_Close_min,ETFS Physical Swiss Gold Shares_etf_Close_volatility,ETFS Physical Swiss Gold Shares_etf_Close_change
2016-01-03,10.76,10.76,10.76,0.0,0.0,10.78,10.78,10.78,0.0,0.0,10.71,10.71,10.71,0.0,0.0,10.77,10.77,10.77,0.0,0.0
2016-01-10,10.7,10.7,10.7,0.0,0.0,10.7,10.7,10.7,0.0,0.0,10.61,10.61,10.61,0.0,0.0,10.61,10.61,10.61,0.0,0.0
2016-01-17,10.71,10.71,10.71,0.0,0.0,10.75,10.75,10.75,0.0,0.0,10.69,10.69,10.69,0.0,0.0,10.71,10.71,10.71,0.0,0.0
2016-01-24,10.87,10.87,10.87,0.0,0.0,10.91,10.91,10.91,0.0,0.0,10.85,10.85,10.85,0.0,0.0,10.91,10.91,10.91,0.0,0.0
2016-01-31,11.21,11.21,11.21,0.0,0.0,11.46,11.46,11.46,0.0,0.0,11.18,11.18,11.18,0.0,0.0,11.46,11.46,11.46,0.0,0.0
2016-02-07,12.05,12.05,12.05,0.0,0.0,12.11,12.11,12.11,0.0,0.0,12.03,12.03,12.03,0.0,0.0,12.08,12.08,12.08,0.0,0.0
2016-02-14,11.97,11.97,11.97,0.0,0.0,12.02,12.02,12.02,0.0,0.0,11.94,11.94,11.94,0.0,0.0,11.99,11.99,11.99,0.0,0.0
2016-02-21,11.97,11.97,11.97,0.0,0.0,12.0,12.0,12.0,0.0,0.0,11.82,11.82,11.82,0.0,0.0,11.94,11.94,11.94,0.0,0.0
2016-02-28,12.37,12.37,12.37,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.3,12.3,12.3,0.0,0.0
2016-03-06,12.37,12.37,12.37,0.0,0.0,12.37,12.37,12.37,0.0,0.0,12.18,12.18,12.18,0.0,0.0,12.18,12.18,12.18,0.0,0.0
2016-03-13,12.22,12.22,12.22,0.0,0.0,12.27,12.27,12.27,0.0,0.0,12.19,12.19,12.19,0.0,0.0,12.22,12.22,12.22,0.0,0.0
2016-03-20,11.89,11.89,11.89,0.0,0.0,11.92,11.92,11.92,0.0,0.0,11.86,11.86,11.86,0.0,0.0,11.86,11.86,11.86,0.0,0.0
2016-03-27,11.85,11.85,11.85,0.0,0.0,11.93,11.93,11.93,0.0,0.0,11.8,11.8,11.8,0.0,0.0,11.92,11.92,11.92,0.0,0.0
2016-04-03,12.04,12.04,12.04,0.0,0.0,12.11,12.11,12.11,0.0,0.0,12.04,12.04,12.04,0.0,0.0,12.09,12.09,12.09,0.0,0.0
2016-04-10,11.97,11.97,11.97,0.0,0.0,12.04,12.04,12.04,0.0,0.0,11.97,11.97,11.97,0.0,0.0,12.03,12.03,12.03,0.0,0.0
2016-04-17,12.11,12.11,12.11,0.0,0.0,12.13,12.13,12.13,0.0,0.0,11.96,11.96,11.96,0.0,0.0,12.02,12.02,12.02,0.0,0.0
2016-04-24,12.48,12.48,12.48,0.0,0.0,12.63,12.63,12.63,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.6,12.6,12.6,0.0,0.0
2016-05-01,12.53,12.53,12.53,0.0,0.0,12.62,12.62,12.62,0.0,0.0,12.53,12.53,12.53,0.0,0.0,12.56,12.56,12.56,0.0,0.0
2016-05-08,12.35,12.35,12.35,0.0,0.0,12.41,12.41,12.41,0.0,0.0,12.32,12.32,12.32,0.0,0.0,12.41,12.41,12.41,0.0,0.0
2016-05-15,12.27,12.27,12.27,0.0,0.0,12.27,12.27,12.27,0.0,0.0,12.17,12.17,12.17,0.0,0.0,12.2,12.2,12.2,0.0,0.0
2016-05-22,11.85,11.85,11.85,0.0,0.0,11.86,11.86,11.86,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.79,11.79,11.79,0.0,0.0
2016-05-29,12.07,12.07,12.07,0.0,0.0,12.12,12.12,12.12,0.0,0.0,12.06,12.06,12.06,0.0,0.0,12.12,12.12,12.12,0.0,0.0
2016-06-05,12.4,12.4,12.4,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.36,12.36,12.36,0.0,0.0,12.42,12.42,12.42,0.0,0.0
