Date,First Trust Brazil AlphaDEX_etf_Open_average,First Trust Brazil AlphaDEX_etf_Open_max,First Trust Brazil AlphaDEX_etf_Open_min,First Trust Brazil AlphaDEX_etf_Open_volatility,First Trust Brazil AlphaDEX_etf_Open_change,First Trust Brazil AlphaDEX_etf_High_average,First Trust Brazil AlphaDEX_etf_High_max,First Trust Brazil AlphaDEX_etf_High_min,First Trust Brazil AlphaDEX_etf_High_volatility,First Trust Brazil AlphaDEX_etf_High_change,First Trust Brazil AlphaDEX_etf_Low_average,First Trust Brazil AlphaDEX_etf_Low_max,First Trust Brazil AlphaDEX_etf_Low_min,First Trust Brazil AlphaDEX_etf_Low_volatility,First Trust Brazil AlphaDEX_etf_Low_change,First Trust Brazil AlphaDEX_etf_Close_average,First Trust Brazil AlphaDEX_etf_Close_max,First Trust Brazil AlphaDEX_etf_Close_min,First Trust Brazil AlphaDEX_etf_Close_volatility,First Trust Brazil AlphaDEX_etf_Close_change
2016-01-03,8.17,8.17,8.17,0.0,0.0,8.17,8.17,8.17,0.0,0.0,8.17,8.17,8.17,0.0,0.0,8.17,8.17,8.17,0.0,0.0
2016-01-10,7.81,7.81,7.81,0.0,0.0,7.81,7.81,7.81,0.0,0.0,7.81,7.81,7.81,0.0,0.0,7.81,7.81,7.81,0.0,0.0
2016-01-17,7.49,7.49,7.49,0.0,0.0,7.51,7.51,7.51,0.0,0.0,7.49,7.49,7.49,0.0,0.0,7.51,7.51,7.51,0.0,0.0
2016-01-24,7.79,7.79,7.79,0.0,0.0,7.79,7.79,7.79,0.0,0.0,7.72,7.72,7.72,0.0,0.0,7.79,7.79,7.79,0.0,0.0
2016-01-31,8.61,8.61,8.61,0.0,0.0,8.61,8.61,8.61,0.0,0.0,8.61,8.61,8.61,0.0,0.0,8.61,8.61,8.61,0.0,0.0
2016-02-07,8.14,8.14,8.14,0.0,0.0,8.14,8.14,8.14,0.0,0.0,8.14,8.14,8.14,0.0,0.0,8.14,8.14,8.14,0.0,0.0
2016-02-14,8.58,8.58,8.58,0.0,0.0,8.7,8.7,8.7,0.0,0.0,8.58,8.58,8.58,0.0,0.0,8.6,8.6,8.6,0.0,0.0
2016-02-21,8.64,8.64,8.64,0.0,0.0,8.64,8.64,8.64,0.0,0.0,8.64,8.64,8.64,0.0,0.0,8.64,8.64,8.64,0.0,0.0
2016-02-28,10.16,10.16,10.16,0.0,0.0,10.2,10.2,10.2,0.0,0.0,10.16,10.16,10.16,0.0,0.0,10.2,10.2,10.2,0.0,0.0
2016-03-06,10.85,10.85,10.85,0.0,0.0,10.89,10.89,10.89,0.0,0.0,10.85,10.85,10.85,0.0,0.0,10.89,10.89,10.89,0.0,0.0
2016-03-13,10.73,10.73,10.73,0.0,0.0,10.99,10.99,10.99,0.0,0.0,10.73,10.73,10.73,0.0,0.0,10.99,10.99,10.99,0.0,0.0
2016-03-20,11.03,11.03,11.03,0.0,0.0,11.03,11.03,11.03,0.0,0.0,10.86,10.86,10.86,0.0,0.0,10.86,10.86,10.86,0.0,0.0
2016-03-27,11.23,11.23,11.23,0.0,0.0,11.23,11.23,11.23,0.0,0.0,11.21,11.21,11.21,0.0,0.0,11.21,11.21,11.21,0.0,0.0
2016-04-03,10.63,10.63,10.63,0.0,0.0,10.83,10.83,10.83,0.0,0.0,10.63,10.63,10.63,0.0,0.0,10.83,10.83,10.83,0.0,0.0
2016-04-10,11.45,11.45,11.45,0.0,0.0,11.45,11.45,11.45,0.0,0.0,11.45,11.45,11.45,0.0,0.0,11.45,11.45,11.45,0.0,0.0
2016-04-17,11.27,11.27,11.27,0.0,0.0,11.27,11.27,11.27,0.0,0.0,11.27,11.27,11.27,0.0,0.0,11.27,11.27,11.27,0.0,0.0
2016-04-24,11.92,11.92,11.92,0.0,0.0,11.92,11.92,11.92,0.0,0.0,11.81,11.81,11.81,0.0,0.0,11.81,11.81,11.81,0.0,0.0
2016-05-01,11.38,11.38,11.38,0.0,0.0,11.38,11.38,11.38,0.0,0.0,11.38,11.38,11.38,0.0,0.0,11.38,11.38,11.38,0.0,0.0
